#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.80128     1.80128           0
           2     1.82649     1.81388  0.00891268
           3     1.83547     1.82108  0.00835572
           4     1.83822     1.82536  0.00728353
           5     1.82615     1.82552  0.00582854
           6      1.8087     1.82272  0.00549009
           7     1.82336     1.82281  0.00470657
           8     1.84014     1.82498  0.00458988
           9     1.78344     1.82036  0.00596495
          10     1.82288     1.82061  0.00537378
          11     1.83181     1.82163  0.00498074
          12     1.80386     1.82015  0.00478079
          13     1.80126      1.8187   0.0046287
          14      1.7816     1.81605  0.00499919
          15     1.79744     1.81481  0.00481743
          16     1.79464     1.81355  0.00467827
          17     1.78414     1.81182  0.00471197
          18     1.74503     1.80811  0.00572755
          19     1.76232      1.8057  0.00591145
          20     1.76654     1.80374  0.00593124
          21     1.77032     1.80215  0.00585845
          22     1.76329     1.80038  0.00585237
          23     1.75595     1.79845  0.00590819
          24     1.77366     1.79742  0.00575161
          25     1.76754     1.79622  0.00564431
          26     1.76607     1.79506  0.00554505
          27     1.78691     1.79476  0.00534789
          28     1.80223     1.79503  0.00516355
          29     1.81549     1.79573  0.00503346
          30     1.80398     1.79601  0.00487318
          31     1.75335     1.79463  0.00490645
          32     1.80783     1.79504  0.00477042
          33     1.82512     1.79595  0.00471215
          34     1.81243     1.79644  0.00459839
          35     1.80399     1.79665  0.00447207
          36     1.81948     1.79729  0.00439255
          37     1.82435     1.79802  0.00433429
          38     1.79469     1.79793  0.00422111
          39     1.79113     1.79776  0.00411648
          40     1.81422     1.79817  0.00403409
          41     1.83144     1.79898  0.00401647
          42     1.80468     1.79912  0.00392312
          43       1.794       1.799  0.00383369
          44     1.80035     1.79903  0.00374669
          45     1.80479     1.79916  0.00366562
          46     1.79942     1.79916  0.00358593
          47     1.79563     1.79909  0.00351042
          48     1.78235     1.79874  0.00345456
          49     1.78079     1.79837  0.00340342
          50     1.76099     1.79762  0.00341649
          51     1.79571     1.79759  0.00334971
          52     1.76927     1.79704  0.00332927
          53     1.79442     1.79699  0.00326682
          54     1.80151     1.79708  0.00320739
          55     1.77491     1.79667   0.0031743
          56     1.77344     1.79626  0.00314461
          57     1.79751     1.79628  0.00308951
          58     1.80525     1.79644  0.00304012
          59     1.79661     1.79644  0.00298859
          60     1.79732     1.79645  0.00293882
          61     1.82766     1.79696  0.00293484
          62     1.83732     1.79762  0.00295881
          63     1.81764     1.79793  0.00292888
          64     1.82668     1.79838  0.00291735
          65     1.85735     1.79929  0.00301023
          66     1.84128     1.79993  0.00303111
          67     1.82872     1.80036  0.00301619
          68     1.85326     1.80113  0.00307055
          69     1.84054     1.80171  0.00307869
          70     1.85516     1.80247  0.00312799
          71     1.85317     1.80318  0.00316439
          72     1.83908     1.80368  0.00315946
          73     1.85245     1.80435  0.00318604
          74     1.83204     1.80472  0.00316488
          75     1.82949     1.80505  0.00313987
          76     1.84436     1.80557  0.00314087
          77     1.86618     1.80636  0.00319719
          78     1.88707     1.80739  0.00331942
          79     1.85523       1.808  0.00333218
          80     1.87929     1.80889   0.0034076
          81      1.8732     1.80968  0.00345678
          82     1.88579     1.81061  0.00353702
          83     1.89613     1.81164  0.00364139
          84     1.89875     1.81268  0.00374279
          85     1.87197     1.81338  0.00376319
          86     1.86947     1.81403  0.00377554
          87     1.86814     1.81465  0.00378303
          88     1.87314     1.81532  0.00379798
          89     1.86666     1.81589  0.00379887
          90     1.84355      1.8162  0.00376907
          91     1.82896     1.81634  0.00373026
          92      1.8262     1.81645  0.00369125
          93     1.83561     1.81665   0.0036573
          94     1.82584     1.81675   0.0036197
          95     1.79678     1.81654   0.0035877
          96     1.79326      1.8163  0.00355851
          97     1.79553     1.81608  0.00352827
          98     1.80211     1.81594  0.00349514
          99     1.81268     1.81591  0.00345999
         100     1.78797     1.81563  0.00343666
