#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.382675   -0.382675           0
           2   -0.407902   -0.395289    0.008919
           3     -0.4168   -0.402459  0.00834451
           4   -0.419352   -0.406682  0.00724869
           5   -0.407349   -0.406816  0.00580018
           6   -0.389746   -0.403971    0.005487
           7   -0.404982   -0.404115  0.00470505
           8   -0.421127   -0.406242  0.00457229
           9   -0.364417   -0.401594  0.00597623
          10   -0.404517   -0.401887  0.00538575
          11   -0.412849   -0.402883  0.00498748
          12   -0.384953   -0.401389  0.00479044
          13   -0.382247   -0.399917  0.00464274
          14   -0.362802   -0.397266  0.00501118
          15   -0.378713   -0.396029  0.00482733
          16   -0.375711   -0.394759  0.00468966
          17   -0.364947   -0.393005  0.00473034
          18   -0.326161   -0.389292  0.00574313
          19   -0.343524   -0.386883  0.00592452
          20   -0.347703   -0.384924  0.00594335
          21   -0.351432   -0.383329  0.00587041
          22   -0.344144   -0.381548  0.00586756
          23   -0.337254   -0.379622  0.00592006
          24   -0.354723   -0.378585  0.00576358
          25   -0.348604   -0.377385  0.00565642
          26   -0.347218   -0.376225  0.00555659
          27   -0.368217   -0.375928   0.0053587
          28   -0.383429   -0.376196  0.00517401
          29   -0.396727   -0.376904   0.0050438
          30   -0.384377   -0.377153  0.00488182
          31   -0.334887    -0.37579  0.00491104
          32   -0.389212   -0.376209  0.00477545
          33   -0.406216   -0.377119  0.00471652
          34   -0.393342   -0.377596  0.00460187
          35   -0.385155   -0.377812  0.00447545
          36    -0.40074   -0.378449  0.00439622
          37   -0.405262   -0.379173  0.00433672
          38   -0.375674   -0.379081  0.00422357
          39   -0.372253   -0.378906   0.0041189
          40   -0.395642   -0.379325  0.00403713
          41   -0.412537   -0.380135  0.00401911
          42   -0.385402    -0.38026  0.00392537
          43   -0.375218   -0.380143  0.00383583
          44   -0.381546   -0.380175  0.00374879
          45   -0.385873   -0.380301  0.00366762
          46    -0.38052   -0.380306  0.00358789
          47   -0.376724    -0.38023  0.00351236
          48   -0.363377   -0.379879  0.00345669
          49   -0.361594   -0.379506  0.00340623
          50   -0.342631   -0.378768  0.00341701
          51   -0.376637   -0.378726  0.00335026
          52   -0.350372   -0.378181  0.00332991
          53   -0.375882   -0.378138  0.00326737
          54   -0.382555    -0.37822  0.00320788
          55   -0.355992   -0.377815  0.00317491
          56   -0.354358   -0.377397  0.00314573
          57   -0.379405   -0.377432  0.00309074
          58   -0.386263   -0.377584   0.0030412
          59   -0.377879   -0.377589  0.00298966
          60   -0.378619   -0.377606  0.00293988
          61   -0.409212   -0.378124  0.00293699
          62    -0.41843   -0.378774  0.00296069
          63   -0.398837   -0.379093  0.00293077
          64    -0.40822   -0.379548   0.0029201
          65   -0.438701   -0.380458  0.00301365
          66   -0.422242   -0.381091  0.00303376
          67   -0.410203   -0.381526  0.00301943
          68   -0.434563   -0.382306  0.00307412
          69   -0.421759   -0.382877  0.00308228
          70   -0.436537   -0.383644  0.00313212
          71     -0.4343   -0.384357  0.00316823
          72   -0.420283   -0.384856  0.00316327
          73   -0.433771   -0.385526  0.00319012
          74   -0.412991   -0.385898  0.00316852
          75    -0.41085    -0.38623  0.00314369
          76    -0.42574    -0.38675  0.00314502
          77    -0.44766   -0.387541  0.00320211
          78   -0.468297   -0.388577  0.00332423
          79   -0.436155   -0.389179  0.00333626
          80   -0.460817   -0.390074  0.00341262
          81    -0.45421   -0.390866  0.00346112
          82   -0.467418     -0.3918  0.00354258
          83   -0.477241   -0.392829   0.0036464
          84   -0.480024   -0.393867  0.00374783
          85    -0.45309   -0.394564  0.00376795
          86   -0.450517   -0.395214  0.00377989
          87   -0.449592   -0.395839  0.00378776
          88   -0.454378   -0.396505  0.00380268
          89   -0.447806   -0.397081  0.00380339
          90   -0.424594   -0.397387   0.0037734
          91   -0.410017   -0.397526  0.00373448
          92   -0.407586   -0.397635  0.00369549
          93   -0.416871   -0.397842  0.00366154
          94   -0.406985   -0.397939  0.00362388
          95   -0.377677   -0.397726    0.003592
          96   -0.374437   -0.397483  0.00356277
          97   -0.376952   -0.397271  0.00353232
          98   -0.383328   -0.397129  0.00349914
          99   -0.393902   -0.397097  0.00346395
         100   -0.368923   -0.396815  0.00344075
