#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0345119   0.0345119           0
           2   0.0240421    0.029277  0.00370163
           3   0.0187381   0.0257641   0.0037838
           4   0.0189395   0.0240579  0.00319947
           5    0.025479   0.0243421  0.00257217
           6   0.0336512   0.0258937  0.00256914
           7   0.0327872   0.0268785   0.0023834
           8   0.0321127   0.0275327  0.00217343
           9    0.047321   0.0297314  0.00283364
          10   0.0350699   0.0302653  0.00260008
          11   0.0274839   0.0300124  0.00237597
          12   0.0309065   0.0300869  0.00217914
          13   0.0303689   0.0301086  0.00201162
          14   0.0326091   0.0302872  0.00187585
          15   0.0256104   0.0299754  0.00177651
          16   0.0240983   0.0296081  0.00170303
          17   0.0273845   0.0294773  0.00160787
          18   0.0367626   0.0298821  0.00156866
          19    0.030504   0.0299148  0.00148644
          20   0.0253672   0.0296874   0.0014294
          21   0.0211784   0.0292822   0.0014176
          22    0.021546   0.0289306   0.0013961
          23   0.0230087   0.0286731  0.00135893
          24   0.0207939   0.0283448  0.00134138
          25   0.0267818   0.0282823  0.00128918
          26   0.0322344   0.0284343  0.00124853
          27     0.03027   0.0285023  0.00120413
          28   0.0279817   0.0284837  0.00116127
          29   0.0270517   0.0284343  0.00112228
          30   0.0348729   0.0286489   0.0011052
          31    0.049304   0.0293152  0.00125442
          32   0.0349756   0.0294921  0.00122762
          33   0.0268936   0.0294134  0.00119294
          34   0.0273692   0.0293532  0.00115937
          35   0.0279098    0.029312  0.00112698
          36   0.0238406     0.02916  0.00110588
          37   0.0252995   0.0290557   0.0010809
          38   0.0367882   0.0292592  0.00107144
          39   0.0406593   0.0295515  0.00108311
          40   0.0344887   0.0296749  0.00106304
          41   0.0290375   0.0296594  0.00103722
          42   0.0354059   0.0297962  0.00102151
          43   0.0372198   0.0299688  0.00101224
          44    0.032322   0.0300223 0.000990646
          45    0.026546   0.0299451 0.000971639
          46   0.0238864   0.0298133 0.000959402
          47   0.0229724   0.0296678 0.000949966
          48   0.0264747   0.0296013 0.000932501
          49   0.0290503     0.02959 0.000913539
          50   0.0339047   0.0296763 0.000899334
          51   0.0260383    0.029605 0.000884525
          52   0.0314092   0.0296397 0.000868195
          53   0.0242063   0.0295372 0.000857845
          54   0.0227592   0.0294116 0.000851092
          55   0.0308898   0.0294385 0.000836042
          56   0.0324307    0.029492 0.000822818
          57   0.0259641   0.0294301 0.000810707
          58    0.025178   0.0293567 0.000800038
          59   0.0305248   0.0293765 0.000786723
          60   0.0331924   0.0294401 0.000776177
          61   0.0270203   0.0294005 0.000764466
          62   0.0257108    0.029341 0.000754448
          63   0.0318904   0.0293814 0.000743558
          64   0.0304248   0.0293977 0.000732118
          65   0.0238267    0.029312 0.000725854
          66   0.0295186   0.0293152 0.000714863
          67   0.0339209   0.0293839 0.000707491
          68   0.0286425    0.029373 0.000697171
          69   0.0313384   0.0294015 0.000687649
          70   0.0271586   0.0293694 0.000678571
          71   0.0265052   0.0293291 0.000670212
          72   0.0286485   0.0293196  0.00066097
          73   0.0244044   0.0292523 0.000655336
          74   0.0286393    0.029244 0.000646533
          75   0.0288931   0.0292393 0.000637929
          76   0.0249398   0.0291828 0.000632039
          77   0.0209131   0.0290754  0.00063289
          78   0.0205911   0.0289666 0.000634054
          79   0.0346896    0.029039 0.000630153
          80   0.0347887   0.0291109 0.000626361
          81   0.0390992   0.0292342  0.00063065
          82   0.0361134   0.0293181 0.000628514
          83   0.0319032   0.0293493 0.000621713
          84   0.0286898   0.0293414 0.000614361
          85   0.0316965   0.0293691 0.000607758
          86   0.0298042   0.0293742 0.000600712
          87   0.0274985   0.0293526 0.000594194
          88   0.0248934    0.029302 0.000589598
          89    0.026561   0.0292712 0.000583777
          90   0.0322646   0.0293044 0.000578238
          91   0.0339999    0.029356 0.000574181
          92   0.0307017   0.0293706 0.000568126
          93   0.0253101    0.029327 0.000563693
          94   0.0271562   0.0293039 0.000558169
          95   0.0360861   0.0293753  0.00055684
          96   0.0392907   0.0294786 0.000560537
          97   0.0394442   0.0295813 0.000564095
          98   0.0378235   0.0296654 0.000564574
          99   0.0346139   0.0297154 0.000561079
         100   0.0381096   0.0297993 0.000561713
