#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42202     1.42202           0
           2     1.42192     1.42197 3.85644e-05
           3     1.42201     1.42198 2.82861e-05
           4      1.4219     1.42196 2.73856e-05
           5     1.42199     1.42197 2.24399e-05
           6       1.422     1.42198 1.92394e-05
           7     1.42189     1.42196 1.98801e-05
           8     1.42198     1.42197  1.7541e-05
           9     1.42198     1.42197  1.5676e-05
          10     1.42213     1.42198 2.12251e-05
          11     1.42223     1.42201 2.90872e-05
          12      1.4222     1.42202 3.07027e-05
          13     1.42224     1.42204 3.27265e-05
          14     1.42201     1.42204 3.04575e-05
          15     1.42194     1.42203 2.90766e-05
          16     1.42193     1.42202 2.79182e-05
          17     1.42187     1.42202 2.77539e-05
          18     1.42189     1.42201 2.71295e-05
          19     1.42191       1.422 2.61942e-05
          20     1.42202       1.422 2.49059e-05
          21     1.42205     1.42201 2.38075e-05
          22     1.42202     1.42201 2.27316e-05
          23     1.42205     1.42201 2.18355e-05
          24     1.42198     1.42201 2.09601e-05
          25     1.42205     1.42201  2.0186e-05
          26     1.42204     1.42201 1.94507e-05
          27     1.42201     1.42201 1.87307e-05
          28     1.42198     1.42201 1.80997e-05
          29     1.42214     1.42201 1.79963e-05
          30     1.42206     1.42202 1.74572e-05
          31     1.42195     1.42201  1.7034e-05
          32     1.42207     1.42202 1.66065e-05
          33     1.42205     1.42202 1.61316e-05
          34     1.42212     1.42202 1.59306e-05
          35     1.42206     1.42202 1.55134e-05
          36     1.42198     1.42202 1.51233e-05
          37     1.42204     1.42202 1.47257e-05
          38     1.42196     1.42202 1.44143e-05
          39     1.42207     1.42202 1.41067e-05
          40     1.42203     1.42202 1.37554e-05
          41     1.42205     1.42202 1.34459e-05
          42     1.42212     1.42202 1.33304e-05
          43     1.42208     1.42202 1.30853e-05
          44     1.42218     1.42203 1.32415e-05
          45     1.42203     1.42203 1.29474e-05
          46     1.42193     1.42203 1.28289e-05
          47     1.42182     1.42202 1.33002e-05
          48     1.42186     1.42202 1.34394e-05
          49     1.42185     1.42201 1.36116e-05
          50     1.42194     1.42201 1.34129e-05
          51     1.42197     1.42201 1.31728e-05
          52     1.42201     1.42201 1.29201e-05
          53     1.42202     1.42201 1.26775e-05
          54     1.42212     1.42201 1.26032e-05
          55     1.42201     1.42201 1.23742e-05
          56     1.42201     1.42201 1.21539e-05
          57     1.42193     1.42201 1.20262e-05
          58     1.42199     1.42201 1.18227e-05
          59       1.422     1.42201 1.16252e-05
          60     1.42199     1.42201 1.14384e-05
          61     1.42188     1.42201 1.14468e-05
          62     1.42194     1.42201  1.1318e-05
          63     1.42196     1.42201 1.11647e-05
          64     1.42181       1.422 1.14127e-05
          65     1.42189       1.422 1.13803e-05
          66     1.42182       1.422 1.15271e-05
          67     1.42179       1.422 1.17626e-05
          68     1.42186     1.42199   1.175e-05
          69     1.42188     1.42199 1.16975e-05
          70     1.42195     1.42199 1.15438e-05
          71     1.42195     1.42199 1.13982e-05
          72     1.42201     1.42199 1.12438e-05
          73     1.42197     1.42199 1.10945e-05
          74     1.42196     1.42199 1.09529e-05
          75     1.42197     1.42199 1.08111e-05
          76     1.42206     1.42199 1.07056e-05
          77     1.42209     1.42199 1.06384e-05
          78      1.4222       1.422 1.08137e-05
          79     1.42212       1.422 1.07834e-05
          80     1.42218       1.422 1.08841e-05
          81      1.4222       1.422 1.10146e-05
          82     1.42222       1.422 1.12064e-05
          83     1.42218     1.42201 1.12731e-05
          84     1.42217     1.42201  1.1308e-05
          85     1.42218     1.42201  1.1348e-05
          86     1.42211     1.42201 1.12706e-05
          87     1.42213     1.42201 1.12159e-05
          88     1.42212     1.42201 1.11481e-05
          89     1.42212     1.42202 1.10858e-05
          90      1.4221     1.42202 1.09991e-05
          91     1.42207     1.42202 1.08949e-05
          92     1.42224     1.42202 1.10353e-05
          93     1.42208     1.42202 1.09355e-05
          94     1.42211     1.42202 1.08563e-05
          95     1.42207     1.42202 1.07522e-05
          96     1.42202     1.42202 1.06404e-05
          97     1.42208     1.42202 1.05454e-05
          98     1.42203     1.42202 1.04383e-05
          99     1.42217     1.42202 1.04401e-05
         100     1.42212     1.42202 1.03782e-05
