#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.62795     1.62795           0
           2     1.62053     1.62424  0.00262427
           3     1.60816     1.61888  0.00471414
           4     1.59903     1.61392  0.00556421
           5     1.58815     1.60876  0.00640843
           6     1.59723     1.60684  0.00562141
           7     1.61185     1.60756  0.00486365
           8     1.58126     1.60427  0.00524988
           9     1.64957      1.6093  0.00665541
          10     1.65689     1.61406  0.00750059
          11     1.59153     1.61201  0.00709286
          12     1.60476     1.61141  0.00652752
          13     1.62069     1.61212  0.00606429
          14     1.62481     1.61303  0.00569847
          15     1.63151     1.61426   0.0054502
          16     1.65413     1.61675  0.00565069
          17     1.64581     1.61846   0.0055708
          18      1.6794     1.62185  0.00620523
          19     1.62531     1.62203  0.00588132
          20     1.64574     1.62321  0.00570552
          21     1.61553     1.62285  0.00544555
          22     1.65395     1.62426  0.00537834
          23     1.61053     1.62367  0.00517755
          24     1.56453      1.6212  0.00551712
          25     1.63258     1.62166  0.00531519
          26     1.62999     1.62198  0.00512042
          27     1.61576     1.62175  0.00493595
          28     1.61311     1.62144   0.0047693
          29     1.66046     1.62278  0.00479093
          30     1.64119      1.6234  0.00467035
          31     1.60767     1.62289  0.00454717
          32     1.64278     1.62351  0.00444737
          33     1.66364     1.62473  0.00447575
          34     1.63165     1.62493  0.00434873
          35      1.6192     1.62477  0.00422756
          36     1.63466     1.62504  0.00411905
          37      1.6233       1.625  0.00400799
          38     1.61296     1.62468  0.00391501
          39     1.64722     1.62526  0.00385705
          40     1.56239     1.62368  0.00406828
          41       1.649      1.6243  0.00401562
          42     1.58018     1.62325  0.00405507
          43     1.62352     1.62326  0.00396077
          44     1.61775     1.62313  0.00387273
          45      1.6351      1.6234  0.00379578
          46      1.5934     1.62275  0.00376888
          47     1.60958     1.62247  0.00369908
          48     1.61681     1.62235   0.0036239
          49     1.60884     1.62207  0.00356042
          50     1.56369      1.6209  0.00367571
          51     1.65529     1.62158  0.00366496
          52     1.62593     1.62166  0.00359543
          53     1.60584     1.62136  0.00353996
          54     1.65728     1.62203  0.00353632
          55     1.59983     1.62163  0.00349498
          56     1.61409     1.62149  0.00343516
          57      1.5811     1.62078  0.00344722
          58     1.62103     1.62079  0.00338779
          59     1.63874     1.62109    0.003344
          60     1.60193     1.62077  0.00330348
          61     1.61159     1.62062  0.00325275
          62     1.58375     1.62003   0.0032542
          63     1.57778     1.61936   0.0032709
          64     1.62271     1.61941  0.00322022
          65     1.61057     1.61927  0.00317354
          66     1.61974     1.61928  0.00312546
          67     1.63596     1.61953  0.00308871
          68     1.56792     1.61877  0.00313515
          69     1.66483     1.61944  0.00315998
          70     1.63125     1.61961  0.00311935
          71     1.66606     1.62026  0.00314328
          72     1.61391     1.62017  0.00310086
          73     1.61902     1.62016  0.00305842
          74     1.59962     1.61988  0.00302966
          75     1.62842     1.61999   0.0029914
          76     1.60157     1.61975  0.00296185
          77     1.59684     1.61945  0.00293829
          78     1.64612     1.61979  0.00292044
          79     1.65406     1.62023  0.00291551
          80     1.61128     1.62012  0.00288121
          81     1.64811     1.62046  0.00286629
          82     1.61677     1.62042  0.00283169
          83     1.60616     1.62025  0.00280278
          84     1.60967     1.62012  0.00277224
          85     1.60208     1.61991  0.00274773
          86     1.60385     1.61972  0.00272212
          87     1.59278     1.61941  0.00270839
          88     1.59824     1.61917  0.00268827
          89      1.6402     1.61941  0.00266843
          90      1.6166     1.61938  0.00263896
          91     1.63832     1.61958  0.00261816
          92     1.61504     1.61953  0.00259017
          93     1.63295     1.61968  0.00256633
          94      1.6294     1.61978  0.00254111
          95     1.61717     1.61975  0.00251451
          96     1.62899     1.61985  0.00249016
          97      1.6355     1.62001  0.00246971
          98     1.55529     1.61935  0.00253127
          99     1.61062     1.61926  0.00250724
         100      1.5791     1.61886  0.00251413
