#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.50695    -5.50695           0
           2    -5.49843    -5.50269  0.00301214
           3    -5.44495    -5.48344   0.0158415
           4    -5.38092    -5.45781   0.0251764
           5    -5.33647    -5.43354   0.0296113
           6    -5.37921    -5.42449    0.026024
           7    -5.40994    -5.42241   0.0223891
           8    -5.49149    -5.43104   0.0211903
           9    -5.41967    -5.42978   0.0188735
          10    -5.42533    -5.42934   0.0169914
          11     -5.5159     -5.4372   0.0171726
          12    -5.53697    -5.44552   0.0176394
          13    -5.39609    -5.44172   0.0166872
          14    -5.38368    -5.43757    0.016002
          15    -5.41526    -5.43608   0.0150041
          16    -5.32908     -5.4294   0.0154853
          17    -5.48275    -5.43253   0.0148891
          18    -5.34005     -5.4274   0.0149221
          19    -5.45367    -5.42878   0.0142006
          20    -5.34114     -5.4244   0.0141505
          21    -5.55511    -5.43062   0.0147825
          22    -5.56179    -5.43658   0.0152656
          23    -5.43858    -5.43667   0.0146021
          24    -5.37171    -5.43396   0.0142423
          25    -5.47761    -5.43571   0.0137792
          26    -5.52741    -5.43924   0.0136932
          27    -5.45955    -5.43999   0.0132067
          28    -5.36196     -5.4372   0.0130257
          29    -5.35936    -5.43452   0.0128501
          30    -5.51614    -5.43724   0.0127066
          31    -5.47154    -5.43835   0.0123448
          32    -5.50678    -5.44048   0.0121428
          33    -5.31632    -5.43672   0.0123441
          34    -5.35841    -5.43442    0.012194
          35    -5.40296    -5.43352   0.0118787
          36     -5.4355    -5.43357   0.0115489
          37    -5.40921    -5.43292   0.0112555
          38    -5.46574    -5.43378   0.0109924
          39    -5.46923    -5.43469    0.010748
          40    -5.48294    -5.43589   0.0105468
          41    -5.34578     -5.4337   0.0105161
          42    -5.58399    -5.43727   0.0108575
          43    -5.48739    -5.43844   0.0106673
          44    -5.37244    -5.43694   0.0105298
          45    -5.45636    -5.43737   0.0103047
          46    -5.48058    -5.43831   0.0101234
          47    -5.52471    -5.44015   0.0100735
          48    -5.33825    -5.43803   0.0100849
          49    -5.39994    -5.43725  0.00990899
          50    -5.36264    -5.43576  0.00982252
          51    -5.44152    -5.43587  0.00963057
          52    -5.35644    -5.43434  0.00956574
          53    -5.37821    -5.43328   0.0094437
          54    -5.41882    -5.43302  0.00927261
          55    -5.33164    -5.43117  0.00928541
          56    -5.45452    -5.43159  0.00912895
          57    -5.50321    -5.43285  0.00905485
          58    -5.51501    -5.43426  0.00900887
          59    -5.55119    -5.43624  0.00907155
          60    -5.57932    -5.43863  0.00922844
          61    -5.37368    -5.43756  0.00913838
          62    -5.41602    -5.43722  0.00899759
          63    -5.47834    -5.43787  0.00887842
          64    -5.40548    -5.43736  0.00875411
          65    -5.46152    -5.43774  0.00862732
          66    -5.43801    -5.43774   0.0084966
          67    -5.47336    -5.43827   0.0083864
          68    -5.39608    -5.43765  0.00828599
          69    -5.38842    -5.43694  0.00819656
          70    -5.50576    -5.43792  0.00813822
          71    -5.36931    -5.43695  0.00808076
          72    -5.27604    -5.43472   0.0082718
          73    -5.42243    -5.43455   0.0081602
          74    -5.59371     -5.4367  0.00832854
          75    -5.56821    -5.43845  0.00840005
          76    -5.44019    -5.43848  0.00828955
          77    -5.56524    -5.44012  0.00834376
          78     -5.6131    -5.44234  0.00852641
          79    -5.40968    -5.44193   0.0084285
          80    -5.35091    -5.44079  0.00839958
          81    -5.45187    -5.44093    0.008297
          82    -5.40002    -5.44043   0.0082108
          83    -5.40752    -5.44003  0.00812144
          84    -5.46434    -5.44032  0.00802991
          85    -5.46846    -5.44065  0.00794226
          86    -5.44762    -5.44073  0.00785032
          87    -5.47415    -5.44112  0.00776948
          88    -5.57982    -5.44269  0.00783943
          89    -5.58118    -5.44425  0.00790426
          90    -5.45561    -5.44438  0.00781744
          91    -5.26091    -5.44236  0.00798729
          92    -5.36297     -5.4415  0.00794695
          93     -5.4499    -5.44159  0.00786201
          94    -5.53836    -5.44262  0.00784549
          95     -5.4652    -5.44285  0.00776651
          96    -5.33238     -5.4417   0.0077704
          97    -5.31306    -5.44038  0.00780265
          98    -5.38516    -5.43981  0.00774335
          99    -5.42597    -5.43967  0.00766639
         100    -5.47805    -5.44006  0.00759933
