#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     -203425     -203425           0
           2     -203404     -203415     7.21666
           3     -203370     -203400     12.9556
           4     -203323     -203381     19.3003
           5     -203262     -203357     26.2802
           6     -203187     -203328     33.8644
           7     -203099     -203296     42.0176
           8     -202997     -203258     50.7076
           9     -202882     -203216     59.9065
          10     -202753     -203170     69.5905
          11     -202610     -203119     79.7392
          12     -202454     -203064     90.3347
          13     -202284     -203004     101.362
          14     -202100     -202939     112.807
          15     -201903     -202870     124.658
          16     -201692     -202797     136.906
          17     -201467     -202718      149.54
          18     -201228     -202635     162.553
          19     -200975     -202548     175.938
          20     -200708     -202456     189.689
          21     -200426     -202359       203.8
          22     -200131     -202258     218.266
          23     -199821     -202152     233.084
          24     -199497     -202041     248.249
          25     -199150     -201926      263.89
          26     -198789     -201805     279.968
          27     -198421     -201680     296.335
          28     -198038     -201550     312.998
          29     -197640     -201415     329.967
          30     -197219     -201275     347.346
          31     -196775     -201130     365.215
          32     -196324     -200980     383.441
          33     -195865     -200825     401.928
          34     -195367     -200664     420.944
          35     -194861     -200498     440.364
          36     -194355     -200328     460.013
          37     -193832     -200152     479.909
          38     -193278     -199971     500.213
          39     -192723     -199785      520.77
          40     -192128     -199594     541.797
          41     -191539     -199398     563.074
          42     -190926     -199196     584.679
          43     -190280     -198988     606.735
          44     -189632     -198776     629.106
          45     -188967     -198558     651.798
          46     -188268     -198334     674.925
          47     -187551     -198105     698.474
          48     -186831     -197870     722.329
          49     -186078     -197629     746.601
          50     -185314     -197383      771.23
          51     -184538     -197131      796.17
          52     -183728     -196873     821.522
          53     -182906     -196610     847.235
          54     -182065     -196340     873.311
          55     -181204     -196065     899.751
          56     -180307     -195784     926.643
          57     -179398     -195496     953.937
          58     -178484     -195203      981.55
