#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.0853      1.0853           0
           2     1.08035     1.08283  0.00174952
           3      1.0721     1.07925  0.00314276
           4     1.06602     1.07594  0.00370947
           5     1.05876     1.07251  0.00427228
           6     1.06482     1.07123  0.00374761
           7     1.07456      1.0717  0.00324244
           8     1.05418     1.06951  0.00349992
           9     1.09971     1.07287  0.00443694
          10     1.10459     1.07604   0.0050004
          11     1.06102     1.07467  0.00472858
          12     1.06984     1.07427  0.00435168
          13     1.08046     1.07475  0.00404286
          14     1.08321     1.07535  0.00379898
          15     1.08768     1.07617  0.00363347
          16     1.10276     1.07783  0.00376712
          17     1.09721     1.07897  0.00371386
          18      1.1196     1.08123  0.00413682
          19     1.08354     1.08135  0.00392088
          20     1.09716     1.08214  0.00380368
          21     1.07702      1.0819  0.00363037
          22     1.10263     1.08284  0.00358556
          23     1.07368     1.08244   0.0034517
          24     1.04302      1.0808  0.00367808
          25     1.08839      1.0811  0.00354346
          26     1.08666     1.08132  0.00341361
          27     1.07717     1.08116  0.00329063
          28      1.0754     1.08096  0.00317953
          29     1.10698     1.08186  0.00319395
          30     1.09413     1.08226  0.00311356
          31     1.07178     1.08193  0.00303145
          32     1.09519     1.08234  0.00296491
          33     1.10909     1.08315  0.00298383
          34     1.08777     1.08329  0.00289916
          35     1.07947     1.08318  0.00281838
          36     1.08977     1.08336  0.00274603
          37      1.0822     1.08333  0.00267199
          38     1.07531     1.08312  0.00261001
          39     1.09815      1.0835  0.00257137
          40     1.04159     1.08246  0.00271219
          41     1.09933     1.08287  0.00267708
          42     1.05346     1.08217  0.00270338
          43     1.08235     1.08217  0.00264051
          44      1.0785     1.08209  0.00258182
          45     1.09006     1.08227  0.00253052
          46     1.06227     1.08183  0.00251258
          47     1.07305     1.08164  0.00246605
          48     1.07787     1.08157  0.00241593
          49     1.07256     1.08138  0.00237361
          50     1.04246      1.0806  0.00245047
          51     1.10353     1.08105  0.00244331
          52     1.08396     1.08111  0.00239696
          53     1.07056     1.08091  0.00235997
          54     1.10485     1.08135  0.00235755
          55     1.06655     1.08108  0.00232999
          56     1.07606     1.08099  0.00229011
          57     1.05407     1.08052  0.00229814
          58     1.08069     1.08052  0.00225852
          59     1.09249     1.08073  0.00222933
          60     1.06795     1.08051  0.00220232
          61     1.07439     1.08041   0.0021685
          62     1.05583     1.08002  0.00216947
          63     1.05185     1.07957   0.0021806
          64     1.08181     1.07961  0.00214681
          65     1.07372     1.07952  0.00211569
          66     1.07983     1.07952  0.00208364
          67     1.09064     1.07969  0.00205914
          68     1.04528     1.07918   0.0020901
          69     1.10989     1.07962  0.00210666
          70      1.0875     1.07974  0.00207956
          71     1.11071     1.08017  0.00209552
          72     1.07594     1.08011  0.00206724
          73     1.07935      1.0801  0.00203895
          74     1.06641     1.07992  0.00201977
          75     1.08561        1.08  0.00199427
          76     1.06771     1.07983  0.00197457
          77     1.06456     1.07964  0.00195886
          78     1.09741     1.07986  0.00194696
          79     1.10271     1.08015  0.00194367
          80     1.07419     1.08008   0.0019208
          81     1.09874     1.08031  0.00191086
          82     1.07785     1.08028  0.00188779
          83     1.07078     1.08016  0.00186852
          84     1.07311     1.08008  0.00184816
          85     1.06805     1.07994  0.00183182
          86     1.06924     1.07981  0.00181474
          87     1.06185     1.07961  0.00180559
          88      1.0655     1.07945  0.00179218
          89     1.09347      1.0796  0.00177895
          90     1.07773     1.07958  0.00175931
          91     1.09221     1.07972  0.00174544
          92     1.07669     1.07969  0.00172678
          93     1.08864     1.07979  0.00171089
          94     1.08627     1.07985  0.00169408
          95     1.07811     1.07984  0.00167634
          96     1.08599      1.0799  0.00166011
          97     1.09033     1.08001  0.00164647
          98     1.03686     1.07957  0.00168751
          99     1.07375     1.07951  0.00167149
         100     1.05273     1.07924  0.00167608
