#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80577    -3.80577           0
           2      -3.805    -3.80539 0.000271817
           3    -3.80287    -3.80455 0.000708987
           4    -3.80427    -3.80448 0.000535211
           5    -3.80566    -3.80471 0.000477375
           6    -3.80541    -3.80483 0.000411487
           7    -3.80536     -3.8049 0.000359569
           8    -3.80447    -3.80485 0.000318785
           9     -3.8035     -3.8047 0.000316552
          10    -3.80448    -3.80468 0.000285657
          11     -3.8043    -3.80464 0.000261747
          12    -3.80185    -3.80441 0.000327557
          13    -3.80266    -3.80428 0.000328809
          14    -3.80473    -3.80431 0.000306927
          15    -3.80508    -3.80436 0.000290748
          16    -3.80371    -3.80432 0.000275368
          17    -3.80268    -3.80422 0.000275624
          18    -3.79923    -3.80395 0.000374861
          19     -3.8023    -3.80386  0.00036497
          20    -3.80164    -3.80375 0.000363214
          21     -3.8033    -3.80373 0.000346554
          22    -3.80236    -3.80366  0.00033636
          23     -3.8028    -3.80363 0.000323832
          24    -3.80366    -3.80363 0.000310342
          25    -3.80581    -3.80372 0.000309935
          26    -3.80434    -3.80374 0.000298952
          27    -3.80596    -3.80382 0.000299011
          28    -3.80641    -3.80391 0.000302281
          29     -3.8058    -3.80398 0.000298746
          30    -3.80553    -3.80403 0.000293232
          31    -3.80336    -3.80401 0.000284577
          32    -3.80307    -3.80398 0.000277203
          33    -3.79914    -3.80383 0.000305137
          34     -3.8023    -3.80379  0.00029949
          35     -3.8022    -3.80374 0.000294338
          36    -3.80409    -3.80375  0.00028632
          37    -3.80323    -3.80374 0.000278928
          38    -3.80654    -3.80381 0.000281141
          39    -3.80412    -3.80382 0.000274046
          40    -3.80468    -3.80384 0.000268042
          41    -3.80298    -3.80382 0.000262318
          42    -3.80391    -3.80382 0.000256081
          43    -3.80023    -3.80374 0.000263435
          44    -3.80193     -3.8037 0.000260621
          45    -3.80126    -3.80364 0.000260393
          46    -3.80544    -3.80368 0.000257638
          47    -3.80348    -3.80368 0.000252193
          48    -3.80122    -3.80363 0.000252104
          49    -3.80535    -3.80366 0.000249402
          50    -3.80194    -3.80363 0.000246777
          51    -3.80524    -3.80366 0.000243949
          52    -3.80347    -3.80366 0.000239284
          53    -3.80603     -3.8037 0.000238919
          54    -3.80235    -3.80368 0.000235805
          55    -3.80357    -3.80367 0.000231526
          56     -3.8061    -3.80372 0.000231422
          57    -3.80697    -3.80377 0.000234314
          58    -3.80679    -3.80383 0.000235982
          59    -3.80644    -3.80387 0.000236103
          60    -3.80399    -3.80387 0.000232176
          61    -3.80159    -3.80384 0.000231364
          62    -3.80643    -3.80388  0.00023138
          63     -3.8028    -3.80386 0.000228339
          64    -3.80207    -3.80383 0.000226472
          65    -3.80077    -3.80378 0.000227841
          66    -3.79868    -3.80371 0.000237153
          67    -3.79866    -3.80363 0.000245282
          68    -3.80015    -3.80358 0.000246957
          69    -3.80241    -3.80356 0.000243956
          70    -3.80525    -3.80359 0.000241663
          71    -3.80232    -3.80357 0.000238915
          72    -3.80551     -3.8036 0.000237107
          73    -3.80637    -3.80364 0.000236883
          74    -3.80494    -3.80365 0.000234336
          75    -3.80457    -3.80367 0.000231532
          76    -3.80664     -3.8037 0.000231771
          77    -3.80708    -3.80375 0.000232882
          78    -3.80333    -3.80374 0.000229959
          79    -3.80278    -3.80373 0.000227371
          80    -3.80694    -3.80377 0.000228051
          81    -3.80503    -3.80379 0.000225765
          82    -3.80312    -3.80378 0.000223159
          83     -3.8038    -3.80378  0.00022047
          84    -3.80588     -3.8038 0.000219267
          85    -3.80519    -3.80382  0.00021729
          86    -3.80221     -3.8038  0.00021557
          87    -3.80467    -3.80381 0.000213321
          88    -3.80497    -3.80382 0.000211307
          89    -3.80539    -3.80384 0.000209661
          90    -3.80048     -3.8038 0.000210636
          91    -3.80279    -3.80379 0.000208616
          92    -3.80599    -3.80382 0.000207711
          93    -3.80668    -3.80385 0.000207741
          94    -3.80603    -3.80387 0.000206821
          95    -3.80608    -3.80389 0.000205942
          96    -3.80436     -3.8039 0.000203854
          97    -3.80408     -3.8039 0.000201762
          98    -3.80048    -3.80387 0.000202697
          99    -3.80163    -3.80384 0.000201901
         100    -3.79816    -3.80379 0.000207736
