#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        2.31        2.31           0
           2     2.30978     2.30989 7.61722e-05
           3     2.30914     2.30964 0.000211255
           4     2.30806     2.30925 0.000376471
           5     2.30656     2.30871 0.000567145
           6     2.30463     2.30803   0.0007802
           7     2.30227     2.30721  0.00101343
           8     2.29949     2.30624  0.00126517
           9     2.29628     2.30514  0.00153407
          10     2.29265     2.30389  0.00181896
          11      2.2886      2.3025  0.00211882
          12     2.28414     2.30097   0.0024327
          13     2.27926      2.2993  0.00275979
          14     2.27397     2.29749  0.00309954
