#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -253203     -253203           0
           2     -253182     -253192     7.36429
           3     -253147     -253177      13.218
           4     -253099     -253157     19.6861
           5     -253036     -253133     26.7967
           6     -252960     -253104     34.5166
           7     -252870     -253071     42.8073
           8     -252767     -253033     51.6338
           9     -252639     -252989     61.6878
          10     -252498     -252940     72.4568
          11     -252313     -252883     85.4257
          12     -252124     -252820     99.0015
          13     -251932     -252752     112.489
          14     -251706     -252677     126.827
