#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     73054.9     73054.9           0
           2       73176     73115.4     42.8277
           3     73377.7     73202.9      76.873
           4     73659.7     73317.1     114.492
           5     74021.9     73458.1     155.847
           6     74464.1     73625.7     200.743
           7     74986.1     73820.1     248.955
           8     75587.6       74041     300.275
           9     76291.1       74291     356.092
          10     77073.4     74569.3     415.193
          11     78002.7     74881.4     480.662
          12     78987.3     75223.6     549.044
          13     80026.8       75593     618.766
          14     81189.6     75992.8     691.751
