#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.799681    0.799681           0
           2     0.80027    0.799975  0.00020832
           3    0.803141    0.801031 0.000872582
           4    0.802984    0.801519 0.000779153
           5    0.793658    0.799947  0.00153812
           6    0.800695    0.800071  0.00128682
           7    0.800407    0.800119  0.00110388
           8    0.804524     0.80067  0.00109462
           9    0.793545    0.799878  0.00122633
          10    0.798292     0.79972  0.00111391
          11    0.796995    0.799472  0.00103981
          12    0.796336    0.799211 0.000985461
          13    0.800242     0.79929 0.000912847
          14    0.805639    0.799743 0.000953661
          15    0.801327    0.799849 0.000895907
          16    0.802873    0.800038 0.000859618
          17    0.793856    0.799674 0.000882625
          18     0.80381    0.799904 0.000862981
          19    0.791568    0.799465 0.000922369
          20    0.805256    0.799755 0.000920567
          21    0.801197    0.799824 0.000879289
          22    0.798306    0.799755 0.000842021
          23    0.799916    0.799762  0.00080544
          24    0.800914     0.79981  0.00077331
          25    0.799554    0.799799 0.000742445
          26    0.801911    0.799881 0.000718319
          27    0.795285     0.79971 0.000711595
          28    0.809017    0.800043 0.000759845
          29    0.800775    0.800068 0.000734063
          30     0.79513    0.799903 0.000727813
          31    0.803976    0.800035 0.000716093
          32    0.799306    0.800012 0.000694078
          33    0.800206    0.800018  0.00067307
          34    0.806083    0.800196 0.000676502
          35    0.797738    0.800126 0.000660811
          36     0.79906    0.800096 0.000643118
          37    0.799528    0.800081  0.00062592
          38    0.802256    0.800138 0.000612059
          39    0.795505    0.800019 0.000607783
          40    0.797203    0.799949 0.000596654
          41    0.800259    0.799957 0.000582149
          42    0.799283    0.799941 0.000568509
          43    0.796643    0.799864 0.000560438
          44    0.801824    0.799908 0.000549469
          45    0.812891    0.800197 0.000608297
          46    0.795675    0.800099 0.000602963
          47    0.798547    0.800066 0.000591038
          48    0.803525    0.800138 0.000583103
          49      0.7996    0.800127 0.000571306
          50     0.80498    0.800224 0.000568066
          51    0.790818    0.800039 0.000586099
          52    0.800699    0.800052 0.000574965
          53    0.793324    0.799925 0.000577962
          54    0.801442    0.799953 0.000567941
          55    0.800292    0.799959 0.000557649
          56    0.800927    0.799977 0.000547958
          57    0.794571    0.799882  0.00054649
          58    0.801896    0.799917  0.00053817
          59    0.800531    0.799927 0.000529149
          60    0.797544    0.799887 0.000521817
          61    0.807607    0.800014 0.000528387
          62    0.787847    0.799818 0.000555109
          63    0.798279    0.799793 0.000546834
          64     0.79684    0.799747 0.000540233
          65    0.802055    0.799782 0.000533087
          66    0.793835    0.799692 0.000532573
          67    0.804114    0.799758 0.000528697
          68    0.789822    0.799612 0.000540738
          69    0.803159    0.799664 0.000535339
          70    0.799081    0.799655 0.000527756
          71    0.796263    0.799608 0.000522481
          72    0.806401    0.799702 0.000523674
          73    0.798592    0.799687 0.000516721
          74    0.797551    0.799658 0.000510543
          75    0.800987    0.799676 0.000504043
          76    0.795935    0.799626 0.000499809
          77    0.805143    0.799698 0.000498426
          78    0.798197    0.799679 0.000492408
          79    0.805303     0.79975 0.000491295
          80    0.792131    0.799655 0.000494298
          81    0.803059    0.799697 0.000489979
          82    0.794879    0.799638 0.000487513
          83    0.791632    0.799542  0.00049109
          84    0.804185    0.799597 0.000488345
          85    0.800447    0.799607 0.000482702
          86    0.798006    0.799588 0.000477448
          87    0.805906    0.799661 0.000477451
          88    0.793909    0.799595 0.000476478
          89    0.801458    0.799616 0.000471584
          90     0.80614    0.799689 0.000471881
          91     0.79343     0.79962 0.000471682
          92    0.798426    0.799607 0.000466734
          93    0.795244     0.79956 0.000464067
          94    0.799792    0.799563 0.000459137
          95    0.802705    0.799596 0.000455494
          96    0.799941    0.799599 0.000450763
          97    0.799614    0.799599 0.000446116
          98    0.804245    0.799647 0.000444075
          99    0.793687    0.799587 0.000443652
         100    0.793832    0.799529 0.000442932
