#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.32351    -6.32351           0
           2     -6.3285    -6.32601  0.00176406
           3    -6.32432    -6.32544  0.00126251
           4    -6.32587    -6.32555 0.000951292
           5    -6.32318    -6.32508 0.000871168
           6    -6.32801    -6.32557  0.00085265
           7    -6.32128    -6.32495 0.000925089
           8    -6.32454     -6.3249 0.000810917
           9    -6.32305    -6.32469 0.000746529
          10    -6.32277     -6.3245 0.000696186
          11    -6.32671     -6.3247 0.000661249
          12     -6.3272    -6.32491 0.000638165
          13     -6.3264    -6.32503 0.000599191
          14    -6.32622    -6.32511 0.000562391
          15    -6.32263    -6.32495 0.000548649
          16    -6.32768    -6.32512 0.000540353
          17    -6.32498    -6.32511 0.000508628
          18    -6.32602    -6.32516 0.000482883
          19    -6.32649    -6.32523 0.000462553
          20    -6.32869     -6.3254 0.000470704
          21     -6.3279    -6.32552 0.000463064
          22    -6.32256    -6.32539 0.000461177
          23    -6.32761    -6.32548 0.000451124
          24    -6.32685    -6.32554 0.000435932
          25    -6.32281    -6.32543 0.000432005
          26     -6.3283    -6.32554 0.000429207
          27    -6.32576    -6.32555 0.000413384
          28    -6.32159    -6.32541 0.000422129
          29    -6.32411    -6.32536 0.000409943
          30    -6.32487    -6.32535 0.000396602
          31    -6.32251    -6.32526  0.00039421
          32    -6.32816    -6.32535 0.000392181
          33      -6.325    -6.32534  0.00038044
          34     -6.3245    -6.32531 0.000370039
          35    -6.32309    -6.32525 0.000364878
          36    -6.32293    -6.32518 0.000360384
          37     -6.3242    -6.32516 0.000351624
          38     -6.3257    -6.32517 0.000342667
          39    -6.32536    -6.32518 0.000333915
          40    -6.32773    -6.32524  0.00033163
          41    -6.32669    -6.32527 0.000325424
          42    -6.32176    -6.32519 0.000328233
          43     -6.3256     -6.3252 0.000320734
          44    -6.32769    -6.32526 0.000318416
          45    -6.32273     -6.3252 0.000316238
          46    -6.32667    -6.32523 0.000310979
          47    -6.32783    -6.32529 0.000309246
          48    -6.32909    -6.32537 0.000312794
          49     -6.3246    -6.32535 0.000306801
          50    -6.32601    -6.32537 0.000300951
          51    -6.32812    -6.32542 0.000299863
          52    -6.32499    -6.32541 0.000294207
          53    -6.32641    -6.32543 0.000289262
          54    -6.32538    -6.32543 0.000283907
          55    -6.32804    -6.32548 0.000282697
          56    -6.32732    -6.32551 0.000279563
          57    -6.32667    -6.32553 0.000275402
          58    -6.33169    -6.32564 0.000290397
          59    -6.32406    -6.32561 0.000286704
          60    -6.32616    -6.32562 0.000282071
          61    -6.33098    -6.32571  0.00029081
          62    -6.32603    -6.32571 0.000286167
          63    -6.32437    -6.32569 0.000282413
          64    -6.31969     -6.3256  0.00029316
          65    -6.32605     -6.3256 0.000288731
          66    -6.32923    -6.32566 0.000289527
          67    -6.32864     -6.3257 0.000288596
          68    -6.32484    -6.32569 0.000284633
          69    -6.32438    -6.32567 0.000281136
          70    -6.32283    -6.32563 0.000280041
          71    -6.32799    -6.32566  0.00027806
          72    -6.32636    -6.32567 0.000274366
          73    -6.32722    -6.32569 0.000271425
          74    -6.32606     -6.3257 0.000267802
          75    -6.32826    -6.32573 0.000266404
          76     -6.3305     -6.3258 0.000270181
          77    -6.32531    -6.32579 0.000266746
          78      -6.325    -6.32578 0.000263519
          79    -6.32697     -6.3258 0.000260617
          80    -6.32463    -6.32578 0.000257765
          81    -6.32768     -6.3258 0.000255641
          82    -6.32391    -6.32578  0.00025356
          83    -6.33059    -6.32584 0.000257044
          84    -6.32385    -6.32582 0.000255074
          85    -6.32543    -6.32581 0.000252113
          86    -6.32906    -6.32585 0.000252004
          87    -6.33079    -6.32591 0.000255429
          88    -6.32669    -6.32591 0.000252683
          89    -6.32127    -6.32586 0.000255183
          90    -6.32902     -6.3259 0.000254743
          91    -6.32666    -6.32591  0.00025208
          92    -6.32574     -6.3259 0.000249346
          93    -6.32493    -6.32589 0.000246885
          94    -6.32198    -6.32585 0.000247742
          95    -6.32629    -6.32586 0.000245178
          96    -6.32448    -6.32584 0.000243045
          97    -6.33025    -6.32589 0.000244754
          98    -6.32881    -6.32592 0.000244069
          99    -6.32617    -6.32592 0.000241617
         100    -6.32668    -6.32593 0.000239322
