#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.970004    0.970004           0
           2     0.97003    0.970017 9.22377e-06
           3    0.970083    0.970039 1.88795e-05
           4    0.970162     0.97007 3.01191e-05
           5    0.970268    0.970109 4.28554e-05
           6    0.970402    0.970158 5.70459e-05
           7    0.970564    0.970216 7.26533e-05
           8    0.970757    0.970284 8.96628e-05
           9    0.970981    0.970361 0.000108094
          10    0.971237    0.970449 0.000127953
          11    0.971528    0.970547  0.00014924
          12    0.971853    0.970656 0.000171976
          13    0.972216    0.970776   0.0001962
          14    0.972618    0.970907 0.000221966
          15    0.973062    0.971051 0.000249336
          16     0.97355    0.971207 0.000278398
          17    0.974086    0.971376 0.000309252
          18    0.974672     0.97156 0.000342008
          19    0.975314    0.971757 0.000376783
          20    0.976014     0.97197 0.000413713
          21    0.976778    0.972199 0.000452954
          22    0.977611    0.972445 0.000494673
          23    0.978518    0.972709 0.000539054
          24    0.979506    0.972992 0.000586289
          25    0.980581    0.973296 0.000636589
          26    0.981751    0.973621 0.000690183
          27    0.983023    0.973969 0.000747325
          28    0.984408    0.974342 0.000808291
          29    0.985914    0.974741 0.000873386
          30    0.987556    0.975168 0.000942963
          31    0.989346    0.975626  0.00101743
          32    0.991305    0.976116  0.00109729
          33    0.993452    0.976641  0.00118313
          34    0.995814    0.977205  0.00127566
          35    0.998422    0.977811  0.00137573
          36     1.00131    0.978464  0.00148437
          37     1.00453    0.979168  0.00160276
          38     1.00812     0.97993  0.00173221
          39     1.01211    0.980755    0.001874
          40      1.0165    0.981649  0.00202905
          41     1.02122    0.982614  0.00219711
          42     1.02597    0.983646  0.00237498
          43     1.03005    0.984725  0.00255318
          44     1.03202      0.9858  0.00271201
          45     1.03024    0.986788  0.00282584
          46     1.02597     0.98764  0.00288992
          47      1.0256    0.988447  0.00293913
          48     1.03166    0.989348  0.00301264
          49     1.03953    0.990372  0.00312037
          50     1.04725    0.991509  0.00325875
          51     1.05529     0.99276  0.00342642
          52     1.06287    0.994108  0.00361607
          53     1.06812    0.995505  0.00380797
          54     1.06968    0.996878  0.00397746
          55     1.06759    0.998164  0.00410768
          56     1.06341    0.999329   0.0041963
          57     1.06049      1.0004  0.00425768
          58     1.06392      1.0015  0.00432281
          59     1.07368     1.00272  0.00441927
          60     1.08319     1.00406  0.00454459
          61     1.08844     1.00545  0.00467584
          62     1.08962      1.0068  0.00479347
          63     1.08921     1.00811   0.0048926
          64     1.08914     1.00938  0.00497727
          65      1.0893     1.01061   0.0050503
          66     1.09118     1.01183   0.0051192
          67      1.0973      1.0131  0.00519931
          68     1.10617     1.01447  0.00529994
          69     1.11374     1.01591  0.00541488
          70     1.11744     1.01736  0.00552838
          71     1.11641     1.01876  0.00562376
          72     1.11071     1.02003  0.00568884
          73     1.10301     1.02117  0.00572335
          74     1.09951     1.02223  0.00574307
          75     1.10346     1.02331  0.00576774
          76     1.11076     1.02446  0.00580549
          77      1.1165     1.02566  0.00585186
          78     1.11876     1.02685   0.0058973
          79     1.11687     1.02799  0.00593172
          80     1.11072     1.02902  0.00594704
          81     1.10282     1.02994  0.00594299
          82     1.09884     1.03078  0.00592961
          83     1.10146     1.03163  0.00591902
          84     1.10782     1.03253  0.00591765
          85     1.11441      1.0335   0.0059259
          86     1.11933      1.0345  0.00594044
          87     1.12234     1.03551  0.00595736
          88     1.12436     1.03652   0.0059746
          89     1.12642     1.03753  0.00599226
          90     1.12901     1.03854  0.00601128
          91     1.13203     1.03957  0.00603237
          92     1.13514     1.04061  0.00605559
          93     1.13814     1.04166  0.00608061
          94     1.14087     1.04271  0.00610684
          95     1.14305     1.04377  0.00613321
          96     1.14401     1.04481  0.00615757
          97     1.14288     1.04582  0.00617653
          98      1.1394     1.04678  0.00618687
          99     1.13488     1.04767  0.00618805
         100     1.13077      1.0485  0.00618171
         101     1.12604     1.04927    0.006168
         102     1.12253     1.04999   0.0061492
         103     1.12757     1.05074  0.00613546
         104     1.14034      1.0516  0.00613665
         105     1.15248     1.05256  0.00615296
         106     1.15882     1.05356  0.00617603
         107     1.15556     1.05452  0.00619143
         108     1.14219     1.05533  0.00618709
         109     1.13501     1.05606  0.00617336
         110     1.14271     1.05685  0.00616729
         111     1.14652     1.05765  0.00616442
         112     1.14464     1.05843  0.00615811
         113     1.14597     1.05921  0.00615214
         114     1.15028     1.06001  0.00614982
         115     1.15556     1.06084  0.00615223
         116     1.16005     1.06169  0.00615835
         117     1.16068     1.06254  0.00616356
         118     1.15651     1.06333  0.00616257
         119     1.14935     1.06406  0.00615303
         120     1.14177      1.0647  0.00613574
         121      1.1372      1.0653  0.00611421
         122     1.13925     1.06591  0.00609406
         123     1.14602     1.06656  0.00607922
         124     1.15238     1.06725  0.00606947
         125     1.15683     1.06797  0.00606307
         126     1.16017      1.0687  0.00605895
         127     1.16255     1.06944  0.00605614
         128     1.16358     1.07018  0.00605332
         129     1.16325      1.0709  0.00604923
         130     1.16222      1.0716  0.00604336
         131     1.16162     1.07229  0.00603617
         132     1.16203     1.07297  0.00602861
         133     1.16261     1.07364  0.00602083
         134      1.1614      1.0743  0.00601142
         135     1.15803     1.07492   0.0059988
         136     1.15694     1.07552  0.00598493
         137     1.16127     1.07614  0.00597389
         138     1.16509     1.07679  0.00596528
         139     1.16426     1.07742  0.00595546
         140     1.16394     1.07804   0.0059449
         141     1.16772     1.07867  0.00593667
         142     1.17254     1.07933  0.00593155
         143     1.17685     1.08002  0.00592914
         144     1.18118     1.08072  0.00592944
         145     1.18556     1.08144  0.00593247
         146     1.18977     1.08218  0.00593806
         147     1.19383     1.08294  0.00594603
         148     1.19776     1.08372  0.00595625
         149     1.20126     1.08451  0.00596829
         150     1.20339      1.0853  0.00598089
         151     1.20174     1.08607  0.00599079
         152     1.19108     1.08676  0.00599108
         153     1.17012     1.08731  0.00597665
         154     1.16478     1.08781  0.00595898
         155     1.18457     1.08843  0.00595314
         156     1.20044     1.08915  0.00595811
         157     1.20763     1.08991  0.00596777
         158     1.21074     1.09067   0.0059788
         159     1.21088     1.09143  0.00598881
         160     1.20954     1.09217   0.0059967
         161     1.21045      1.0929  0.00600429
         162     1.21562     1.09366  0.00601482
         163     1.22256     1.09445  0.00602968
         164     1.22799     1.09526  0.00604765
         165     1.23008     1.09608  0.00606594
         166     1.22757     1.09687  0.00608089
         167     1.21959     1.09761  0.00608872
         168     1.20702     1.09826  0.00608721
         169      1.1955     1.09883  0.00607832
         170     1.19392     1.09939  0.00606825
         171     1.20534     1.10001  0.00606431
         172     1.22004     1.10071  0.00606907
         173     1.22511     1.10143  0.00607643
         174      1.2198     1.10211  0.00607947
         175     1.21464     1.10275  0.00607864
         176     1.21591      1.1034  0.00607801
         177     1.21893     1.10405  0.00607862
         178     1.21939      1.1047  0.00607892
         179     1.21596     1.10532  0.00607665
         180     1.20819     1.10589  0.00606971
         181     1.19758      1.1064  0.00605727
         182     1.18928     1.10685  0.00604109
         183      1.1873     1.10729  0.00602405
         184     1.18874     1.10773  0.00600755
         185     1.18967     1.10818  0.00599138
         186     1.18992     1.10862  0.00597527
         187      1.1905     1.10905  0.00595934
         188     1.19138     1.10949  0.00594371
         189      1.1914     1.10993  0.00592804
         190     1.18892     1.11034   0.0059114
         191     1.18275     1.11072  0.00589259
         192     1.17447     1.11105  0.00587125
         193     1.17039     1.11136  0.00584887
         194     1.17401     1.11168  0.00582763
         195     1.17991     1.11203  0.00580824
         196     1.18308      1.1124  0.00578991
         197     1.18333     1.11276   0.0057717
         198     1.18211     1.11311  0.00575317
         199     1.18062     1.11344  0.00573425
         200     1.17926     1.11377  0.00571502
         201     1.17766     1.11409  0.00569541
         202     1.17518     1.11439  0.00567524
         203     1.17194     1.11468  0.00565436
         204     1.16935     1.11495  0.00563299
         205     1.16929     1.11521  0.00561175
         206      1.1722     1.11549  0.00559132
         207     1.17693     1.11578  0.00557218
         208     1.18217      1.1161  0.00555453
         209     1.18727     1.11644  0.00553838
         210     1.19151      1.1168  0.00552353
         211     1.19348     1.11716  0.00550929
         212     1.19108     1.11751  0.00549432
         213     1.18223     1.11782  0.00547692
         214     1.16784     1.11805  0.00545632
         215     1.15691     1.11823  0.00543393
         216     1.15964     1.11842  0.00541216
         217     1.17105     1.11867  0.00539265
         218     1.18164     1.11895  0.00537564
         219     1.18971     1.11928  0.00536079
         220     1.19615     1.11963   0.0053478
         221     1.20046     1.11999   0.0053361
         222     1.20204     1.12036  0.00532484
         223      1.2014     1.12073  0.00531335
         224     1.19944     1.12108  0.00530124
         225     1.19621     1.12141  0.00528818
         226     1.19176     1.12172  0.00527394
         227     1.18818     1.12202  0.00525882
         228     1.18731      1.1223  0.00524355
         229     1.18791     1.12259  0.00522847
         230     1.19083     1.12288  0.00521415
         231     1.19592      1.1232  0.00520116
         232     1.19786     1.12352  0.00518869
         233     1.19412     1.12383  0.00517526
         234     1.18802      1.1241  0.00516041
         235     1.18567     1.12436  0.00514509
         236     1.18891     1.12464  0.00513056
         237     1.19408     1.12493  0.00511727
         238     1.19794     1.12524  0.00510495
         239     1.19799     1.12554  0.00509266
         240     1.19199     1.12582  0.00507896
         241     1.18218     1.12605  0.00506327
         242     1.17515     1.12625  0.00504641
         243     1.17238     1.12644  0.00502921
         244     1.17541     1.12664   0.0050126
         245     1.18668     1.12689  0.00499813
         246      1.1979     1.12718  0.00498614
         247     1.20521     1.12749  0.00497595
         248     1.21068     1.12783  0.00496718
         249     1.21472     1.12818  0.00495947
         250     1.21646     1.12853  0.00495219
         251      1.2154     1.12888  0.00494454
         252     1.21168     1.12921  0.00493582
         253     1.20631     1.12951  0.00492572
         254     1.20124     1.12979  0.00491441
         255     1.19826     1.13006  0.00490247
         256     1.19725     1.13032  0.00489034
         257     1.19702     1.13058  0.00487819
         258     1.19866     1.13085  0.00486641
         259     1.20335     1.13113  0.00485567
         260     1.20804     1.13142    0.004846
         261     1.20997     1.13172  0.00483676
         262     1.20884     1.13202  0.00482725
         263     1.20473     1.13229  0.00481681
         264     1.19934     1.13255  0.00480525
         265     1.19613     1.13279   0.0047931
         266     1.19722     1.13303   0.0047812
         267     1.20385      1.1333  0.00477065
         268     1.21461      1.1336  0.00476248
         269     1.22449     1.13394  0.00475675
         270     1.23005     1.13429  0.00475243
         271      1.2309     1.13465  0.00474825
         272     1.22757     1.13499  0.00474306
         273     1.22046      1.1353  0.00473601
         274     1.21112     1.13558   0.0047268
         275      1.2041     1.13583  0.00471618
         276      1.2037     1.13608   0.0047055
         277     1.20792     1.13634  0.00469565
         278     1.21204     1.13661  0.00468665
         279     1.21392     1.13689  0.00467804
         280     1.21356     1.13716  0.00466934
         281     1.21172     1.13742  0.00466025
         282     1.20962     1.13768  0.00465076
         283     1.20788     1.13793  0.00464093
         284     1.20518     1.13817  0.00463063
         285     1.20085     1.13839   0.0046196
         286     1.19823     1.13859  0.00460819
         287     1.20016     1.13881  0.00459712
         288     1.20448     1.13904  0.00458681
         289     1.20764     1.13927  0.00457708
         290     1.20758     1.13951  0.00456735
         291     1.20442     1.13973   0.0045571
         292      1.1999     1.13994  0.00454615
         293     1.19631     1.14013   0.0045347
         294     1.19577     1.14032  0.00452322
         295     1.19887     1.14052  0.00451224
         296      1.2036     1.14073  0.00450203
         297     1.20712     1.14096  0.00449242
         298     1.20774     1.14118  0.00448293
         299     1.20474     1.14139  0.00447297
         300     1.19892     1.14158  0.00446217
         301     1.19379     1.14176  0.00445071
         302     1.19221     1.14192  0.00443911
         303     1.19275     1.14209  0.00442763
         304     1.19356     1.14226   0.0044163
         305     1.19295     1.14243  0.00440495
         306     1.18885     1.14258  0.00439316
         307     1.18129     1.14271  0.00438066
         308     1.17647     1.14282  0.00436781
         309     1.18363     1.14295  0.00435567
         310     1.19641     1.14312  0.00434503
         311     1.20411     1.14332  0.00433549
         312     1.20545     1.14352  0.00432616
         313     1.20159      1.1437  0.00431632
         314      1.1949     1.14386  0.00430565
         315     1.19179     1.14402  0.00429467
         316     1.19484     1.14418  0.00428409
         317     1.19852     1.14435    0.004274
         318     1.19972     1.14452  0.00426411
         319      1.1989     1.14469  0.00425415
         320     1.19466     1.14485  0.00424372
         321     1.18393     1.14497  0.00423224
         322     1.16761     1.14504  0.00421968
         323     1.15763     1.14508   0.0042068
         324     1.16504     1.14514  0.00419426
         325     1.18014     1.14525  0.00418274
         326     1.19249     1.14539  0.00417242
