#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.97683     1.97683           0
           2     1.94078      1.9588   0.0127429
           3     1.84578     1.92113   0.0319133
           4     1.65505     1.85461   0.0623821
           5     1.38266     1.76022   0.0980729
           6     1.13701     1.65635    0.125179
           7      1.0253      1.5662    0.135935
           8       1.043      1.5008    0.133754
           9     1.07612     1.45361    0.126944
          10     1.09109     1.41736    0.119313
          11     1.09998     1.38851    0.111901
          12     1.10969     1.36527     0.10496
          13     1.11224     1.34581   0.0986747
          14     1.09506      1.3279   0.0932378
          15     1.08938       1.312   0.0883675
          16     1.12019     1.30001   0.0836538
          17     1.16711     1.29219   0.0790974
          18     1.18532     1.28626   0.0749256
          19     1.18142     1.28074    0.071185
          20     1.16831     1.27512   0.0678473
          21     1.14181     1.26877   0.0649128
          22      1.1063     1.26138   0.0623809
          23     1.06968     1.25305   0.0602229
          24     1.04864     1.24453   0.0583128
          25     1.06577     1.23738    0.056417
          26     1.10032     1.23211   0.0544928
          27     1.11998     1.22796   0.0526326
          28     1.10814     1.22368   0.0509265
          29      1.0893     1.21904   0.0493808
          30     1.08285      1.2145    0.047943
          31     1.06496     1.20968   0.0466385
          32     1.05239     1.20476   0.0454393
          33     1.05874     1.20034   0.0442773
          34     1.05809     1.19616   0.0431722
          35     1.02706     1.19132   0.0422082
          36    0.992656     1.18581   0.0413949
          37    0.976182     1.18014    0.040662
          38    0.994425     1.17525   0.0398846
          39       1.042     1.17184    0.039008
          40     1.09728     1.16997   0.0380773
          41     1.14724     1.16942   0.0371526
          42     1.16723     1.16937   0.0362681
          43     1.16605     1.16929   0.0354247
          44      1.1614     1.16911     0.03462
          45     1.16039     1.16892   0.0338512
          46     1.15892      1.1687    0.033116
          47      1.1562     1.16843   0.0324125
          48     1.16709      1.1684   0.0317373
          49     1.17326      1.1685   0.0310897
          50     1.15518     1.16824   0.0304691
          51     1.13963     1.16768   0.0298768
          52     1.14796      1.1673   0.0293047
          53     1.15207     1.16701   0.0287531
          54     1.14838     1.16666   0.0282227
          55     1.15589     1.16647   0.0277103
          56     1.16938     1.16652   0.0272155
          57      1.1807     1.16677   0.0267392
          58     1.19415     1.16724   0.0262823
          59     1.20247     1.16784   0.0258436
          60      1.1903     1.16821   0.0254156
          61     1.15045     1.16792   0.0250006
          62     1.07695     1.16645   0.0246404
          63    0.977213     1.16345   0.0244317
          64    0.937278     1.15992   0.0243042
          65    0.994598     1.15737    0.024063
          66     1.08017      1.1562   0.0237268
          67     1.14053     1.15597   0.0233739
          68     1.14935     1.15587   0.0230303
          69     1.11471     1.15528   0.0227043
          70     1.06095     1.15393   0.0224199
          71     1.04762     1.15243   0.0221541
          72     1.08985     1.15156   0.0218634
          73     1.13605     1.15135   0.0215649
          74     1.16267      1.1515   0.0212741
          75     1.16574     1.15169   0.0209913
          76     1.13808     1.15151   0.0207158
          77     1.09638      1.1508   0.0204591
          78     1.06409     1.14969    0.020227
          79      1.0614     1.14857   0.0200018
          80     1.08307     1.14775   0.0197686
          81     1.09216     1.14706   0.0195364
          82     1.10014     1.14649   0.0193065
          83     1.11065     1.14606   0.0190788
          84     1.11803     1.14573   0.0188546
          85     1.11671     1.14538   0.0186358
          86     1.09757     1.14483   0.0184274
          87     1.07917     1.14407   0.0182311
          88     1.08674     1.14342   0.0180355
          89     1.10459     1.14299   0.0178382
          90     1.10678     1.14258   0.0176445
          91     1.10887     1.14221   0.0174545
          92     1.13893     1.14218   0.0172648
          93     1.18654     1.14265   0.0170857
          94     1.21742     1.14345   0.0169225
          95     1.19434     1.14398   0.0167528
          96     1.12898     1.14383    0.016579
          97     1.09589     1.14333   0.0164155
          98     1.10979     1.14299   0.0162516
          99      1.1308     1.14287   0.0160879
         100     1.14093     1.14285    0.015927
         101     1.14992     1.14292   0.0157695
         102      1.1384     1.14288   0.0156149
         103     1.11841     1.14264   0.0154651
         104     1.12262     1.14245   0.0153176
         105     1.14177     1.14244   0.0151717
         106      1.1583     1.14259   0.0150293
         107      1.1544      1.1427   0.0148893
         108     1.13443     1.14262   0.0147516
         109      1.1318     1.14252   0.0146166
         110     1.13547     1.14246   0.0144839
         111      1.1217     1.14227   0.0143546
         112     1.10184     1.14191    0.014231
         113     1.08471      1.1414    0.014114
         114     1.07053     1.14078   0.0140039
         115     1.10195     1.14045   0.0138862
         116     1.15143     1.14054   0.0137668
         117     1.13751     1.14051   0.0136492
         118     1.07491     1.13996   0.0135448
         119     1.04039     1.13912   0.0134568
         120     1.07479     1.13859   0.0133554
         121     1.10242     1.13829   0.0132483
         122     1.08984     1.13789   0.0131457
         123     1.09053      1.1375   0.0130445
         124     1.09949      1.1372   0.0129429
         125     1.10767     1.13696   0.0128415
         126     1.12084     1.13683   0.0127402
         127     1.12659     1.13675   0.0126401
         128     1.12348     1.13665   0.0125418
         129      1.1285     1.13659   0.0124447
         130     1.13882      1.1366    0.012349
         131     1.12247      1.1365   0.0122552
         132     1.05681     1.13589   0.0121772
         133    0.987616     1.13478   0.0121366
         134    0.987822     1.13368   0.0120955
         135     1.02781      1.1329   0.0120313
         136     1.04849     1.13228   0.0119588
         137     1.01543     1.13142   0.0119019
         138    0.967471     1.13023   0.0118748
         139    0.981721     1.12917   0.0118373
         140      1.0473     1.12858   0.0117672
         141     1.09805     1.12836   0.0116858
         142     1.10263     1.12818   0.0116049
         143     1.07893     1.12784   0.0115288
         144     1.06253     1.12739   0.0114577
         145      1.0547     1.12688   0.0113896
         146      1.0341     1.12625   0.0113293
         147    0.999479     1.12539    0.011285
         148     1.00117     1.12455   0.0112399
         149     1.06681     1.12416   0.0111712
         150     1.12346     1.12415   0.0110967
         151     1.13964     1.12426   0.0110237
         152     1.15649     1.12447   0.0109532
         153     1.16675     1.12475   0.0108851
         154     1.15284     1.12493    0.010816
         155     1.13575       1.125   0.0107464
         156     1.13762     1.12508   0.0106778
         157     1.15901      1.1253    0.010612
         158     1.16363     1.12554   0.0105476
         159     1.12738     1.12555   0.0104813
         160     1.06655     1.12518   0.0104223
         161     1.03948     1.12465   0.0103711
         162     1.08289     1.12439   0.0103103
         163     1.12018     1.12436   0.0102471
         164     1.10984     1.12428    0.010185
         165     1.07769     1.12399   0.0101271
         166     1.06671     1.12365    0.010072
         167     1.09582     1.12348   0.0100131
         168     1.13952     1.12358  0.00995394
         169     1.16433     1.12382  0.00989796
         170     1.17667     1.12413  0.00984462
         171     1.18392     1.12448  0.00979326
         172     1.15105     1.12463  0.00973754
         173     1.08349      1.1244  0.00968416
         174     1.07577     1.12412  0.00963253
         175     1.11043     1.12404  0.00957781
         176     1.12131     1.12402   0.0095234
         177     1.10978     1.12394  0.00946993
         178     1.09681     1.12379  0.00941796
         179     1.12547      1.1238  0.00936535
         180     1.15787     1.12399  0.00931523
         181     1.13276     1.12404  0.00926389
         182     1.09257     1.12386  0.00921461
         183     1.09181     1.12369  0.00916592
         184     1.11344     1.12363  0.00911627
         185     1.12836     1.12366  0.00906703
         186     1.14047     1.12375  0.00901873
         187     1.15969     1.12394  0.00897255
         188     1.16068     1.12414  0.00892695
         189     1.15372     1.12429  0.00888109
         190     1.16027     1.12448  0.00883637
         191     1.16557      1.1247  0.00879272
         192     1.16386      1.1249  0.00874929
         193     1.16612     1.12512  0.00870657
         194     1.16098      1.1253  0.00866365
         195     1.14872     1.12542  0.00862005
         196     1.14783     1.12553  0.00857683
         197     1.15189     1.12567  0.00853434
         198     1.14533     1.12577  0.00849181
         199     1.12264     1.12575  0.00844916
