#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.49993     1.49993           0
           2     1.26287      1.3814    0.083815
           3    0.861959     1.20825    0.152016
           4    0.522273     1.03676    0.187234
           5    0.438303    0.917067    0.184112
           6    0.525484    0.851804    0.164588
           7    0.614074    0.817842    0.144537
           8    0.652279    0.797147    0.127943
           9     0.67365    0.783425     0.11446
          10    0.709128    0.775995    0.103255
          11    0.759871    0.774529   0.0938786
          12    0.803498    0.776943   0.0860864
          13    0.819802     0.78024   0.0795275
          14    0.807939    0.782219   0.0738715
          15    0.778066    0.781942   0.0689473
          16     0.74355    0.779542   0.0646798
          17    0.724375    0.776297   0.0609565
          18    0.734513    0.773976   0.0576142
          19    0.771268    0.773833    0.054582
          20    0.805648    0.775424   0.0518761
          21    0.819151    0.777506   0.0494476
          22    0.828693    0.779833   0.0472547
          23    0.845143    0.782673   0.0452854
          24    0.854124     0.78565   0.0434962
          25    0.841407     0.78788   0.0418135
          26    0.814754    0.788914   0.0402181
          27    0.797981    0.789249   0.0387299
          28    0.803091    0.789744   0.0373499
          29    0.819096    0.790756   0.0360757
          30    0.826338    0.791942   0.0348926
          31    0.806097    0.792399     0.03377
          32    0.782807    0.792099   0.0327161
          33    0.790132    0.792039   0.0317247
          34    0.799499    0.792259   0.0307924
          35     0.77357    0.791725   0.0299172
          36    0.752116    0.790624   0.0291064
          37    0.785277     0.79048   0.0283201
          38    0.835582    0.791667   0.0275997
          39    0.844044     0.79301   0.0269247
          40    0.801852    0.793231   0.0262525
          41    0.752341    0.792234   0.0256311
          42    0.752074    0.791277   0.0250387
          43     0.80953    0.791702     0.02446
          44    0.868181     0.79344   0.0239658
          45     0.89159    0.795621   0.0235322
          46     0.87447    0.797335    0.023083
          47    0.813269    0.797674   0.0225944
          48    0.722957    0.796118   0.0221772
          49    0.675251    0.793651   0.0218613
          50    0.725471    0.792287   0.0214666
          51    0.824993    0.792929   0.0210553
          52    0.888217    0.794761   0.0207299
          53    0.872503    0.796228   0.0203906
          54    0.806253    0.796414   0.0200139
          55    0.759711    0.795746   0.0196611
          56    0.769587    0.795279   0.0193156
          57     0.80479    0.795446   0.0189774
          58    0.831179    0.796062   0.0186602
          59    0.843987    0.796874   0.0183616
          60    0.828507    0.797402   0.0180632
          61    0.783389    0.797172   0.0177685
          62     0.74924    0.796399   0.0174987
          63    0.760208    0.795824   0.0172304
          64    0.794174    0.795799   0.0169612
          65    0.807221    0.795974   0.0167012
          66     0.79599    0.795974   0.0164481
          67    0.782608    0.795775   0.0162038
          68    0.777516    0.795506   0.0159678
          69    0.784141    0.795342   0.0157372
          70    0.806428      0.7955   0.0155132
          71    0.850582    0.796276   0.0153141
          72    0.884498    0.797501   0.0151503
          73    0.868225     0.79847   0.0149737
          74    0.815485      0.7987   0.0147731
          75    0.761319    0.798202   0.0145846
          76    0.755368    0.797638   0.0144035
          77    0.798283    0.797646   0.0142165
          78    0.830913    0.798073   0.0140406
          79      0.8247     0.79841   0.0138669
          80    0.790608    0.798312   0.0136939
          81    0.758371    0.797819   0.0135338
          82    0.740062    0.797115    0.013387
          83    0.745162    0.796489   0.0132404
          84    0.777187    0.796259   0.0130847
          85    0.824232    0.796588   0.0129349
          86    0.857948    0.797302   0.0128042
          87    0.851848    0.797929   0.0126724
          88    0.797187     0.79792   0.0125284
          89    0.729985    0.797157   0.0124108
          90    0.727998    0.796389   0.0122967
          91    0.796262    0.796387   0.0121616
          92    0.858806    0.797066   0.0120483
          93    0.854034    0.797678   0.0119343
          94     0.80167    0.797721   0.0118074
          95    0.762758    0.797353   0.0116889
          96    0.783763    0.797211    0.011568
          97    0.839319    0.797645   0.0114568
          98    0.834045    0.798017   0.0113459
          99    0.770315    0.797737   0.0112348
         100    0.742729    0.797187   0.0111359
         101    0.793438     0.79715   0.0110257
         102    0.838864    0.797559   0.0109252
         103    0.823576    0.797811    0.010822
         104    0.805941    0.797889   0.0107183
         105    0.825979    0.798157   0.0106195
         106    0.866072    0.798798   0.0105387
         107     0.88259    0.799581   0.0104692
         108    0.854909    0.800093   0.0103848
         109    0.793142    0.800029   0.0102897
         110    0.728899    0.799383   0.0102165
         111      0.7042    0.798525   0.0101604
         112    0.726224    0.797879   0.0100901
         113    0.769282    0.797626    0.010004
         114    0.801529    0.797661  0.00991632
         115    0.805172    0.797726  0.00983031
         116    0.782214    0.797592  0.00974647
         117    0.762469    0.797292  0.00966779
         118    0.776582    0.797117  0.00958745
         119    0.803295    0.797168  0.00950703
         120    0.824232    0.797394  0.00943048
         121    0.841138    0.797756  0.00935947
         122    0.837929    0.798085  0.00928854
         123    0.834901    0.798384  0.00921784
         124    0.850249    0.798802  0.00915299
         125    0.862429    0.799311  0.00909391
         126    0.833524    0.799583  0.00902579
         127    0.783569    0.799457   0.0089556
         128    0.754742    0.799108  0.00889245
         129    0.732856    0.798594  0.00883833
         130    0.732117    0.798083  0.00878512
         131    0.749197    0.797709  0.00872598
         132    0.779485    0.797571  0.00866097
         133    0.830041    0.797815  0.00859929
         134    0.852332    0.798222  0.00854473
         135    0.817192    0.798363  0.00848259
         136    0.765011    0.798118  0.00842377
         137    0.759039    0.797832  0.00836711
         138    0.798741    0.797839  0.00830648
         139    0.827627    0.798053  0.00824948
         140    0.810613    0.798143  0.00819105
         141    0.777418    0.797996  0.00813427
         142    0.778528    0.797859  0.00807815
         143    0.812152    0.797959  0.00802227
         144    0.850933    0.798327  0.00797499
         145    0.873778    0.798847  0.00793695
         146    0.880399    0.799406  0.00790222
         147    0.875506    0.799923   0.0078654
         148    0.840735    0.800199  0.00781709
         149    0.764854    0.799962  0.00776822
         150    0.708944    0.799355   0.0077401
         151    0.726317    0.798871  0.00770394
         152    0.779383    0.798743  0.00765432
         153    0.810927    0.798823  0.00760471
         154    0.806318    0.798871  0.00755548
         155    0.786536    0.798792  0.00750716
         156    0.775579    0.798643  0.00746051
         157    0.776929    0.798505  0.00741427
         158    0.775823    0.798361  0.00736873
         159    0.775802    0.798219  0.00732376
         160    0.804069    0.798256  0.00727807
         161    0.853712      0.7986  0.00724101
         162     0.87775    0.799089  0.00721278
         163    0.855781    0.799437  0.00717691
         164    0.806004    0.799477  0.00713326
         165    0.764307    0.799264  0.00709321
         166    0.763735     0.79905  0.00705371
         167    0.793679    0.799017  0.00701155
         168    0.819375    0.799139  0.00697086
         169    0.825499    0.799295  0.00693136
         170    0.801904     0.79931   0.0068906
         171    0.761907    0.799091  0.00685378
         172    0.746129    0.798783  0.00682084
         173    0.758769    0.798552  0.00678533
         174    0.787086    0.798486  0.00674666
         175    0.829471    0.798663  0.00671043
         176    0.870973    0.799074  0.00668487
         177    0.875215    0.799504  0.00666093
         178    0.828958     0.79967  0.00662556
         179    0.767174    0.799488  0.00659103
         180    0.734961     0.79913  0.00656416
         181    0.743632    0.798823  0.00653505
         182    0.780299    0.798721  0.00649993
         183    0.824369    0.798861  0.00646593
         184    0.846803    0.799122  0.00643603
         185     0.82622    0.799268  0.00640291
         186    0.779578    0.799163  0.00636936
         187    0.753107    0.798916  0.00634006
         188    0.767929    0.798751  0.00630848
         189    0.805327    0.798786   0.0062752
         190     0.83395    0.798971   0.0062449
         191    0.838334    0.799177   0.0062156
         192    0.832041    0.799349  0.00618558
         193    0.814802    0.799429  0.00615405
         194    0.784119     0.79935  0.00612284
         195    0.786022    0.799281  0.00609182
         196    0.839194    0.799485  0.00606414
         197    0.878537    0.799886  0.00604662
         198    0.854285    0.800161  0.00602232
         199     0.78425    0.800081  0.00599259
         200    0.709351    0.799627  0.00597977
         201    0.674464    0.799005  0.00598236
         202    0.714757    0.798588  0.00596726
         203    0.791741    0.798554  0.00593796
         204    0.835685    0.798736  0.00591164
         205    0.836563     0.79892  0.00588569
         206    0.825542     0.79905  0.00585853
         207    0.827268    0.799186  0.00583182
         208    0.844107    0.799402  0.00580778
         209    0.838989    0.799591  0.00578308
         210    0.803707    0.799611  0.00575557
         211    0.777268    0.799505  0.00572927
         212    0.776875    0.799398  0.00570324
         213     0.79356    0.799371  0.00567653
         214     0.80301    0.799388  0.00565003
         215    0.799742     0.79939  0.00562375
         216    0.795758    0.799373  0.00559774
         217    0.797168    0.799363  0.00557195
         218    0.799979    0.799365  0.00554639
         219    0.791962    0.799332  0.00552117
         220    0.774923    0.799221  0.00549719
         221    0.771158    0.799094  0.00547378
         222    0.774033    0.798981  0.00545029
         223    0.766185    0.798834  0.00542783
         224    0.763283    0.798675  0.00540592
         225    0.801142    0.798686   0.0053819
         226    0.844325    0.798888  0.00536188
         227    0.835307    0.799048  0.00534065
         228    0.791024    0.799013  0.00531735
         229    0.740641    0.798758  0.00530023
         230    0.726236    0.798443  0.00528656
         231     0.76468    0.798297  0.00526569
         232    0.820763    0.798394  0.00524389
         233     0.85858    0.798652  0.00522774
         234    0.865171    0.798936  0.00521312
         235    0.842214     0.79912  0.00519419
         236    0.806735    0.799153  0.00517228
         237    0.792427    0.799124  0.00515054
         238    0.803857    0.799144  0.00512893
         239    0.831762    0.799281  0.00510929
         240    0.863061    0.799546  0.00509491
         241    0.853478     0.79977  0.00507868
         242    0.787783    0.799721  0.00505793
         243    0.710861    0.799355  0.00505032
         244    0.691102    0.798911  0.00504907
         245    0.747922    0.798703  0.00503275
         246     0.81982    0.798789  0.00501302
         247    0.844061    0.798972  0.00499608
         248    0.830581      0.7991  0.00497756
         249    0.817286    0.799173   0.0049581
         250    0.811119    0.799221   0.0049385
         251    0.817554    0.799294  0.00491937
         252      0.8207    0.799379  0.00490058
         253    0.798212    0.799374  0.00488121
         254    0.774096    0.799274  0.00486301
         255     0.78352    0.799213  0.00484433
         256    0.822257    0.799303  0.00482624
         257    0.838877    0.799457  0.00480992
         258    0.815372    0.799518  0.00479167
         259    0.781963    0.799451  0.00477365
         260    0.772204    0.799346  0.00475644
         261    0.792347    0.799319  0.00473829
         262    0.820023    0.799398  0.00472087
         263    0.820952     0.79948  0.00470363
         264    0.789603    0.799443  0.00468596
         265    0.754535    0.799273  0.00467134
         266    0.745138     0.79907  0.00465821
         267    0.780936    0.799002  0.00464126
         268    0.845384    0.799175  0.00462717
         269    0.881663    0.799481  0.00462011
         270    0.858199    0.799699  0.00460812
         271    0.796636    0.799688  0.00459113
         272    0.765852    0.799563  0.00457593
         273    0.789028    0.799525  0.00455933
         274     0.81535    0.799582  0.00454306
         275    0.821819    0.799663  0.00452726
         276    0.811579    0.799706  0.00451106
