#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0318372  -0.0318372           0
           2  -0.0318373  -0.0318373 2.35585e-08
           3  -0.0318374  -0.0318373 4.23026e-08
           4  -0.0318376  -0.0318374 6.30365e-08
           5  -0.0318378  -0.0318375 8.58528e-08
           6   -0.031838  -0.0318375 1.10649e-07
           7  -0.0318383  -0.0318377 1.37307e-07
           8  -0.0318386  -0.0318378 1.65717e-07
           9   -0.031839  -0.0318379 1.95783e-07
          10  -0.0318394  -0.0318381 2.27424e-07
          11  -0.0318399  -0.0318382 2.60566e-07
          12  -0.0318404  -0.0318384 2.95145e-07
          13   -0.031841  -0.0318386 3.31105e-07
          14  -0.0318416  -0.0318388 3.68395e-07
          15  -0.0318422   -0.031839  4.0697e-07
          16  -0.0318429  -0.0318393 4.46786e-07
          17  -0.0318436  -0.0318395 4.87808e-07
          18  -0.0318444  -0.0318398 5.30001e-07
          19  -0.0318452  -0.0318401 5.73332e-07
          20  -0.0318461  -0.0318404 6.17772e-07
          21   -0.031847  -0.0318407 6.63294e-07
          22  -0.0318479   -0.031841 7.09872e-07
          23  -0.0318489  -0.0318414 7.57483e-07
          24    -0.03185  -0.0318417 8.06105e-07
          25  -0.0318511  -0.0318421 8.55716e-07
          26  -0.0318522  -0.0318425 9.06298e-07
          27  -0.0318534  -0.0318429 9.57831e-07
          28  -0.0318546  -0.0318433  1.0103e-06
          29  -0.0318558  -0.0318437 1.06368e-06
          30  -0.0318571  -0.0318442 1.11797e-06
          31  -0.0318585  -0.0318447 1.17314e-06
          32  -0.0318599  -0.0318451 1.22919e-06
          33  -0.0318613  -0.0318456 1.28609e-06
          34  -0.0318628  -0.0318461 1.34384e-06
          35  -0.0318643  -0.0318466 1.40243e-06
          36  -0.0318659  -0.0318472 1.46184e-06
          37  -0.0318675  -0.0318477 1.52205e-06
          38  -0.0318692  -0.0318483 1.58307e-06
          39  -0.0318709  -0.0318489 1.64488e-06
          40  -0.0318726  -0.0318495 1.70746e-06
          41  -0.0318744  -0.0318501 1.77082e-06
          42  -0.0318762  -0.0318507 1.83493e-06
          43  -0.0318781  -0.0318513  1.8998e-06
          44    -0.03188   -0.031852 1.96541e-06
          45   -0.031882  -0.0318527 2.03175e-06
          46   -0.031884  -0.0318533 2.09882e-06
          47  -0.0318861   -0.031854 2.16661e-06
          48  -0.0318882  -0.0318547  2.2351e-06
          49  -0.0318903  -0.0318555 2.30431e-06
          50  -0.0318925  -0.0318562  2.3742e-06
          51  -0.0318947   -0.031857 2.44479e-06
          52   -0.031897  -0.0318577 2.51606e-06
          53  -0.0318993  -0.0318585 2.58801e-06
          54  -0.0319017  -0.0318593 2.66062e-06
          55  -0.0319041  -0.0318601 2.73391e-06
          56  -0.0319065   -0.031861 2.80784e-06
          57   -0.031909  -0.0318618 2.88244e-06
          58  -0.0319116  -0.0318627 2.95767e-06
          59  -0.0319141  -0.0318635 3.03355e-06
          60  -0.0319168  -0.0318644 3.11007e-06
          61  -0.0319194  -0.0318653 3.18722e-06
          62  -0.0319222  -0.0318662 3.26499e-06
          63  -0.0319249  -0.0318672 3.34338e-06
          64  -0.0319277  -0.0318681 3.42239e-06
          65  -0.0319306  -0.0318691 3.50201e-06
          66  -0.0319335  -0.0318701 3.58224e-06
          67  -0.0319364   -0.031871 3.66307e-06
          68  -0.0319394   -0.031872  3.7445e-06
          69  -0.0319424  -0.0318731 3.82653e-06
          70  -0.0319455  -0.0318741 3.90914e-06
          71  -0.0319486  -0.0318751 3.99234e-06
          72  -0.0319517  -0.0318762 4.07612e-06
          73  -0.0319549  -0.0318773 4.16048e-06
          74  -0.0319582  -0.0318784 4.24542e-06
          75  -0.0319615  -0.0318795 4.33093e-06
          76  -0.0319648  -0.0318806   4.417e-06
          77  -0.0319682  -0.0318818 4.50364e-06
          78  -0.0319716  -0.0318829 4.59083e-06
          79  -0.0319751  -0.0318841 4.67859e-06
          80  -0.0319786  -0.0318853  4.7669e-06
          81  -0.0319821  -0.0318864 4.85575e-06
          82  -0.0319857  -0.0318877 4.94516e-06
          83  -0.0319894  -0.0318889 5.03511e-06
          84   -0.031993  -0.0318901  5.1256e-06
          85  -0.0319968  -0.0318914 5.21663e-06
          86  -0.0320006  -0.0318926  5.3082e-06
          87  -0.0320044  -0.0318939  5.4003e-06
          88  -0.0320082  -0.0318952 5.49292e-06
          89  -0.0320121  -0.0318965 5.58608e-06
          90  -0.0320161  -0.0318979 5.67976e-06
          91  -0.0320201  -0.0318992 5.77396e-06
          92  -0.0320241  -0.0319006 5.86868e-06
          93  -0.0320282  -0.0319019 5.96392e-06
          94  -0.0320323  -0.0319033 6.05967e-06
          95  -0.0320365  -0.0319047 6.15593e-06
          96  -0.0320407  -0.0319062  6.2527e-06
          97   -0.032045  -0.0319076 6.34998e-06
          98  -0.0320493   -0.031909 6.44776e-06
          99  -0.0320537  -0.0319105 6.54605e-06
         100  -0.0320581   -0.031912 6.64484e-06
         101  -0.0320625  -0.0319135 6.74412e-06
         102   -0.032067   -0.031915  6.8439e-06
         103  -0.0320715  -0.0319165 6.94418e-06
         104  -0.0320761   -0.031918 7.04494e-06
         105  -0.0320807  -0.0319196  7.1462e-06
         106  -0.0320854  -0.0319211 7.24794e-06
         107  -0.0320901  -0.0319227 7.35017e-06
         108  -0.0320948  -0.0319243 7.45289e-06
         109  -0.0320996  -0.0319259 7.55608e-06
         110  -0.0321045  -0.0319275 7.65976e-06
         111  -0.0321094  -0.0319292 7.76392e-06
         112  -0.0321143  -0.0319308 7.86855e-06
         113  -0.0321193  -0.0319325 7.97365e-06
         114  -0.0321243  -0.0319342 8.07923e-06
         115  -0.0321293  -0.0319359 8.18528e-06
         116  -0.0321345  -0.0319376  8.2918e-06
         117  -0.0321396  -0.0319393 8.39879e-06
         118  -0.0321448  -0.0319411 8.50625e-06
         119  -0.0321524  -0.0319428 8.61823e-06
         120  -0.0321577  -0.0319446 8.73048e-06
         121  -0.0321631  -0.0319464 8.84301e-06
         122  -0.0321708  -0.0319483 8.95978e-06
         123  -0.0321763  -0.0319501 9.07665e-06
         124  -0.0321841   -0.031952 9.19752e-06
         125  -0.0321896  -0.0319539 9.31835e-06
         126  -0.0321952  -0.0319558 9.43916e-06
         127  -0.0322008  -0.0319577 9.55998e-06
         128  -0.0322065  -0.0319597 9.68083e-06
         129  -0.0322122  -0.0319617 9.80172e-06
         130   -0.032218  -0.0319636 9.92267e-06
         131  -0.0322238  -0.0319656 1.00437e-05
         132  -0.0322296  -0.0319676 1.01648e-05
         133  -0.0322379  -0.0319696 1.02896e-05
         134  -0.0322439  -0.0319717 1.04143e-05
         135  -0.0322498  -0.0319737  1.0539e-05
         136  -0.0322583  -0.0319758 1.06671e-05
         137  -0.0322643  -0.0319779 1.07951e-05
         138  -0.0322705  -0.0319801  1.0923e-05
         139  -0.0322766  -0.0319822 1.10509e-05
         140  -0.0322852  -0.0319844 1.11819e-05
         141  -0.0322915  -0.0319865 1.13128e-05
         142  -0.0322978  -0.0319887 1.14436e-05
         143  -0.0323042  -0.0319909 1.15743e-05
         144  -0.0323106  -0.0319932 1.17049e-05
         145  -0.0323171  -0.0319954 1.18354e-05
         146  -0.0323236  -0.0319976 1.19659e-05
         147  -0.0323301  -0.0319999 1.20963e-05
         148  -0.0323367  -0.0320022 1.22268e-05
         149  -0.0323434  -0.0320045 1.23573e-05
         150    -0.03235  -0.0320068 1.24878e-05
         151  -0.0323568  -0.0320091 1.26184e-05
         152  -0.0323659  -0.0320114 1.27519e-05
         153  -0.0323728  -0.0320138 1.28854e-05
         154  -0.0323796  -0.0320162 1.30188e-05
         155  -0.0323889  -0.0320186 1.31551e-05
         156  -0.0323983   -0.032021  1.3294e-05
         157  -0.0324077  -0.0320235 1.34355e-05
         158  -0.0324147   -0.032026 1.35767e-05
         159  -0.0324219  -0.0320284 1.37178e-05
         160   -0.032429  -0.0320309 1.38586e-05
         161  -0.0324362  -0.0320335 1.39993e-05
         162  -0.0324435   -0.032036 1.41398e-05
         163  -0.0324532  -0.0320386 1.42828e-05
         164  -0.0324605  -0.0320411 1.44256e-05
         165  -0.0324727  -0.0320437 1.45733e-05
         166  -0.0324801  -0.0320464 1.47207e-05
         167  -0.0324876   -0.032049 1.48678e-05
         168  -0.0324952  -0.0320517 1.50146e-05
         169  -0.0325028  -0.0320543 1.51612e-05
         170  -0.0325104   -0.032057 1.53075e-05
         171  -0.0325181  -0.0320597 1.54537e-05
         172  -0.0325258  -0.0320624 1.55997e-05
         173  -0.0325336  -0.0320652 1.57455e-05
         174  -0.0325415  -0.0320679 1.58911e-05
         175  -0.0325493  -0.0320706 1.60367e-05
         176  -0.0325596  -0.0320734 1.61845e-05
         177  -0.0325676  -0.0320762 1.63321e-05
         178  -0.0325756   -0.032079 1.64796e-05
         179  -0.0325861  -0.0320818 1.66292e-05
         180  -0.0325989  -0.0320847 1.67831e-05
         181  -0.0326095  -0.0320876 1.69389e-05
         182  -0.0326177  -0.0320905 1.70944e-05
         183  -0.0326284  -0.0320935 1.72518e-05
