#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0453201   0.0453201           0
           2   0.0453201   0.0453201 2.13393e-09
           3     0.04532     0.04532 3.50537e-09
           4     0.04532     0.04532 4.98279e-09
           5     0.04532     0.04532 6.59203e-09
           6     0.04532     0.04532    8.33e-09
           7     0.04532     0.04532 1.01717e-08
           8     0.04532     0.04532 1.21296e-08
           9   0.0453199     0.04532 1.41889e-08
          10   0.0453199     0.04532 1.63486e-08
          11   0.0453199     0.04532 1.86042e-08
          12   0.0453198     0.04532 2.09522e-08
          13   0.0453198     0.04532 2.33874e-08
          14   0.0453198   0.0453199 2.59096e-08
          15   0.0453197   0.0453199 2.85133e-08
          16   0.0453197   0.0453199 3.11989e-08
          17   0.0453196   0.0453199 3.39616e-08
          18   0.0453196   0.0453199 3.68007e-08
          19   0.0453195   0.0453199 3.97135e-08
          20   0.0453194   0.0453198 4.26981e-08
          21   0.0453194   0.0453198 4.57537e-08
          22   0.0453193   0.0453198 4.88773e-08
          23   0.0453193   0.0453198  5.2069e-08
          24   0.0453192   0.0453197 5.53262e-08
          25   0.0453191   0.0453197  5.8648e-08
          26    0.045319   0.0453197 6.20331e-08
          27    0.045319   0.0453197 6.54802e-08
          28   0.0453189   0.0453196 6.89884e-08
          29   0.0453188   0.0453196 7.25564e-08
          30   0.0453187   0.0453196 7.61836e-08
          31   0.0453186   0.0453195 7.98687e-08
          32   0.0453185   0.0453195 8.36108e-08
          33   0.0453184   0.0453195 8.74093e-08
          34   0.0453183   0.0453194 9.12631e-08
          35   0.0453182   0.0453194 9.51716e-08
          36   0.0453181   0.0453194 9.91338e-08
          37    0.045318   0.0453193 1.03149e-07
          38   0.0453179   0.0453193 1.07217e-07
          39   0.0453178   0.0453193 1.11336e-07
          40   0.0453177   0.0453192 1.15507e-07
          41   0.0453175   0.0453192 1.19728e-07
          42   0.0453174   0.0453191 1.23999e-07
          43   0.0453173   0.0453191 1.28319e-07
          44   0.0453172    0.045319 1.32688e-07
          45    0.045317    0.045319 1.37106e-07
          46   0.0453169    0.045319  1.4157e-07
          47   0.0453168   0.0453189 1.46082e-07
          48   0.0453166   0.0453189 1.50641e-07
          49   0.0453165   0.0453188 1.55246e-07
          50   0.0453163   0.0453188 1.59896e-07
          51   0.0453162   0.0453187 1.64592e-07
          52    0.045316   0.0453187 1.69333e-07
          53   0.0453159   0.0453186 1.74118e-07
          54   0.0453157   0.0453186 1.78948e-07
          55   0.0453156   0.0453185  1.8382e-07
          56   0.0453154   0.0453184 1.88737e-07
          57   0.0453152   0.0453184 1.93696e-07
          58   0.0453151   0.0453183 1.98697e-07
          59   0.0453149   0.0453183 2.03741e-07
          60   0.0453147   0.0453182 2.08826e-07
          61   0.0453145   0.0453182 2.13953e-07
          62   0.0453144   0.0453181 2.19122e-07
          63   0.0453142    0.045318 2.24331e-07
          64    0.045314    0.045318  2.2958e-07
          65   0.0453138   0.0453179  2.3487e-07
          66   0.0453136   0.0453178   2.402e-07
          67   0.0453134   0.0453178 2.45569e-07
          68   0.0453132   0.0453177 2.50978e-07
          69    0.045313   0.0453176 2.56426e-07
          70   0.0453128   0.0453176 2.61912e-07
          71   0.0453126   0.0453175 2.67438e-07
          72   0.0453124   0.0453174 2.73001e-07
          73   0.0453122   0.0453174 2.78603e-07
          74    0.045312   0.0453173 2.84242e-07
          75   0.0453117   0.0453172 2.89919e-07
          76   0.0453115   0.0453171 2.95633e-07
          77   0.0453113   0.0453171 3.01385e-07
          78   0.0453111    0.045317 3.07173e-07
          79   0.0453108   0.0453169 3.12998e-07
          80   0.0453106   0.0453168  3.1886e-07
          81   0.0453104   0.0453167 3.24757e-07
          82   0.0453101   0.0453167 3.30691e-07
          83   0.0453099   0.0453166 3.36661e-07
          84   0.0453096   0.0453165 3.42666e-07
          85   0.0453094   0.0453164 3.48707e-07
