#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42316     1.42316           0
           2     1.42316     1.42316 1.49012e-08
           3     1.42316     1.42316 2.43335e-08
           4     1.42316     1.42316 2.58096e-08
           5     1.42316     1.42316 2.98023e-08
           6     1.42316     1.42316   3.332e-08
           7     1.42316     1.42316 3.37927e-08
           8     1.42316     1.42316 3.57317e-08
           9     1.42316     1.42316  3.7828e-08
          10     1.42316     1.42316  3.9984e-08
          11     1.42316     1.42316 4.16652e-08
          12     1.42316     1.42316 4.38678e-08
          13     1.42316     1.42316  4.5273e-08
          14     1.42316     1.42316 4.71216e-08
          15     1.42316     1.42316 4.92716e-08
          16     1.42316     1.42316 5.05323e-08
          17     1.42316     1.42316 5.23727e-08
          18     1.42316     1.42316  5.3956e-08
          19     1.42316     1.42316  5.5545e-08
          20     1.42316     1.42316 5.71319e-08
          21     1.42316     1.42316 5.83497e-08
          22     1.42316     1.42316 5.97737e-08
          23     1.42316     1.42316 6.12029e-08
          24     1.42316     1.42316 6.24843e-08
          25     1.42316     1.42316 6.36403e-08
          26     1.42316     1.42316 6.49527e-08
          27     1.42316     1.42316 6.61445e-08
          28     1.42316     1.42316 6.74679e-08
          29     1.42316     1.42316 6.85654e-08
          30     1.42316     1.42316 6.98926e-08
          31     1.42316     1.42316  7.1011e-08
          32     1.42316     1.42316 7.21399e-08
          33     1.42316     1.42316 7.32765e-08
          34     1.42316     1.42316 7.43303e-08
          35     1.42316     1.42316 7.54787e-08
          36     1.42316     1.42316 7.65474e-08
          37     1.42316     1.42316 7.75449e-08
          38     1.42316     1.42316 7.85525e-08
          39     1.42316     1.42316 7.96398e-08
          40     1.42316     1.42316 8.05214e-08
          41     1.42316     1.42316 8.16833e-08
          42     1.42316     1.42316 8.25829e-08
          43     1.42316     1.42316 8.36171e-08
          44     1.42316     1.42316 8.45925e-08
          45     1.42316     1.42316 8.55141e-08
          46     1.42316     1.42316 8.64982e-08
          47     1.42316     1.42316   8.743e-08
          48     1.42316     1.42316 8.83661e-08
          49     1.42316     1.42316 8.92548e-08
          50     1.42316     1.42316 9.01489e-08
          51     1.42316     1.42316 9.10954e-08
          52     1.42316     1.42316 9.19963e-08
          53     1.42316     1.42316 9.28549e-08
          54     1.42316     1.42316 9.37182e-08
          55     1.42316     1.42316 9.45426e-08
          56     1.42316     1.42316  9.5414e-08
          57     1.42316     1.42316 9.62473e-08
          58     1.42316     1.42316 9.70451e-08
          59     1.42316     1.42316 9.78866e-08
          60     1.42316     1.42316 9.87307e-08
          61     1.42316     1.42316 9.95769e-08
          62     1.42316     1.42316 1.00389e-07
          63     1.42316     1.42316 1.01134e-07
          64     1.42316     1.42316 1.01953e-07
          65     1.42316     1.42316 1.02741e-07
          66     1.42316     1.42316 1.03531e-07
          67     1.42316     1.42316 1.04292e-07
          68     1.42316     1.42316 1.05057e-07
          69     1.42316     1.42316 1.05794e-07
          70     1.42316     1.42316 1.06594e-07
          71     1.42316     1.42316 1.07308e-07
          72     1.42316     1.42316 1.08055e-07
          73     1.42316     1.42316 1.08832e-07
          74     1.42316     1.42316 1.09583e-07
          75     1.42316     1.42316 1.10309e-07
          76     1.42316     1.42316 1.11064e-07
          77     1.42316     1.42316 1.11794e-07
          78     1.42316     1.42316 1.12552e-07
          79     1.42316     1.42316 1.13236e-07
          80     1.42316     1.42316 1.13923e-07
          81     1.42316     1.42316 1.14661e-07
          82     1.42316     1.42316  1.1533e-07
          83     1.42316     1.42316 1.16071e-07
          84     1.42316     1.42316 1.16745e-07
          85     1.42316     1.42316 1.17421e-07
          86     1.42316     1.42316 1.18121e-07
          87     1.42316     1.42316 1.18802e-07
          88     1.42316     1.42316 1.19484e-07
          89     1.42316     1.42316 1.20189e-07
          90     1.42316     1.42316 1.20854e-07
          91     1.42316     1.42316  1.2154e-07
          92     1.42316     1.42316 1.22248e-07
          93     1.42316     1.42316 1.22898e-07
          94     1.42316     1.42316 1.23549e-07
          95     1.42316     1.42316 1.24202e-07
          96     1.42316     1.42316 1.24857e-07
          97     1.42316     1.42316 1.25532e-07
          98     1.42316     1.42316 1.26171e-07
          99     1.42316     1.42316 1.26813e-07
         100     1.42316     1.42316 1.27438e-07
         101     1.42316     1.42316 1.28099e-07
         102     1.42316     1.42316 1.28761e-07
         103     1.42316     1.42316 1.29407e-07
         104     1.42316     1.42316 1.30037e-07
         105     1.42316     1.42316 1.30636e-07
         106     1.42316     1.42316 1.31237e-07
         107     1.42316     1.42316 1.31871e-07
         108     1.42316     1.42316 1.32475e-07
         109     1.42316     1.42316 1.33096e-07
         110     1.42316     1.42316 1.33734e-07
         111     1.42316     1.42316 1.34356e-07
         112     1.42316     1.42316 1.34936e-07
         113     1.42316     1.42316  1.3556e-07
         114     1.42316     1.42316 1.36143e-07
         115     1.42316     1.42316 1.36741e-07
         116     1.42316     1.42316 1.37354e-07
         117     1.42316     1.42316 1.37954e-07
         118     1.42316     1.42316 1.38555e-07
         119     1.42316     1.42316 1.43656e-07
         120     1.42316     1.42316 1.48414e-07
         121     1.42316     1.42316 1.52902e-07
         122     1.42315     1.42316 1.63245e-07
         123     1.42315     1.42316 1.72619e-07
         124     1.42315     1.42316 1.88268e-07
         125     1.42315     1.42316 2.02156e-07
         126     1.42315     1.42316  2.1467e-07
         127     1.42315     1.42316 2.26026e-07
         128     1.42315     1.42316 2.36424e-07
         129     1.42315     1.42316 2.46008e-07
         130     1.42315     1.42316 2.54866e-07
         131     1.42315     1.42316 2.63104e-07
         132     1.42315     1.42316  2.7078e-07
         133     1.42315     1.42316 2.83031e-07
         134     1.42315     1.42316 2.94319e-07
         135     1.42315     1.42316 3.04779e-07
