#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       2.925       2.925           0
           2     2.92497     2.92499 9.31784e-06
           3     2.92489     2.92496 2.58409e-05
           4     2.92476     2.92491 4.60509e-05
           5     2.92458     2.92484 6.93842e-05
           6     2.92434     2.92476 9.54747e-05
           7     2.92405     2.92466 0.000124066
           8     2.92371     2.92454 0.000154967
           9     2.92332      2.9244  0.00018803
          10     2.92287     2.92425 0.000223139
          11     2.92237     2.92408 0.000260198
          12     2.92182     2.92389  0.00029913
          13     2.92121     2.92369 0.000339871
          14     2.92055     2.92346 0.000382369
          15     2.91983     2.92322  0.00042658
          16     2.91906     2.92296 0.000472468
          17     2.91824     2.92268 0.000520004
          18     2.91735     2.92239 0.000569164
          19     2.91641     2.92207  0.00061993
          20     2.91542     2.92174 0.000672286
          21     2.91436     2.92139 0.000726224
          22     2.91325     2.92102 0.000781736
          23     2.91208     2.92063 0.000838818
          24     2.91085     2.92022 0.000897469
          25     2.90955     2.91979 0.000957691
          26      2.9082     2.91935  0.00101948
          27     2.90678     2.91888  0.00108282
          28      2.9053      2.9184  0.00114773
          29     2.90375     2.91789  0.00121422
          30     2.90214     2.91737  0.00128231
          31     2.90046     2.91682  0.00135202
          32     2.89871     2.91626  0.00142335
          33     2.89689     2.91567  0.00149629
          34       2.895     2.91506  0.00157089
          35     2.89304     2.91443  0.00164715
          36     2.89101     2.91378  0.00172508
          37     2.88891     2.91311  0.00180471
          38     2.88672     2.91241  0.00188607
          39     2.88446      2.9117   0.0019692
          40     2.88212     2.91096  0.00205412
          41      2.8797      2.9102  0.00214085
          42     2.87719     2.90941  0.00222944
          43      2.8746      2.9086   0.0023199
          44     2.87193     2.90777  0.00241227
          45     2.86916     2.90691  0.00250657
          46     2.86631     2.90603  0.00260285
          47     2.86336     2.90512  0.00270115
          48     2.86032     2.90419  0.00280149
          49     2.85718     2.90323   0.0029039
          50     2.85395     2.90224  0.00300842
          51     2.85061     2.90123   0.0031151
          52     2.84718     2.90019  0.00322396
          53     2.84363     2.89912  0.00333505
          54     2.83999     2.89803   0.0034484
          55     2.83623      2.8969  0.00356405
          56     2.83236     2.89575  0.00368206
          57     2.82838     2.89457  0.00380245
          58     2.82428     2.89336  0.00392527
          59     2.82006     2.89211  0.00405055
          60     2.81573     2.89084  0.00417833
          61     2.81127     2.88954  0.00430866
          62     2.80668      2.8882  0.00444158
          63     2.80197     2.88683  0.00457713
          64     2.79712     2.88543  0.00471535
          65     2.79215       2.884  0.00485629
          66     2.78703     2.88253  0.00499999
          67     2.78178     2.88102  0.00514651
          68     2.77638     2.87948  0.00529588
          69     2.77084     2.87791  0.00544815
          70     2.76516      2.8763  0.00560336
          71     2.75932     2.87465  0.00576158
          72     2.75333     2.87297  0.00592282
          73     2.74719     2.87124  0.00608715
          74     2.74089     2.86948  0.00625459
          75     2.73443     2.86768  0.00642519
          76      2.7278     2.86584  0.00659899
          77     2.72102     2.86396  0.00677601
          78     2.71407     2.86204  0.00695631
          79     2.70694     2.86007   0.0071399
          80     2.69965     2.85807  0.00732684
          81     2.69219     2.85602  0.00751714
          82     2.68455     2.85393  0.00771084
          83     2.67673     2.85179  0.00790796
          84     2.66874     2.84962  0.00810855
          85     2.66056     2.84739  0.00831261
          86      2.6522     2.84512  0.00852018
          87     2.64366     2.84281  0.00873127
          88     2.63493     2.84044   0.0089459
          89     2.62602     2.83803  0.00916408
          90     2.61692     2.83558  0.00938582
          91     2.60763     2.83307  0.00961114
          92     2.59815     2.83052  0.00984003
          93     2.58849     2.82792   0.0100725
          94     2.57864     2.82526   0.0103085
          95     2.56859     2.82256   0.0105481
          96     2.55837     2.81981   0.0107913
          97     2.54795     2.81701    0.011038
          98     2.53735     2.81415   0.0112882
          99     2.52657     2.81125   0.0115419
         100     2.51561     2.80829   0.0117991
         101     2.50446     2.80529   0.0120596
         102     2.49314     2.80222   0.0123236
         103     2.48164     2.79911   0.0125908
         104     2.46997     2.79595   0.0128614
         105     2.45812     2.79273   0.0131352
         106     2.44612     2.78946   0.0134121
         107     2.43395     2.78614   0.0136921
         108     2.42162     2.78276   0.0139751
         109     2.40914     2.77933   0.0142611
         110     2.39651     2.77585   0.0145499
         111     2.38373     2.77232   0.0148415
         112     2.37082     2.76874   0.0151357
         113     2.35778      2.7651   0.0154325
         114     2.34461     2.76141   0.0157318
         115     2.33132     2.75767   0.0160334
         116     2.31792     2.75388   0.0163372
         117     2.30441     2.75004   0.0166431
         118      2.2908     2.74615    0.016951
         119      2.2771     2.74221   0.0172608
         120     2.26331     2.73821   0.0175722
         121     2.24945     2.73418   0.0178852
         122     2.23551     2.73009   0.0181997
         123     2.22152     2.72595   0.0185155
         124     2.20747     2.72177   0.0188324
         125     2.19337     2.71754   0.0191502
         126     2.17924     2.71327    0.019469
         127     2.16507     2.70896   0.0197884
         128     2.15088      2.7046   0.0201084
         129     2.13668     2.70019   0.0204288
         130     2.12248     2.69575   0.0207493
         131     2.10827     2.69126     0.02107
         132     2.09408     2.68674   0.0213906
         133      2.0799     2.68218   0.0217109
         134     2.06575     2.67758   0.0220308
         135     2.05164     2.67294   0.0223502
         136     2.03756     2.66827   0.0226689
         137     2.02354     2.66356   0.0229868
         138     2.00957     2.65882   0.0233036
         139     1.99566     2.65405   0.0236193
         140     1.98183     2.64925   0.0239336
         141     1.96807     2.64442   0.0242466
         142      1.9544     2.63956   0.0245579
         143     1.94082     2.63467   0.0248676
         144     1.92734     2.62976   0.0251754
         145     1.91396     2.62483   0.0254811
         146      1.9007     2.61987   0.0257848
         147     1.88755     2.61488   0.0260862
         148     1.87453     2.60988   0.0263852
         149     1.86164     2.60486   0.0266817
         150     1.84889     2.59982   0.0269756
         151     1.83628     2.59476   0.0272668
         152     1.82383     2.58969   0.0275551
         153     1.81152     2.58461   0.0278404
         154     1.79938     2.57951   0.0281227
         155     1.78741      2.5744   0.0284018
         156     1.77561     2.56928   0.0286775
         157     1.76399     2.56415   0.0289499
         158     1.75256     2.55901   0.0292189
         159     1.74132     2.55387   0.0294842
         160     1.73027     2.54872   0.0297459
         161     1.71943     2.54357   0.0300038
         162     1.70879     2.53842   0.0302578
         163     1.69837     2.53326   0.0305079
         164     1.68817     2.52811    0.030754
         165     1.67819     2.52296    0.030996
         166     1.66844     2.51781   0.0312338
         167     1.65892     2.51267   0.0314674
         168     1.64964     2.50753   0.0316966
         169     1.64061      2.5024   0.0319214
         170     1.63183     2.49728   0.0321418
         171      1.6233     2.49217   0.0323577
         172     1.61502     2.48707   0.0325689
         173     1.60701     2.48198   0.0327755
         174     1.59927     2.47691   0.0329774
         175      1.5918     2.47185   0.0331746
         176      1.5846     2.46681   0.0333669
         177     1.57767     2.46179   0.0335544
         178     1.57103     2.45678    0.033737
         179     1.56467      2.4518   0.0339147
         180      1.5586     2.44684   0.0340873
         181     1.55281      2.4419    0.034255
         182     1.54731     2.43698   0.0344176
