#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.36472    -6.36472           0
           2    -6.36464    -6.36468 2.79282e-05
           3    -6.36451    -6.36462 5.01281e-05
           4    -6.36433    -6.36455 7.46686e-05
           5    -6.36409    -6.36446 0.000101668
           6     -6.3638    -6.36435 0.000131013
           7    -6.36346    -6.36422 0.000162572
           8    -6.36306    -6.36408 0.000196229
           9    -6.36262    -6.36391 0.000231884
          10    -6.36212    -6.36373 0.000269455
          11    -6.36156    -6.36354 0.000308871
          12    -6.36096    -6.36332 0.000350074
          13     -6.3603    -6.36309 0.000393017
          14    -6.35958    -6.36284 0.000437658
          15    -6.35881    -6.36257 0.000483964
          16    -6.35798    -6.36228 0.000531908
          17     -6.3571    -6.36198 0.000581468
          18    -6.35616    -6.36166 0.000632628
          19    -6.35517    -6.36131 0.000685373
          20    -6.35411    -6.36095 0.000739694
          21      -6.353    -6.36057 0.000795586
          22    -6.35183    -6.36018 0.000853046
          23    -6.35059    -6.35976 0.000912073
          24     -6.3493    -6.35932 0.000972671
          25    -6.34779    -6.35886   0.0010374
          26    -6.34622    -6.35838  0.00110556
          27    -6.34474    -6.35787  0.00117431
          28    -6.34319    -6.35735  0.00124387
          29    -6.34158     -6.3568  0.00131443
          30     -6.3399    -6.35624  0.00138612
          31     -6.3377    -6.35564  0.00146477
          32    -6.33573    -6.35502   0.0015455
          33    -6.33385    -6.35438  0.00162643
          34    -6.33158    -6.35371  0.00171121
          35     -6.3291    -6.35301  0.00180099
          36    -6.32699    -6.35228  0.00189036
          37    -6.32481    -6.35154  0.00197974
          38     -6.3224    -6.35077  0.00207087
          39     -6.3199    -6.34998  0.00216375
          40    -6.31718    -6.34916  0.00225971
          41    -6.31452    -6.34832  0.00235724
          42    -6.31178    -6.34745  0.00245637
          43    -6.30865    -6.34654  0.00255957
          44    -6.30574    -6.34562  0.00266413
          45    -6.30273    -6.34466  0.00277014
          46    -6.29978    -6.34369   0.0028766
          47    -6.29599    -6.34267  0.00298907
          48     -6.2927    -6.34163   0.0031028
          49    -6.28917    -6.34056  0.00321894
          50    -6.28538    -6.33946  0.00333842
          51    -6.28164    -6.33832  0.00346011
          52    -6.27795    -6.33716   0.0035831
          53    -6.27369    -6.33597  0.00371022
          54    -6.26963    -6.33474  0.00383947
          55    -6.26546    -6.33348  0.00397089
          56    -6.26118    -6.33219   0.0041045
          57    -6.25678    -6.33086  0.00424035
          58    -6.25196     -6.3295  0.00438005
          59    -6.24747    -6.32811  0.00452111
          60    -6.24241    -6.32668  0.00466597
          61    -6.23737    -6.32522  0.00481373
          62     -6.2325    -6.32372  0.00496294
          63    -6.22736     -6.3222  0.00511446
          64    -6.22178    -6.32063  0.00526973
          65    -6.21606    -6.31902  0.00542866
          66    -6.21065    -6.31738  0.00558918
          67    -6.20466    -6.31569   0.0057534
          68    -6.19896    -6.31398  0.00591934
          69    -6.19298    -6.31222  0.00608777
          70    -6.18714    -6.31044  0.00625757
          71      -6.181    -6.30861  0.00642952
          72     -6.1747    -6.30675  0.00660374
          73     -6.1684    -6.30486  0.00677979
          74    -6.16134    -6.30292  0.00696005
          75    -6.15441    -6.30094  0.00714335
          76    -6.14733    -6.29892  0.00732973
          77    -6.14022    -6.29686  0.00751871
          78     -6.1325    -6.29475  0.00771193
          79    -6.12475     -6.2926  0.00790883
          80    -6.11668     -6.2904   0.0081099
          81    -6.10889    -6.28816  0.00831358
          82    -6.10047    -6.28587  0.00852145
          83    -6.09217    -6.28353  0.00873249
          84    -6.08354    -6.28115  0.00894721
          85    -6.07503    -6.27873  0.00916467
          86    -6.06619    -6.27626  0.00938542
          87    -6.05746    -6.27374  0.00960858
          88     -6.0481    -6.27118  0.00983558
          89      -6.039    -6.26857   0.0100651
          90    -6.02971    -6.26592   0.0102972
          91    -6.01978    -6.26321   0.0105333
          92    -6.01012    -6.26046   0.0107721
          93    -6.00026    -6.25766   0.0110136
          94    -5.99037    -6.25482   0.0112575
          95     -5.9806    -6.25193   0.0115032
          96    -5.97003      -6.249   0.0117521
          97    -5.95943    -6.24601   0.0120041
          98     -5.9488    -6.24298   0.0122588
          99    -5.93784     -6.2399   0.0125164
         100    -5.92639    -6.23676   0.0127779
         101    -5.91507    -6.23358   0.0130423
         102    -5.90357    -6.23034   0.0133097
         103    -5.89205    -6.22706   0.0135796
         104    -5.88005    -6.22372   0.0138529
         105    -5.86789    -6.22033   0.0141294
         106    -5.85527    -6.21689   0.0144097
         107    -5.84279    -6.21339   0.0146931
         108    -5.83061    -6.20985   0.0149784
         109    -5.81783    -6.20625   0.0152666
         110     -5.8049     -6.2026   0.0155577
         111    -5.79199     -6.1989   0.0158513
         112     -5.7791    -6.19515   0.0161468
         113    -5.76623    -6.19136    0.016444
         114     -5.7534    -6.18752   0.0167425
         115    -5.73999    -6.18362   0.0170432
         116    -5.72603    -6.17968   0.0173468
         117    -5.71272    -6.17569   0.0176517
         118    -5.69902    -6.17165   0.0179584
         119    -5.68493    -6.16756   0.0182673
         120    -5.67137    -6.16342   0.0185771
         121    -5.65759    -6.15924   0.0188881
         122    -5.64374    -6.15502   0.0192001
         123    -5.62924    -6.15074   0.0195141
         124    -5.61544    -6.14643   0.0198284
         125    -5.60101    -6.14206   0.0201442
         126    -5.58684    -6.13766   0.0204606
         127     -5.5728    -6.13321   0.0207773
         128    -5.55906    -6.12872   0.0210936
         129     -5.5453     -6.1242   0.0214094
         130    -5.53095    -6.11964   0.0217256
         131    -5.51675    -6.11504   0.0220419
         132    -5.50273     -6.1104   0.0223576
         133    -5.48888    -6.10572   0.0226726
         134    -5.47461    -6.10101   0.0229874
         135    -5.46024    -6.09627    0.023302
         136    -5.44606    -6.09149   0.0236161
         137    -5.43224    -6.08667   0.0239289
         138    -5.41848    -6.08183   0.0242404
         139     -5.4048    -6.07696   0.0245505
         140    -5.39089    -6.07206   0.0248594
         141    -5.37767    -6.06714   0.0251662
         142    -5.36379    -6.06218   0.0254718
         143    -5.35031     -6.0572   0.0257755
         144    -5.33723    -6.05221   0.0260769
         145    -5.32427    -6.04718   0.0263759
         146    -5.31128    -6.04214   0.0266725
         147    -5.29811    -6.03708    0.026967
         148    -5.28491      -6.032   0.0272595
         149    -5.27201     -6.0269   0.0275496
         150    -5.25925    -6.02178   0.0278372
         151    -5.24679    -6.01665    0.028122
         152    -5.23494    -6.01151   0.0284034
         153    -5.22311    -6.00635   0.0286813
         154    -5.21129    -6.00119    0.028956
         155    -5.19949    -5.99602   0.0292275
         156    -5.18817    -5.99084   0.0294954
         157    -5.17689    -5.98566   0.0297596
         158    -5.16549    -5.98047   0.0300206
         159     -5.1546    -5.97527   0.0302778
         160    -5.14406    -5.97008    0.030531
         161    -5.13342    -5.96488   0.0307804
         162      -5.123    -5.95968    0.031026
         163    -5.11295    -5.95449   0.0312675
         164    -5.10297     -5.9493    0.031505
         165    -5.09337    -5.94411   0.0317383
         166      -5.084    -5.93893   0.0319672
         167    -5.07457    -5.93375   0.0321921
         168    -5.06569    -5.92858   0.0324125
         169     -5.0569    -5.92343   0.0326285
         170    -5.04777    -5.91828   0.0328407
         171    -5.03965    -5.91314   0.0330481
         172    -5.03164    -5.90801    0.033251
         173    -5.02404     -5.9029   0.0334491
         174    -5.01702    -5.89781   0.0336421
         175    -5.00982    -5.89274   0.0338303
         176     -5.0029    -5.88768   0.0340138
         177    -4.99656    -5.88265   0.0341922
         178    -4.99035    -5.87763   0.0343656
         179    -4.98428    -5.87264   0.0345341
         180    -4.97849    -5.86768   0.0346977
         181    -4.97314    -5.86273   0.0348562
         182    -4.96778    -5.85782   0.0350098
         183    -4.96331    -5.85293   0.0351581
         184    -4.95899    -5.84807   0.0353011
         185     -4.9548    -5.84324    0.035439
         186    -4.95091    -5.83844   0.0355717
         187    -4.94746    -5.83368   0.0356991
         188    -4.94399    -5.82895   0.0358215
         189    -4.94081    -5.82425   0.0359389
         190    -4.93776    -5.81958   0.0360513
         191    -4.93544    -5.81495   0.0361586
         192    -4.93324    -5.81036   0.0362607
         193    -4.93087     -5.8058    0.036358
         194    -4.92921    -5.80128   0.0364503
         195    -4.92751     -5.7968   0.0365378
         196    -4.92607    -5.79236   0.0366204
         197    -4.92472    -5.78796   0.0366984
         198    -4.92392    -5.78359   0.0367716
         199    -4.92334    -5.77927   0.0368401
         200    -4.92285    -5.77499   0.0369039
         201    -4.92287    -5.77075    0.036963
         202    -4.92295    -5.76655   0.0370175
         203    -4.92354     -5.7624   0.0370674
         204    -4.92401    -5.75829   0.0371128
         205    -4.92481    -5.75422   0.0371538
         206    -4.92579     -5.7502   0.0371904
         207    -4.92708    -5.74623   0.0372227
         208    -4.92776    -5.74229   0.0372512
         209     -4.9292     -5.7384   0.0372756
         210    -4.93061    -5.73455    0.037296
         211    -4.93214    -5.73075   0.0373126
         212    -4.93318    -5.72699   0.0373258
         213    -4.93508    -5.72327   0.0373353
         214    -4.93737     -5.7196    0.037341
         215    -4.93929    -5.71597   0.0373433
         216    -4.94144    -5.71238   0.0373421
         217    -4.94365    -5.70884   0.0373377
         218    -4.94606    -5.70534     0.03733
         219    -4.94837    -5.70189   0.0373192
         220    -4.95041    -5.69847   0.0373056
         221    -4.95249    -5.69509   0.0372892
         222    -4.95473    -5.69176   0.0372701
         223    -4.95759    -5.68847   0.0372481
         224    -4.95986    -5.68521   0.0372235
         225    -4.96228      -5.682   0.0371965
         226    -4.96484    -5.67883    0.037167
         227    -4.96679    -5.67569   0.0371354
         228    -4.96932    -5.67259   0.0371016
         229    -4.97138    -5.66953   0.0370657
         230    -4.97372    -5.66651   0.0370278
         231    -4.97617    -5.66352   0.0369879
         232    -4.97784    -5.66056   0.0369463
         233    -4.97992    -5.65764   0.0369031
         234    -4.98197    -5.65475   0.0368582
         235    -4.98412     -5.6519   0.0368116
         236    -4.98562    -5.64908   0.0367638
         237    -4.98753    -5.64628   0.0367145
         238    -4.98984    -5.64353   0.0366636
         239    -4.99165     -5.6408   0.0366116
         240    -4.99356     -5.6381   0.0365582
         241    -4.99527    -5.63543   0.0365037
         242    -4.99738     -5.6328   0.0364479
         243    -4.99883    -5.63019   0.0363912
         244    -5.00038    -5.62761   0.0363335
         245    -5.00173    -5.62505   0.0362749
         246    -5.00303    -5.62252   0.0362154
         247    -5.00458    -5.62002   0.0361551
         248    -5.00578    -5.61755   0.0360941
         249    -5.00709    -5.61509   0.0360323
         250    -5.00865    -5.61267   0.0359697
         251    -5.01001    -5.61027   0.0359065
         252    -5.01133    -5.60789   0.0358425
         253    -5.01261    -5.60554    0.035778
         254    -5.01369    -5.60321    0.035713
         255    -5.01504     -5.6009   0.0356473
         256     -5.0159    -5.59862   0.0355812
         257    -5.01688    -5.59635   0.0355147
         258    -5.01782    -5.59411   0.0354478
         259    -5.01889    -5.59189   0.0353804
         260    -5.01962    -5.58969   0.0353127
         261    -5.02047    -5.58751   0.0352447
         262      -5.021    -5.58535   0.0351765
         263    -5.02196     -5.5832   0.0351079
         264    -5.02274    -5.58108    0.035039
         265     -5.0232    -5.57898     0.03497
         266     -5.0238    -5.57689   0.0349007
         267    -5.02483    -5.57482   0.0348312
         268    -5.02584    -5.57277   0.0347614
         269    -5.02654    -5.57074   0.0346915
         270    -5.02738    -5.56873   0.0346213
         271    -5.02745    -5.56673   0.0345511
         272    -5.02842    -5.56475   0.0344807
         273    -5.02877    -5.56279   0.0344103
         274    -5.02927    -5.56084   0.0343397
         275    -5.03021    -5.55891    0.034269
         276    -5.03069      -5.557   0.0341983
         277    -5.03116     -5.5551   0.0341275
         278    -5.03163    -5.55322   0.0340566
         279    -5.03209    -5.55135   0.0339857
         280    -5.03255     -5.5495   0.0339148
         281    -5.03315    -5.54766   0.0338439
         282    -5.03419    -5.54584   0.0337728
         283    -5.03478    -5.54403   0.0337017
         284    -5.03552    -5.54224   0.0336306
         285    -5.03594    -5.54047   0.0335594
         286    -5.03636     -5.5387   0.0334884
         287    -5.03707    -5.53695   0.0334173
         288    -5.03777    -5.53522   0.0333461
         289    -5.03877     -5.5335    0.033275
         290    -5.03916     -5.5318   0.0332039
         291    -5.03954    -5.53011   0.0331328
         292    -5.04006    -5.52843   0.0330618
         293    -5.04072    -5.52676   0.0329909
         294    -5.04107    -5.52511     0.03292
         295    -5.04156    -5.52347   0.0328492
         296    -5.04204    -5.52185   0.0327785
         297    -5.04266    -5.52023   0.0327078
         298    -5.04267    -5.51863   0.0326373
         299    -5.04296    -5.51704   0.0325668
         300     -5.0434    -5.51546   0.0324965
         301    -5.04382    -5.51389   0.0324263
         302    -5.04438    -5.51234   0.0323562
         303    -5.04478     -5.5108   0.0322862
         304    -5.04517    -5.50927   0.0322163
         305    -5.04554    -5.50774   0.0321465
         306    -5.04591    -5.50624   0.0320769
         307    -5.04656    -5.50474   0.0320073
         308    -5.04705    -5.50325   0.0319379
         309    -5.04739    -5.50178   0.0318686
         310    -5.04786    -5.50031   0.0317994
         311    -5.04803    -5.49886   0.0317304
         312    -5.04834    -5.49741   0.0316615
         313    -5.04835    -5.49598   0.0315929
         314    -5.04865    -5.49455   0.0315244
         315     -5.0491    -5.49314    0.031456
         316    -5.04925    -5.49174   0.0313878
         317     -5.0494    -5.49034   0.0313198
         318    -5.04985    -5.48896   0.0312519
         319    -5.04986    -5.48758   0.0311842
         320    -5.05032    -5.48621   0.0311167
         321    -5.05049    -5.48486   0.0310494
         322    -5.05082    -5.48351   0.0309822
         323    -5.05131    -5.48217   0.0309151
         324    -5.05181    -5.48084   0.0308482
         325    -5.05247    -5.47952   0.0307815
         326    -5.05299    -5.47821   0.0307148
         327    -5.05399    -5.47692   0.0306483
         328    -5.05424    -5.47563   0.0305819
         329    -5.05482    -5.47435   0.0305157
         330    -5.05496    -5.47308   0.0304497
         331    -5.05541    -5.47182   0.0303838
         332    -5.05589    -5.47056   0.0303181
         333    -5.05699    -5.46932   0.0302525
         334    -5.05765    -5.46809    0.030187
         335    -5.05834    -5.46687   0.0301217
         336    -5.05904    -5.46565   0.0300565
         337     -5.0596    -5.46445   0.0299914
         338    -5.06063    -5.46325   0.0299265
         339    -5.06138    -5.46207   0.0298617
         340    -5.06199    -5.46089    0.029797
         341    -5.06245    -5.45972   0.0297326
         342    -5.06308    -5.45856   0.0296682
         343    -5.06356    -5.45741   0.0296041
         344     -5.0642    -5.45627   0.0295401
         345    -5.06453    -5.45513   0.0294763
         346    -5.06517    -5.45401   0.0294126
         347    -5.06611    -5.45289   0.0293491
         348    -5.06659    -5.45178   0.0292857
         349    -5.06705    -5.45068   0.0292226
         350    -5.06751    -5.44958   0.0291596
         351     -5.0681    -5.44849   0.0290967
         352    -5.06867    -5.44741   0.0290341
         353    -5.06907    -5.44634   0.0289716
         354    -5.06974    -5.44528   0.0289093
         355    -5.07054    -5.44422   0.0288471
         356    -5.07116    -5.44318   0.0287851
         357    -5.07175    -5.44213   0.0287233
         358    -5.07154     -5.4411   0.0286617
         359     -5.0716    -5.44007   0.0286003
         360    -5.07222    -5.43905   0.0285391
         361    -5.07219    -5.43803   0.0284782
         362    -5.07257    -5.43702   0.0284174
         363    -5.07275    -5.43602   0.0283568
         364    -5.07242    -5.43502   0.0282965
         365    -5.07235    -5.43403   0.0282364
         366    -5.07283    -5.43304   0.0281765
         367    -5.07296    -5.43206   0.0281168
         368    -5.07289    -5.43108   0.0280573
         369    -5.07245    -5.43011   0.0279981
         370    -5.07182    -5.42914   0.0279392
         371    -5.07158    -5.42818   0.0278805
         372    -5.07114    -5.42722   0.0278221
         373    -5.07049    -5.42626   0.0277639
         374    -5.06979    -5.42531   0.0277061
         375    -5.06919    -5.42436   0.0276484
         376    -5.06869    -5.42341   0.0275911
         377    -5.06814    -5.42247    0.027534
         378    -5.06754    -5.42153   0.0274772
         379    -5.06689     -5.4206   0.0274206
         380    -5.06636    -5.41966   0.0273643
         381    -5.06563    -5.41874   0.0273082
         382    -5.06456    -5.41781   0.0272525
         383     -5.0636    -5.41688    0.027197
         384    -5.06261    -5.41596   0.0271418
         385    -5.06188    -5.41504   0.0270869
         386    -5.06113    -5.41412   0.0270322
         387    -5.06034    -5.41321   0.0269778
         388    -5.05908     -5.4123   0.0269237
         389     -5.0581    -5.41139   0.0268699
         390    -5.05635    -5.41048   0.0268164
         391    -5.05503    -5.40957   0.0267633
         392    -5.05385    -5.40866   0.0267104
         393    -5.05297    -5.40775   0.0266577
         394    -5.05177    -5.40685   0.0266054
         395    -5.05042    -5.40595   0.0265533
         396    -5.04936    -5.40505   0.0265015
         397    -5.04846    -5.40415     0.02645
         398    -5.04741    -5.40325   0.0263987
         399    -5.04621    -5.40236   0.0263477
         400    -5.04547    -5.40147    0.026297
         401    -5.04444    -5.40058   0.0262464
         402    -5.04328    -5.39969   0.0261962
         403    -5.04228     -5.3988   0.0261462
         404    -5.04144    -5.39792   0.0260964
