#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -4.64876    -4.64876           0
           2    -4.64816    -4.64846 0.000211739
           3    -4.64718    -4.64804 0.000375396
           4    -4.64583    -4.64748  0.00055517
           5    -4.64409    -4.64681  0.00075233
           6    -4.64197      -4.646 0.000966159
           7    -4.63948    -4.64507  0.00119574
           8     -4.6366    -4.64401   0.0014402
           9    -4.63335    -4.64283  0.00169878
          10    -4.62972    -4.64151  0.00197084
          11     -4.6257    -4.64008  0.00225581
          12    -4.62131    -4.63851  0.00255318
          13    -4.61653    -4.63682  0.00286255
          14    -4.61137      -4.635  0.00318352
          15    -4.60582    -4.63306  0.00351577
          16    -4.59989    -4.63099    0.003859
          17    -4.59358    -4.62879  0.00421296
          18    -4.58687    -4.62646  0.00457742
          19    -4.57978      -4.624  0.00495217
          20    -4.57229    -4.62141  0.00533704
          21    -4.56441     -4.6187  0.00573186
          22    -4.55613    -4.61586  0.00613649
          23    -4.54745    -4.61288   0.0065508
          24    -4.53838    -4.60978  0.00697469
          25    -4.52866    -4.60653  0.00741207
          26    -4.51854    -4.60315  0.00786177
          27    -4.50825    -4.59963  0.00831923
          28    -4.49755    -4.59599  0.00878474
          29    -4.48644    -4.59221  0.00925849
          30    -4.47491     -4.5883  0.00974064
          31    -4.46223    -4.58423   0.0102402
          32    -4.44962    -4.58003   0.0107495
          33    -4.43682    -4.57569   0.0112657
          34    -4.42311     -4.5712   0.0117943
          35    -4.40873    -4.56656    0.012337
          36    -4.39464    -4.56178   0.0128855
          37     -4.3801    -4.55687   0.0134404
          38    -4.36487    -4.55182   0.0140043
          39    -4.34919    -4.54662   0.0145771
          40    -4.33282    -4.54128    0.015161
          41    -4.31623    -4.53579   0.0157536
          42    -4.29917    -4.53016   0.0163549
          43    -4.28117    -4.52437   0.0169686
          44    -4.26318    -4.51843   0.0175907
          45     -4.2447    -4.51235   0.0182211
          46    -4.22599    -4.50612   0.0188585
          47    -4.20558    -4.49973   0.0195113
          48    -4.18564    -4.49318   0.0201722
          49    -4.16496    -4.48648    0.020843
          50    -4.14354    -4.47963   0.0215251
          51    -4.12185    -4.47261   0.0222168
          52    -4.09988    -4.46544   0.0229167
          53    -4.07667    -4.45811   0.0236291
          54    -4.05342    -4.45061    0.024351
          55    -4.02963    -4.44296   0.0250824
          56     -4.0053    -4.43514   0.0258234
          57    -3.98043    -4.42717    0.026574
          58    -3.95452    -4.41902   0.0273368
          59    -3.92878    -4.41071   0.0281079
          60    -3.90176    -4.40223    0.028891
          61    -3.87441    -4.39357   0.0296848
          62    -3.84696    -4.38476   0.0304872
          63    -3.81869    -4.37577   0.0312993
          64    -3.78935    -4.36661   0.0321234
          65    -3.75942    -4.35727   0.0329595
          66    -3.72961    -4.34776   0.0338042
          67    -3.69847    -4.33807    0.034661
          68    -3.66743     -4.3282   0.0355266
          69    -3.63554    -4.31817   0.0364024
          70     -3.6035    -4.30796   0.0372866
          71     -3.5706    -4.29757   0.0381803
          72    -3.53705    -4.28701   0.0390839
          73    -3.50311    -4.27627   0.0399965
          74    -3.46755    -4.26534   0.0409218
          75    -3.43183    -4.25423   0.0418581
          76    -3.39545    -4.24293   0.0428053
          77    -3.35865    -4.23144   0.0437628
          78    -3.32047    -4.21976   0.0447331
          79    -3.28185    -4.20789   0.0457151
          80    -3.24233    -4.19582   0.0467098
          81    -3.20284    -4.18356   0.0477147
          82    -3.16196    -4.17111   0.0487322
          83    -3.12088    -4.15845   0.0497607
          84    -3.07887     -4.1456   0.0508009
          85    -3.03666    -4.13255   0.0518515
          86    -2.99352    -4.11931   0.0529131
          87    -2.95018    -4.10587   0.0539844
          88    -2.90543    -4.09223   0.0550675
          89    -2.86071    -4.07839   0.0561603
          90    -2.81532    -4.06436    0.057263
          91    -2.76852    -4.05012   0.0583775
          92    -2.72176    -4.03568   0.0595018
          93    -2.67432    -4.02104   0.0606358
          94    -2.62646     -4.0062   0.0617791
          95    -2.57841    -3.99118   0.0629304
          96    -2.52874    -3.97594   0.0640922
          97    -2.47866    -3.96051   0.0652637
          98    -2.42818    -3.94487   0.0664444
          99    -2.37682    -3.92903   0.0676347
         100    -2.32436    -3.91298   0.0688357
         101    -2.27177    -3.89673   0.0700458
         102    -2.21857    -3.88028   0.0712651
         103    -2.16503    -3.86363   0.0724928
         104    -2.11043    -3.84677   0.0737298
         105    -2.05527    -3.82971   0.0749758
         106    -1.99908    -3.81244   0.0762316
         107    -1.94285    -3.79497   0.0774957
         108    -1.88683     -3.7773   0.0787664
         109     -1.8296    -3.75943    0.080045
         110     -1.7719    -3.74136    0.081331
         111      -1.714     -3.7231   0.0826237
         112     -1.6559    -3.70464   0.0839222
         113    -1.59765    -3.68599   0.0852257
         114    -1.53925    -3.66716   0.0865336
         115    -1.47977    -3.64814   0.0878467
         116    -1.41924    -3.62893    0.089166
         117    -1.35961    -3.60953   0.0904889
         118    -1.29922    -3.58995   0.0918157
         119    -1.23809    -3.57019    0.093147
         120    -1.17769    -3.55025   0.0944804
         121    -1.11686    -3.53014    0.095816
         122    -1.05586    -3.50986   0.0971533
         123    -0.99375     -3.4894   0.0984935
         124   -0.932731    -3.46879   0.0998339
         125   -0.870664      -3.448    0.101176
         126   -0.809021    -3.42706    0.102518
         127   -0.747591    -3.40596    0.103859
         128   -0.686645    -3.38471    0.105198
         129   -0.625729    -3.36333    0.106534
         130   -0.563909    -3.34179    0.107869
         131   -0.502415    -3.32012    0.109202
         132   -0.441279    -3.29831    0.110531
         133   -0.380525    -3.27637    0.111856
         134   -0.319222     -3.2543    0.113177
         135   -0.257875    -3.23211    0.114494
         136   -0.196993    -3.20979    0.115807
         137   -0.136844    -3.18736    0.117114
         138   -0.076974    -3.16482    0.118414
         139  -0.0174073    -3.14218    0.119708
         140   0.0423106    -3.11943    0.120994
         141    0.100709    -3.09659    0.122273
         142    0.159931    -3.07366    0.123543
         143    0.218267    -3.05064    0.124806
         144    0.275694    -3.02754    0.126059
         145    0.332667    -3.00436    0.127302
         146    0.389406    -2.98112    0.128534
         147    0.446127    -2.95781    0.129757
         148    0.502566    -2.93442     0.13097
         149     0.55822    -2.91098    0.132172
         150    0.613307    -2.88749    0.133363
         151    0.667563    -2.86395    0.134542
         152    0.720486    -2.84036    0.135708
         153    0.773018    -2.81675     0.13686
         154    0.825136     -2.7931    0.137999
         155    0.876821    -2.76942    0.139125
         156    0.927329    -2.74572    0.140237
         157    0.977361    -2.72201    0.141335
         158     1.02714    -2.69828    0.142418
         159     1.07568    -2.67455    0.143487
         160      1.1232    -2.65081     0.14454
         161     1.17041    -2.62708    0.145578
         162      1.2168    -2.60335      0.1466
         163     1.26213    -2.57963    0.147606
         164     1.30684    -2.55594    0.148596
         165     1.35044    -2.53226     0.14957
         166     1.39315    -2.50861    0.150527
         167     1.43544      -2.485    0.151467
         168     1.47633    -2.46142    0.152389
         169     1.51653    -2.43788    0.153295
         170     1.55673    -2.41438    0.154183
         171     1.59477    -2.39094    0.155054
         172     1.63206    -2.36755    0.155907
         173     1.66812    -2.34422    0.156741
         174     1.70269    -2.32096    0.157556
         175     1.73697    -2.29777    0.158353
         176     1.77022    -2.27466    0.159131
         177     1.80194    -2.25163     0.15989
         178     1.83287    -2.22868     0.16063
         179     1.86298    -2.20582    0.161351
         180     1.89203    -2.18306    0.162053
         181     1.91977    -2.16039    0.162735
         182     1.94693    -2.13782    0.163398
         183     1.97205    -2.11536    0.164041
         184     1.99634    -2.09302    0.164665
         185      2.0198    -2.07078    0.165269
         186      2.0422    -2.04867    0.165853
         187     2.06328    -2.02668    0.166417
         188      2.0838    -2.00482    0.166962
         189     2.10326    -1.98308    0.167488
         190     2.12193    -1.96148    0.167994
         191     2.13884    -1.94001     0.16848
         192     2.15498    -1.91868    0.168948
         193     2.17085    -1.89749    0.169396
         194       2.185    -1.87645    0.169825
         195     2.19867    -1.85555    0.170235
         196     2.21139     -1.8348    0.170626
         197     2.22342     -1.8142    0.170999
         198     2.23408    -1.79376    0.171353
         199     2.24385    -1.77347    0.171689
         200     2.25301    -1.75333    0.172007
         201     2.26086    -1.73336    0.172307
         202     2.26816    -1.71355    0.172589
         203      2.2742    -1.69391    0.172853
         204     2.27999    -1.67443      0.1731
         205     2.28483    -1.65512     0.17333
         206     2.28899    -1.63597    0.173542
         207     2.29226    -1.61699    0.173738
         208     2.29613    -1.59818    0.173919
         209     2.29845    -1.57953    0.174083
         210     2.30046    -1.56106    0.174232
         211     2.30196    -1.54275    0.174365
         212     2.30394    -1.52461    0.174484
         213     2.30427    -1.50663    0.174589
         214      2.3037    -1.48882    0.174678
         215     2.30346    -1.47119    0.174754
         216     2.30262    -1.45371    0.174816
         217     2.30147    -1.43641    0.174865
         218     2.29977    -1.41927    0.174901
         219     2.29805     -1.4023    0.174924
         220     2.29658    -1.38548    0.174935
         221     2.29489    -1.36883    0.174934
         222     2.29278    -1.35234    0.174922
         223     2.28954    -1.33601    0.174898
         224     2.28712    -1.31983    0.174864
         225     2.28436    -1.30381    0.174819
         226     2.28125    -1.28795    0.174764
         227     2.27903    -1.27224    0.174699
         228      2.2758    -1.25667    0.174624
         229     2.27325    -1.24126    0.174541
         230     2.27019    -1.22599    0.174448
         231     2.26689    -1.21087    0.174347
         232      2.2648    -1.19589    0.174238
         233       2.262    -1.18105    0.174121
         234     2.25924    -1.16635    0.173997
