#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.43972    -3.43972           0
           2    -3.43967    -3.43969 1.86104e-05
           3    -3.43961    -3.43967 2.47875e-05
           4    -3.43956    -3.43964 2.93712e-05
           5    -3.43951    -3.43962 3.32127e-05
           6    -3.43946    -3.43959 3.66049e-05
           7    -3.43941    -3.43956 3.96889e-05
           8    -3.43935    -3.43954  4.2546e-05
           9     -3.4393    -3.43951 4.52285e-05
          10    -3.43925    -3.43948 4.77726e-05
          11    -3.43919    -3.43946  5.0205e-05
          12    -3.43914    -3.43943 5.25458e-05
          13    -3.43909     -3.4394 5.48112e-05
          14    -3.43903    -3.43938  5.7014e-05
          15    -3.43898    -3.43935 5.91649e-05
          16    -3.43892    -3.43932 6.12729e-05
          17    -3.43886     -3.4393 6.33456e-05
          18    -3.43881    -3.43927 6.53898e-05
          19    -3.43875    -3.43924 6.74112e-05
          20    -3.43869    -3.43921 6.94151e-05
          21    -3.43863    -3.43919 7.14059e-05
          22    -3.43857    -3.43916  7.3388e-05
          23    -3.43851    -3.43913  7.5365e-05
          24    -3.43845     -3.4391 7.73403e-05
          25    -3.43824    -3.43907 8.15773e-05
          26    -3.43803    -3.43903  8.7724e-05
          27    -3.43796    -3.43899 9.29198e-05
          28     -3.4379    -3.43895 9.74251e-05
          29    -3.43783    -3.43891 0.000101408
          30    -3.43776    -3.43887 0.000104989
          31    -3.43724    -3.43882 0.000114002
          32    -3.43702    -3.43876 0.000123483
          33    -3.43695    -3.43871 0.000131367
          34    -3.43658    -3.43865 0.000141656
          35    -3.43605    -3.43857  0.00015578
          36    -3.43598     -3.4385 0.000167279
          37     -3.4359    -3.43843 0.000176884
          38    -3.43567    -3.43836 0.000186523
          39    -3.43544    -3.43828  0.00019615
          40    -3.43506     -3.4382 0.000207144
          41    -3.43483    -3.43812 0.000217849
          42    -3.43459    -3.43804 0.000228303
          43    -3.43405    -3.43794 0.000241079
          44    -3.43381    -3.43785 0.000253233
          45    -3.43357    -3.43775 0.000264864
          46    -3.43348    -3.43766 0.000274944
          47    -3.43263    -3.43755 0.000289195
