#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      3.9591      3.9591           0
           2     3.96269     3.96089  0.00127197
           3     3.96847     3.96342  0.00223002
           4     3.97643     3.96667  0.00327552
           5     3.98656     3.97065  0.00441794
           6     3.99885     3.97535  0.00565364
           7      4.0133     3.98077   0.0069773
           8     4.02991     3.98691  0.00838379
           9     4.04937     3.99385   0.0099169
          10     4.07096     4.00156   0.0115402
          11     4.09681     4.01022   0.0133497
          12     4.12406     4.01971   0.0152394
          13     4.15271     4.02994   0.0171611
          14     4.18488     4.04101   0.0191747
          15     4.21985     4.05293   0.0212828
          16     4.25478     4.06555   0.0233949
          17     4.29461     4.07902   0.0256068
          18     4.33721     4.09336   0.0279141
          19     4.38186     4.10855   0.0302944
          20     4.42785     4.12451    0.032717
          21     4.47797     4.14134   0.0352235
          22     4.53012     4.15902   0.0377962
          23     4.58356     4.17747   0.0404095
          24     4.63687     4.19662   0.0430212
          25     4.69147     4.21641   0.0456273
          26     4.74874     4.23688   0.0482478
          27     4.80936     4.25809    0.050907
          28     4.87333     4.28006   0.0536217
          29      4.9378     4.30274   0.0563656
          30     5.00417     4.32612   0.0591375
          31     5.07382     4.35024   0.0619535
          32      5.1418     4.37498   0.0647677
          33     5.21022     4.40029   0.0675697
          34     5.27975     4.42615   0.0703594
          35      5.3546     4.45268   0.0731791
          36     5.42839     4.47978   0.0759998
          37     5.50534      4.5075   0.0788384
          38      5.5833     4.53581   0.0816888
          39     5.66295     4.56471   0.0845523
          40     5.74496     4.59422   0.0874354
          41     5.82718     4.62429   0.0903264
          42     5.91029     4.65491   0.0932211
          43     5.99779     4.68614   0.0961421
          44     6.08468     4.71793   0.0990719
          45     6.17377     4.75028    0.102016
          46     6.26359     4.78318    0.104969
          47     6.35481     4.81661     0.10793
          48      6.4481      4.8506    0.110905
          49     6.54341     4.88515    0.113895
          50     6.63787     4.92021    0.116887
          51     6.73425     4.95578    0.119885
          52     6.83109     4.99184    0.122884
          53     6.92976      5.0284    0.125888
          54      7.0323     5.06551    0.128911
          55     7.13303      5.1031    0.131934
          56      7.2354     5.14118    0.134961
          57     7.34007     5.17976    0.137996
          58     7.44273     5.21877    0.141025
          59     7.54615     5.25822    0.144046
          60     7.65025     5.29809    0.147059
          61     7.75427     5.33835    0.150059
          62     7.85884     5.37901    0.153047
          63     7.96459     5.42005    0.156023
