#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.54        1.54           0
           2     1.53986     1.53993 5.07815e-05
           3     1.53943     1.53976 0.000140837
           4     1.53871      1.5395 0.000250981
           5     1.53771     1.53914 0.000378097
           6     1.53642     1.53869 0.000520133
           7     1.53485     1.53814 0.000675623
           8     1.53299     1.53749 0.000843448
           9     1.53085     1.53676  0.00102272
          10     1.52844     1.53592  0.00121264
          11     1.52574       1.535  0.00141255
          12     1.52276     1.53398   0.0016218
          13     1.51951     1.53287  0.00183986
          14     1.51598     1.53166  0.00206636
          15     1.51217     1.53036  0.00230096
          16      1.5081     1.52897   0.0025433
          17     1.50375     1.52749  0.00279313
          18     1.49912     1.52591  0.00305018
          19     1.49423     1.52424  0.00331416
          20     1.48907     1.52248  0.00358483
          21     1.48364     1.52063  0.00386197
          22     1.47794     1.51869  0.00414538
          23     1.47198     1.51666  0.00443485
          24     1.46575     1.51454   0.0047302
          25     1.45926     1.51233   0.0050313
          26     1.45251     1.51003  0.00533801
          27     1.44549     1.50764  0.00565021
          28     1.43821     1.50516  0.00596775
          29     1.43067     1.50259  0.00629049
          30     1.42288     1.49993  0.00661827
          31     1.41482     1.49719  0.00695095
          32     1.40652     1.49435   0.0072884
          33     1.39796     1.49143  0.00763047
          34     1.38915     1.48843  0.00797706
          35     1.38009     1.48533  0.00832805
          36     1.37078     1.48215  0.00868331
          37     1.36123     1.47888  0.00904271
          38     1.35144     1.47553  0.00940612
          39     1.34141     1.47209  0.00977341
          40     1.33114     1.46856   0.0101444
          41     1.32064     1.46496    0.010519
          42     1.30991     1.46126   0.0108971
          43     1.29896     1.45749   0.0112785
          44     1.28778     1.45363    0.011663
          45     1.27639     1.44969   0.0120505
          46     1.26479     1.44567   0.0124409
          47     1.25298     1.44157    0.012834
          48     1.24097      1.4374   0.0132296
          49     1.22876     1.43314   0.0136276
          50     1.21636      1.4288   0.0140278
          51     1.20377     1.42439     0.01443
          52     1.19101      1.4199   0.0148341
          53     1.17807     1.41534   0.0152398
          54     1.16496      1.4107    0.015647
          55      1.1517     1.40599   0.0160555
          56     1.13828     1.40121   0.0164652
