#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.54024    -5.54024           0
           2    -5.53981    -5.54003 0.000152149
           3    -5.53938    -5.53981 0.000202645
           4    -5.53895     -5.5396 0.000240043
           5    -5.53852    -5.53938 0.000271276
           6     -5.5381    -5.53917 0.000298718
           7    -5.53767    -5.53895 0.000323505
           8    -5.53725    -5.53874 0.000346286
           9     -5.5365    -5.53849 0.000386967
          10    -5.53576    -5.53822 0.000434169
          11    -5.53405    -5.53784 0.000535343
          12    -5.53266    -5.53741 0.000641553
          13     -5.5316    -5.53696 0.000731438
          14    -5.52989    -5.53646 0.000835549
          15    -5.52786    -5.53588 0.000956375
          16     -5.5268    -5.53532   0.0010516
          17    -5.52445    -5.53468  0.00116785
          18    -5.52178    -5.53396  0.00130429
          19    -5.51911    -5.53318  0.00145096
          20    -5.51677    -5.53236  0.00159362
          21    -5.51345    -5.53146  0.00175365
          22    -5.51014    -5.53049  0.00192304
          23    -5.50716    -5.52947  0.00208996
          24    -5.50514    -5.52846  0.00223533
          25    -5.50345    -5.52746  0.00235922
          26    -5.50143    -5.52646  0.00247174
          27    -5.49878    -5.52543  0.00258412
          28    -5.49547    -5.52436  0.00270429
          29    -5.49282    -5.52328  0.00282128
          30    -5.49017    -5.52217   0.0029351
          31    -5.48688    -5.52103  0.00305325
          32    -5.48521    -5.51991  0.00315646
          33    -5.48418    -5.51883  0.00324123
          34    -5.48348    -5.51779  0.00330847
          35    -5.48117    -5.51675  0.00337537
          36    -5.48015    -5.51573  0.00343124
          37     -5.4785    -5.51472  0.00348295
          38    -5.47717    -5.51373  0.00352874
          39    -5.47584    -5.51276  0.00356952
          40     -5.4742     -5.5118  0.00360814
          41    -5.47321    -5.51086  0.00364084
          42    -5.47255    -5.50995  0.00366665
          43    -5.47059    -5.50903  0.00369382
          44    -5.46962    -5.50813  0.00371687
          45    -5.46833    -5.50725  0.00373803
          46    -5.46737    -5.50638  0.00375595
          47    -5.46642    -5.50553  0.00377105
          48    -5.46515    -5.50469  0.00378515
          49    -5.46357    -5.50385  0.00379979
          50    -5.46297    -5.50303  0.00381076
