# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
      0   1.51927              0         0.4794
      1   1.48188      0.0373913         0.4744
      2   1.47046      0.0244235         0.4764
      3   1.46912      0.0173216          0.472
      4   1.47956       0.016996         0.4864
      5     1.491      0.0179902         0.4902
      6   1.49504      0.0157314         0.4762
      7   1.49002      0.0145208         0.4754
      8   1.49655       0.014376          0.493
      9   1.50592      0.0159112         0.4986
     10   1.50386      0.0145388         0.4652
     11   1.50082      0.0136156          0.487
     12   1.49597      0.0134333          0.483
     13    1.4912      0.0133189          0.485
     14   1.49514      0.0130109         0.4856
     15   1.49273      0.0124065         0.4746
     16    1.4909      0.0117968         0.4762
     17   1.49237      0.0112182         0.4926
     18   1.49745      0.0117677         0.4998
     19   1.49355       0.011826         0.4758
     20   1.49474      0.0113108         0.4788
     21   1.49627      0.0108935          0.479
     22   1.49956      0.0109143          0.464
     23   1.49905      0.0104618         0.4946
     24   1.50151      0.0103316         0.4992
     25   1.49927      0.0101755         0.4758
     26    1.4988     0.00980288         0.4782
     27   1.49688      0.0096381         0.4878
     28   1.49595     0.00934688          0.493
     29     1.497     0.00909085         0.4882
     30   1.49502     0.00901295         0.4696
     31   1.49594     0.00877505         0.4892
     32   1.49409     0.00870309         0.4706
     33   1.49414     0.00844338         0.4722
     34   1.49324     0.00824769         0.4818
     35   1.49213      0.0080914         0.4884
     36   1.49253     0.00787982         0.4742
     37   1.49396     0.00780137         0.4782
     38   1.49486     0.00765121         0.4728
     39   1.49347     0.00758457         0.4894
     40   1.49266     0.00744178         0.4854
     41   1.49461     0.00751955          0.483
     42   1.49377     0.00739083         0.4794
     43    1.4924     0.00734925          0.485
     44    1.4906     0.00740487         0.4748
     45   1.49125      0.0072709         0.4814
     46   1.49008     0.00720956         0.4686
     47   1.49078     0.00709247         0.4796
     48   1.49059     0.00694899         0.4822
     49    1.4903     0.00681482         0.4708
     50   1.48977     0.00670031         0.4682
     51   1.49002     0.00657497         0.4864
     52   1.49186     0.00670538         0.4954
     53   1.49093     0.00664484         0.4562
     54   1.49142     0.00654108         0.4724
     55   1.49036     0.00651056         0.4798
     56   1.49073     0.00640607         0.4852
     57   1.49143     0.00633323         0.4864
     58   1.49288     0.00639334         0.4926
     59   1.49237     0.00630717         0.4716
     60   1.49214     0.00620703         0.4766
     61   1.49137     0.00615459          0.469
     62   1.49188     0.00607745         0.4856
     63   1.49176     0.00598295         0.4782
     64   1.49184     0.00589075         0.4766
     65   1.49187     0.00580091         0.4746
     66   1.49243       0.005741         0.4784
     67   1.49164     0.00571114         0.4664
     68   1.49091     0.00567549         0.4858
     69    1.4916     0.00563694         0.4818
     70   1.49136     0.00556248         0.4774
     71    1.4914     0.00548483          0.483
     72    1.4923     0.00548372         0.4838
     73   1.49199     0.00541803         0.4912
     74   1.49153     0.00536479         0.4814
     75   1.49167      0.0052955         0.4846
     76   1.49174     0.00522682         0.4776
     77   1.49202     0.00516683         0.4926
     78   1.49314     0.00522278         0.5024
     79   1.49294     0.00516089         0.4796
     80   1.49294     0.00509678         0.4776
     81   1.49321     0.00504102          0.477
     82   1.49296     0.00498591         0.4782
     83   1.49282     0.00492828         0.4808
     84   1.49357     0.00492758         0.4876
     85   1.49288     0.00491888         0.4672
     86   1.49331     0.00488123         0.4978
     87   1.49294     0.00483928         0.4864
     88   1.49294     0.00478459          0.485
     89   1.49504      0.0051726         0.5024
     90   1.49533     0.00512407         0.4818
     91   1.49623     0.00514654          0.482
     92   1.49612     0.00509209         0.4666
     93    1.4953     0.00510435         0.4602
     94   1.49548     0.00505383         0.4834
     95   1.49511      0.0050146         0.4644
     96   1.49471     0.00497881         0.4804
     97   1.49551     0.00499228          0.488
     98   1.49554     0.00494166         0.4848
     99   1.49549     0.00489221         0.4978
    100   1.49513     0.00485673         0.4756
    101   1.49526     0.00481049         0.4784
    102   1.49435       0.004849         0.4722
    103   1.49442     0.00480268         0.4806
    104   1.49324     0.00490074         0.4634
    105   1.49304     0.00485862         0.4728
    106   1.49388     0.00488656         0.4926
    107    1.4932     0.00488856         0.4782
    108    1.4928     0.00486004         0.4898
    109   1.49293     0.00481746         0.4812
    110   1.49343     0.00479945          0.479
    111   1.49269      0.0048136          0.458
    112   1.49432     0.00504075         0.5042
    113   1.49444     0.00499787         0.4798
    114   1.49387     0.00498646          0.481
    115   1.49397     0.00494425         0.4946
    116   1.49379     0.00490506          0.478
    117   1.49401     0.00486832         0.4946
    118   1.49371     0.00483686         0.4746
    119   1.49316     0.00482731         0.4806
    120   1.49333     0.00479012         0.4806
    121   1.49332     0.00475071         0.4828
    122   1.49428     0.00480866         0.5026
    123   1.49448     0.00477389         0.4848
    124   1.49339     0.00485849         0.4698
    125   1.49338     0.00481978         0.4774
    126   1.49448      0.0049045         0.4914
    127   1.49506     0.00490088          0.492
    128   1.49484     0.00486771          0.485
    129   1.49435     0.00485499         0.4712
    130   1.49471     0.00483114          0.487
    131   1.49475     0.00479458         0.4782
    132   1.49611     0.00494969         0.5012
    133   1.49589     0.00491755         0.4818
    134   1.49614      0.0048876          0.481
    135   1.49573     0.00486931         0.4698
    136   1.49569     0.00483381         0.4824
    137   1.49528     0.00481567         0.4748
    138   1.49586     0.00481609         0.4856
    139   1.49632     0.00480283         0.4914
    140   1.49643     0.00477011         0.4908
    141   1.49766     0.00489306         0.4988
    142   1.49783     0.00486166          0.484
    143   1.49773     0.00482875         0.4818
    144   1.49785     0.00479668         0.4668
    145   1.49778     0.00476416         0.4846
    146   1.49738     0.00474868         0.4818
    147   1.49776     0.00473149         0.4836
    148   1.49725     0.00472705         0.4706
    149   1.49739     0.00469769         0.4726
    150   1.49734     0.00466682         0.4864
    151   1.49667     0.00468344         0.4694
    152   1.49658     0.00465376          0.483
    153   1.49583     0.00468368         0.4664
    154   1.49709      0.0048206         0.4846
    155   1.49685     0.00479556         0.4812
    156   1.49734     0.00479084         0.4892
    157   1.49703     0.00477053         0.4782
    158    1.4965     0.00477017         0.4738
    159   1.49726     0.00480039          0.503
    160   1.49775     0.00479596         0.4828
    161    1.4978     0.00476652         0.4808
    162   1.49817     0.00475107         0.4718
    163   1.49846     0.00473139         0.4676
    164   1.49854     0.00470332         0.4938
    165   1.49907     0.00470454         0.4904
    166   1.49896     0.00467756          0.483
    167   1.49842     0.00468085         0.4606
    168   1.49878     0.00466682         0.4942
    169   1.49817     0.00467897           0.45
    170   1.49832     0.00465394          0.497
    171   1.49847      0.0046291         0.4902
    172   1.49863     0.00460523         0.4872
    173   1.49868     0.00457895         0.4724
    174   1.49873     0.00455293         0.4802
    175   1.49901     0.00453562          0.485
    176    1.4992     0.00451397          0.473
    177     1.499     0.00449285         0.4724
    178   1.49937     0.00448273         0.4808
    179   1.49915     0.00446291         0.4752
    180   1.49871      0.0044605         0.4644
    181   1.49843     0.00444441         0.4892
    182   1.49859     0.00442272         0.4864
    183   1.49867     0.00439945         0.4908
    184   1.49852     0.00437838         0.4694
    185   1.49871     0.00435929          0.464
    186   1.49836        0.00435          0.493
    187   1.49794     0.00434802         0.4748
    188   1.49758     0.00433933          0.478
    189    1.4971     0.00434313          0.478
    190   1.49641     0.00437609         0.4654
    191   1.49609     0.00436454         0.4638
    192   1.49576     0.00435415         0.4732
    193   1.49613     0.00434741         0.4924
    194   1.49626     0.00432681         0.4846
    195   1.49619     0.00430526         0.4756
    196   1.49596     0.00428915         0.4776
    197   1.49581     0.00427033         0.4684
    198   1.49605     0.00425567         0.4882
    199   1.49598     0.00423485         0.4808
