# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
      0   1.58999              0         0.5814
      1   1.57818      0.0118109         0.5658
      2   1.51754      0.0610285         0.5632
      3   1.52091      0.0432857         0.5722
      4     1.535      0.0363693         0.5822
      5   1.53285      0.0297738         0.5812
      6   1.52021      0.0281577         0.5698
      7   1.52341      0.0245946          0.575
      8   1.53508      0.0246285         0.5714
      9   1.53485      0.0220296         0.5548
     10   1.52661      0.0215647         0.5746
     11   1.53572      0.0216922          0.593
     12   1.53046       0.020635         0.5666
     13    1.5268      0.0194525         0.5692
     14   1.53091        0.01857         0.5808
     15   1.53297      0.0174927         0.5748
     16    1.5331       0.016432         0.5756
     17   1.52775      0.0163894         0.5758
     18   1.52521      0.0157091         0.5688
     19   1.52303      0.0150617          0.574
     20   1.52225      0.0143477          0.568
     21   1.52049      0.0137935          0.589
     22   1.51694      0.0136501          0.561
     23   1.51781      0.0130984         0.5838
     24   1.51863      0.0125902         0.5884
     25   1.51359      0.0131053          0.559
     26   1.51069      0.0129394          0.581
     27   1.50779      0.0128011         0.5644
     28   1.50762       0.012353         0.5664
     29   1.50394      0.0124888         0.5628
     30   1.50249      0.0121659          0.576
     31   1.50293      0.0117877         0.5812
     32   1.50088      0.0116072         0.5748
     33   1.49849      0.0115104         0.5708
     34   1.49823      0.0111798          0.568
     35   1.49765      0.0108803         0.5672
     36    1.4973      0.0105878         0.5718
     37   1.49564      0.0104384          0.565
     38   1.49643      0.0101976         0.5784
     39   1.49638     0.00993947          0.567
     40   1.49505     0.00978566         0.5634
     41   1.49642     0.00964828         0.5794
     42   1.49952     0.00991697         0.5806
     43   1.49985     0.00969471         0.5644
     44   1.49763     0.00973373         0.5666
     45    1.4961     0.00964184         0.5682
     46   1.49781     0.00958755          0.571
     47   1.49963     0.00956123         0.5796
     48   1.50026       0.009385         0.5674
     49   1.49936     0.00923891          0.576
     50   1.50231     0.00952251         0.5956
     51   1.50071     0.00947315          0.573
     52   1.49987     0.00933077          0.576
     53   1.50021     0.00916269         0.5874
     54   1.50037     0.00899593         0.5834
     55   1.50116     0.00886896         0.5812
     56   1.50149     0.00871855         0.5724
     57   1.50305     0.00870652         0.5826
     58   1.50267     0.00856608         0.5644
