# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
      0   5.24387              0          0.522
      1   5.06703       0.176841          0.506
      2   4.96044       0.147599         0.5002
      3   4.95277        0.10465         0.5082
      4   4.97636      0.0844225         0.5222
      5   5.00465      0.0745097          0.523
      6   5.01616      0.0640163         0.5118
      7   4.98574      0.0632383         0.5038
      8   5.00737      0.0598205         0.5244
      9   5.04126      0.0633323         0.5318
     10   5.03263      0.0579327         0.5122
     11   5.02316      0.0537251         0.5156
     12   5.01065      0.0509798         0.5208
     13   5.02407      0.0490701          0.525
     14   5.02512      0.0456939         0.5244
     15   5.01112      0.0449795         0.5062
     16   5.00137      0.0433596         0.5066
     17   5.00072      0.0408851         0.5284
     18   5.00658      0.0391155         0.5208
     19   4.99536      0.0387665         0.5068
     20    5.0057      0.0382961         0.5188
     21   5.00379      0.0365639         0.5104
     22   5.01274      0.0360668         0.5092
     23   5.00594      0.0351954         0.5262
     24   5.01524      0.0350159         0.5356
     25   5.01241      0.0337607          0.523
     26   5.00496      0.0333303         0.5014
     27    4.9987      0.0327215         0.5138
     28   4.99892      0.0315738         0.5212
     29   4.99782       0.030523         0.5252
     30   4.99612      0.0295711         0.5182
     31   4.99441      0.0286828         0.5102
     32   4.98807      0.0285152         0.5016
     33   4.98903      0.0276805          0.516
     34   4.98672      0.0269767          0.518
     35   4.98432      0.0263271         0.5254
     36    4.9848      0.0256103         0.5156
     37   4.99032       0.025532         0.5138
     38   4.99354      0.0250759         0.5124
     39   4.99186       0.024499          0.529
     40   4.99102      0.0239086         0.5216
     41   4.99305      0.0234207         0.5202
     42   4.99513      0.0229636         0.5168
     43   4.99522      0.0224359         0.5266
     44   4.99079       0.022376          0.504
     45   4.98952      0.0219206          0.509
     46   4.98988      0.0214522         0.5132
     47   4.99947      0.0230871         0.5264
     48   5.00312       0.022904         0.5138
     49   4.99825      0.0229648           0.51
     50   4.99897      0.0225215         0.5162
     51   5.00528      0.0229691         0.5248
     52   5.00765      0.0226559          0.519
     53   5.00724      0.0222362          0.517
     54   5.00809      0.0218445         0.5176
     55   5.00386       0.021863         0.5172
     56   5.00256      0.0215154         0.5134
     57   4.99845      0.0215376         0.5056
     58   5.00105      0.0213283         0.5278
     59   5.00042      0.0209791         0.5006
     60   4.99831      0.0207404         0.5026
     61   4.99509      0.0206548         0.4982
     62   4.99583      0.0203377         0.5166
     63   4.99522      0.0200268          0.515
     64   4.99585      0.0197261         0.5176
     65   4.99705      0.0194622         0.5158
     66   4.99622      0.0191875         0.5058
     67   4.99482      0.0189551         0.5078
     68   4.99162      0.0189491         0.5206
     69   4.99414      0.0188446         0.5118
     70   4.99731      0.0188469           0.51
     71   4.99699       0.018586         0.5142
     72   4.99916      0.0184577         0.5178
     73   4.99583      0.0185087         0.5168
     74   4.99725      0.0183153         0.5256
     75    4.9975      0.0180744         0.5176
     76   5.00018      0.0180391          0.519
     77   5.00229      0.0179305         0.5288
     78   5.00399      0.0177832         0.5132
     79   5.00241      0.0176303         0.5074
     80   5.00202      0.0174157         0.5016
     81   5.00114      0.0172243          0.504
     82   5.00105      0.0170158         0.5082
     83    5.0005      0.0168209           0.51
     84   4.99963      0.0166446         0.5128
     85   4.99924      0.0164544         0.5072
     86   4.99913      0.0162646         0.5162
     87   4.99712       0.016204          0.511
     88   4.99703      0.0160211         0.5066
     89   4.99917      0.0159856         0.5276
     90   4.99912       0.015809         0.5082
     91   5.00107      0.0157572          0.521
     92   5.00065      0.0155926         0.5068
     93   4.99982       0.015448         0.5036
     94   4.99808       0.015383         0.5016
     95   4.99772      0.0152263         0.5086
     96   4.99868      0.0150994          0.526
     97   4.99764      0.0149811         0.5068
     98   4.99743      0.0148305         0.5144
     99   4.99686      0.0146922         0.5286
    100   4.99586      0.0145808         0.5086
    101   4.99715      0.0144945         0.5202
    102   4.99562      0.0144342         0.5118
    103    4.9964      0.0143162         0.5212
    104   4.99586      0.0141894         0.5018
    105   4.99512      0.0140745         0.5194
    106   4.99809      0.0142544         0.5176
    107   4.99663      0.0141966          0.525
    108   4.99475      0.0141911         0.5302
    109   4.99521      0.0140691         0.5168
    110   4.99544      0.0139436          0.518
    111   4.99508      0.0138233          0.515
    112   4.99878      0.0141936         0.5348
    113   4.99815      0.0140828         0.5038
    114   4.99809      0.0139599         0.5194
    115   4.99901      0.0138696         0.5126
    116   4.99706      0.0138882         0.5098
    117   4.99515      0.0139021         0.5096
    118   4.99511      0.0137848          0.522
    119   4.99416       0.013702         0.5172
    120   4.99262      0.0136754          0.517
    121    4.9949      0.0137523         0.5174
    122   4.99753      0.0138912         0.5264
    123   4.99872      0.0138299         0.5268
    124   4.99716      0.0138063         0.4946
    125   4.99695       0.013698         0.5058
    126     4.999      0.0137429         0.5206
    127   5.00163      0.0138863          0.523
    128    5.0005      0.0138244         0.5126
    129   4.99969      0.0137412          0.515
    130   4.99892       0.013658         0.5038
    131   4.99988      0.0135884         0.5076
    132   5.00019      0.0134894         0.5238
    133   4.99962      0.0134008         0.5124
    134   4.99936      0.0133036         0.5188
    135   4.99809       0.013266         0.5114
    136   4.99667      0.0132452         0.5056
    137    4.9968      0.0131495         0.5216
    138   4.99875      0.0131996         0.5132
    139   4.99945      0.0131237         0.5154
    140   4.99997      0.0130406         0.5188
    141    5.0001       0.012949         0.5106
    142   4.99962       0.012867         0.5226
    143   4.99981      0.0127787         0.5192
    144     5.001      0.0127464         0.5146
    145   5.00173      0.0126797         0.5338
    146   5.00149      0.0125954          0.521
    147   5.00229      0.0125356         0.5152
    148   5.00086      0.0125334         0.5074
    149   5.00173        0.01248         0.5222
    150   5.00244      0.0124172         0.5216
    151   5.00167      0.0123593         0.5008
    152   5.00142      0.0122808          0.518
    153   5.00047      0.0122381         0.5098
    154   5.00138      0.0121928         0.5202
    155   5.00202      0.0121312         0.5114
    156   5.00294      0.0120893         0.5138
    157   5.00186      0.0120613         0.5088
    158   5.00045      0.0120678         0.5078
    159   5.00203      0.0120957         0.5272
    160   5.00237      0.0120252         0.5078
    161   5.00337       0.011993           0.51
    162   5.00435      0.0119587         0.5156
    163   5.00612      0.0120178         0.5102
    164    5.0059      0.0119469         0.5122
    165   5.00605      0.0118758         0.5212
    166   5.00512      0.0118412         0.5226
    167   5.00501       0.011771         0.5048
    168   5.00494      0.0117013         0.5152
    169   5.00455      0.0116387         0.5018
    170   5.00541      0.0116019         0.5298
    171   5.00666      0.0116025         0.5196
    172   5.00793      0.0116045         0.5266
    173   5.00737      0.0115511         0.5034
    174   5.00715       0.011487          0.515
    175   5.00685      0.0114256         0.5166
    176    5.0071      0.0113636         0.5014
    177   5.00662      0.0113096         0.5098
    178   5.00718      0.0112599         0.5084
    179   5.00632        0.01123         0.5054
    180   5.00614      0.0111691          0.511
