# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
      0   5.05333              0         0.4922
      1   5.13302      0.0796936         0.4886
      2   5.06633        0.08102          0.499
      3   5.02568      0.0702476          0.495
      4    5.0315      0.0547239          0.513
      5   5.07399      0.0616559         0.5092
      6   5.01811      0.0764007         0.4884
      7   5.02494      0.0665162         0.5086
      8   5.05554      0.0661647         0.5032
      9   5.04614      0.0599223          0.502
     10   5.04459      0.0542237         0.5048
     11   5.05387      0.0503612         0.5088
     12   5.04548      0.0470799         0.5106
     13   5.02729      0.0472296         0.4842
     14   5.03134      0.0441544         0.4938
     15   5.03293      0.0413331         0.5038
     16   5.03118      0.0388651            0.5
     17   5.02556       0.037071         0.4912
     18   5.02037      0.0354477          0.488
     19    5.0161      0.0338984          0.497
     20   5.02388      0.0331708         0.5038
     21   5.01972         0.0319         0.5112
     22   5.01353      0.0311038         0.4906
     23   5.01692      0.0299724          0.508
     24   5.02304       0.029392          0.518
     25   5.01589      0.0291293         0.4824
     26   5.01006      0.0286295         0.5002
     27   5.00683      0.0277771            0.5
     28   5.00387      0.0269647         0.4778
     29   5.00129      0.0261782         0.5068
     30   4.99918       0.025407         0.4958
     31   4.99574      0.0248395         0.4946
     32    4.9933      0.0241987          0.488
     33   4.99086      0.0236025         0.4986
     34   4.99547      0.0233777         0.4982
     35   4.98912      0.0235909         0.4878
     36    4.9844      0.0234251         0.4888
     37   4.98569      0.0228366         0.5008
     38   4.99171      0.0230456         0.5024
     39   4.99692      0.0230585         0.4898
     40   4.99908       0.022592         0.5008
     41   4.99739      0.0221119         0.5072
     42   5.00421      0.0226425         0.5034
     43   5.00716      0.0223177         0.5018
     44   5.00162      0.0225096         0.4862
     45   5.00169       0.022015         0.4884
     46   5.00151      0.0215423         0.4916
     47   5.00363      0.0211957         0.5014
     48   5.00453      0.0207779         0.4938
     49   5.00599      0.0204108          0.508
     50    5.0102      0.0204439          0.506
     51   5.00821      0.0201453          0.495
     52   5.00498       0.020024         0.4962
     53    5.0048      0.0196505         0.5056
     54   5.00676      0.0193898          0.496
     55   5.01016      0.0193405         0.4974
     56   5.01105      0.0190189          0.493
     57   5.01349      0.0188469         0.5114
     58   5.01524      0.0186073         0.4952
     59   5.01422      0.0183226         0.4842
     60   5.01411      0.0180201          0.503
     61   5.01606      0.0178337         0.4972
     62   5.01841      0.0177054         0.5052
     63   5.01892      0.0174339         0.4914
     64    5.0194      0.0171702         0.5004
     65   5.01866      0.0169241         0.4948
     66   5.01869      0.0166696         0.4896
     67   5.02223         0.0168          0.498
     68   5.02119      0.0165875         0.4894
     69   5.02155      0.0163527         0.5042
     70   5.02243      0.0161447         0.5034
     71   5.02209      0.0159226         0.4968
     72   5.02243      0.0157067         0.4966
     73   5.02174      0.0155084            0.5
     74   5.02197       0.015302          0.494
     75    5.0186      0.0154712         0.4928
     76   5.01605      0.0154797         0.4872
     77   5.01951      0.0156652         0.5006
     78   5.01705       0.015659         0.5088
     79   5.01553      0.0155367         0.4926
     80   5.01493      0.0153556         0.4882
     81   5.01463        0.01517         0.5006
     82   5.01627      0.0150754         0.5082
     83   5.01639      0.0148953          0.483
     84   5.01703      0.0147329         0.4972
     85   5.01686      0.0145616         0.4936
     86   5.01651      0.0143974         0.5134
     87   5.01708      0.0142444         0.4938
     88   5.01555      0.0141665          0.483
     89    5.0177      0.0141722         0.5072
     90   5.01599      0.0141199         0.4968
     91   5.01467      0.0140274          0.494
     92   5.01576      0.0139188         0.5098
     93   5.01613      0.0137749         0.5032
     94   5.01603      0.0136295         0.4854
     95   5.01566      0.0134919         0.4822
     96   5.01593      0.0133548         0.5072
     97   5.01557      0.0132228         0.5004
     98   5.01591      0.0130929         0.5044
     99   5.01542      0.0129708         0.5042
    100    5.0148      0.0128564         0.4812
    101   5.01855      0.0132707         0.5026
    102    5.0184      0.0131421         0.5052
    103   5.01923      0.0130414         0.5116
    104   5.01894      0.0129199         0.4958
    105   5.01949      0.0128092         0.4994
    106   5.02076      0.0127521         0.5026
    107   5.01832      0.0128663         0.4914
    108   5.01699       0.012817         0.4878
    109   5.01719      0.0127016         0.5038
    110   5.01935      0.0127703          0.508
    111   5.01933      0.0126557         0.4944
    112   5.01947       0.012544         0.4972
    113   5.01836       0.012483         0.4906
    114   5.01975      0.0124528          0.491
    115   5.01995      0.0123465         0.5064
    116   5.01845      0.0123327         0.4972
    117   5.01739      0.0122737         0.4988
    118   5.02059      0.0125838         0.5048
    119   5.02147        0.01251          0.497
    120   5.02081      0.0124238         0.4976
    121   5.02029      0.0123327         0.4804
    122   5.02013      0.0122331         0.4966
    123   5.01956      0.0121474         0.5116
    124   5.01795      0.0121568         0.4822
    125   5.01794      0.0120599         0.5046
    126   5.01576      0.0121621         0.4946
    127   5.01545      0.0120707         0.4978
    128   5.01658      0.0120305         0.5002
    129   5.01422      0.0121696         0.4738
    130   5.01565      0.0121605          0.501
    131   5.01346      0.0122648         0.4848
    132   5.01223      0.0122342         0.5046
    133   5.01141      0.0121703          0.502
    134   5.01309      0.0121964         0.5032
    135   5.01226      0.0121351         0.4784
    136    5.0118      0.0120549          0.498
    137   5.01235      0.0119799         0.4962
    138   5.01219      0.0118945         0.5002
    139   5.01136      0.0118386         0.5022
    140   5.01153      0.0117555         0.5052
    141   5.01085      0.0116919         0.4814
    142   5.01051       0.011615         0.5014
    143   5.00933      0.0115939         0.4886
    144   5.01054      0.0115772          0.508
    145   5.00911      0.0115861          0.497
    146   5.00859      0.0115188          0.508
    147   5.00592       0.011747         0.4774
    148   5.00633      0.0116751         0.5048
    149   5.00428      0.0117776          0.501
    150   5.00316      0.0117528          0.497
    151    5.0026      0.0116884         0.4964
    152   5.00255      0.0116119         0.5044
    153   5.00205      0.0115471         0.5064
