#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      70.173      70.173           0
           2     69.8232     69.9981     0.12367
           3     70.8611     70.2858    0.248914
           4      70.802     70.4148    0.217588
           5     74.5502     71.2419     0.75997
           6     69.0408     70.8751    0.716401
           7     78.9945      72.035     1.23705
           8     75.0813     72.4158     1.13951
           9     64.5379     71.5404     1.30653
          10     72.8707     71.6735     1.18263
          11     68.1021     71.3488      1.1188
          12     82.9211     72.3132     1.37995
          13     82.5399     73.0998     1.48116
          14       76.07      73.312     1.39047
          15     79.5862     73.7303     1.35923
          16     88.9457     74.6812     1.57213
          17     83.8092     75.2182     1.56867
          18     67.1719     74.7712      1.5439
          19     83.5432     75.2328     1.53012
          20     77.4488     75.3436     1.45762
          21     75.0954     75.3318     1.38826
          22     79.8717     75.5382      1.3404
          23     76.3451     75.5733     1.28258
          24     78.3542     75.6891     1.23437
          25     78.2482     75.7915     1.18923
          26      81.652     76.0169     1.16465
          27     71.2979     75.8421     1.13456
          28     80.8004     76.0192     1.10777
          29     86.6654     76.3863     1.12876
          30     72.2212     76.2475     1.09964
