#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.114408    0.114408           0
           2    0.103056    0.108732  0.00401354
           3    0.087044    0.101503  0.00648086
           4     0.12226    0.106692  0.00661987
           5    0.125204    0.110394  0.00624602
           6    0.072108    0.104013  0.00781178
           7    0.056348    0.097204  0.00919658
           8    0.090612     0.09638  0.00808384
           9    0.082768   0.0948676  0.00732575
          10    0.074172    0.092798   0.0068793
          11    0.091544    0.092684  0.00625485
          12    0.069148   0.0907227  0.00603329
          13    0.076048   0.0895938  0.00567381
          14    0.093216   0.0898526  0.00527443
          15    0.120596   0.0919021  0.00530609
          16    0.106888   0.0928388  0.00505645
          17     0.09112   0.0927376  0.00476002
          18     0.08344   0.0922211  0.00452352
          19    0.082928    0.091732   0.0043118
          20    0.092952    0.091793  0.00409664
          21    0.074344   0.0909621  0.00398494
          22      0.0956   0.0911729  0.00380938
          23    0.097424   0.0914447  0.00365343
          24    0.098828   0.0917523  0.00351414
          25     0.08134   0.0913358  0.00339816
          26    0.105512   0.0918811  0.00331092
          27    0.123452   0.0930504  0.00338848
          28     0.08674    0.092825  0.00327495
          29    0.064732   0.0918563  0.00330219
          30    0.087272   0.0917035  0.00319565
