#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.684264   -0.684264           0
           2   -0.684952   -0.684608 0.000243245
           3   -0.682416   -0.683877 0.000618234
           4   -0.681536   -0.683292 0.000686991
           5     -0.6798   -0.682594 0.000832023
           6   -0.685896   -0.683144 0.000856264
           7    -0.68588   -0.683535 0.000818299
           8   -0.685584   -0.683791 0.000755037
           9   -0.684232    -0.68384 0.000672732
          10   -0.682296   -0.683686 0.000622925
          11   -0.682928   -0.683617  0.00057009
          12   -0.682128   -0.683493 0.000535912
          13   -0.685144    -0.68362  0.00050952
          14   -0.683368   -0.683602 0.000473442
          15   -0.677424    -0.68319 0.000594616
          16   -0.684312    -0.68326 0.000561573
          17   -0.684176   -0.683314 0.000531118
          18   -0.680224   -0.683142 0.000528625
          19   -0.680896   -0.683024 0.000513852
          20   -0.681112   -0.682928 0.000496973
          21   -0.683704   -0.682965 0.000474678
          22   -0.681744    -0.68291 0.000456337
          23   -0.682824   -0.682906 0.000436511
          24   -0.683888   -0.682947 0.000420236
          25   -0.684008   -0.682989 0.000405564
          26   -0.683584   -0.683012  0.00039061
          27    -0.68088   -0.682933 0.000384043
          28   -0.682376   -0.682913 0.000370843
          29   -0.681392   -0.682861 0.000361747
          30    -0.68084   -0.682794 0.000355906
