#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.316694    0.316694           0
           2    0.317518    0.317106 0.000291573
           3    0.312827     0.31568  0.00118055
           4    0.316698    0.315934 0.000912457
           5    0.320639    0.316875    0.001114
           6    0.307825    0.315367  0.00166061
           7    0.308591    0.314399  0.00168199
           8    0.311567    0.314045  0.00150853
           9    0.316548    0.314323  0.00136632
          10    0.317612    0.314652  0.00126867
          11    0.316769    0.314844  0.00116783
          12    0.315102    0.314866  0.00107071
          13    0.315755    0.314934  0.00099053
          14    0.314794    0.314924 0.000919829
          15    0.320641    0.315305  0.00093414
          16    0.327817    0.316087  0.00115769
          17    0.316677    0.316122  0.00109011
          18    0.324393    0.316582  0.00112222
          19    0.309976    0.316234  0.00111572
          20    0.319525    0.316398    0.001072
          21     0.31762    0.316457  0.00102253
          22    0.315898    0.316431 0.000976365
          23    0.312106    0.316243 0.000951849
          24    0.314524    0.316172 0.000914881
          25    0.311874       0.316 0.000894289
          26    0.316447    0.316017 0.000860059
          27    0.326986    0.316423 0.000919157
          28    0.311443    0.316245 0.000903375
          29    0.324281    0.316522 0.000913733
          30    0.316585    0.316524 0.000883278
