#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.965528   -0.965528           0
           2    -0.98112   -0.973324   0.0055126
           3   -0.976576   -0.974408  0.00378015
           4   -0.971784   -0.973752  0.00289147
           5   -0.969624   -0.972926  0.00242818
           6     -0.9688   -0.972239  0.00211864
           7   -0.966584   -0.971431  0.00196395
           8   -0.975104    -0.97189  0.00177132
           9   -0.978328   -0.972605  0.00171287
          10   -0.971896   -0.972534  0.00154305
          11   -0.973624   -0.972633  0.00140595
          12    -0.97256   -0.972627   0.0012888
          13   -0.973088   -0.972663  0.00119015
          14   -0.964072   -0.972049  0.00125338
          15   -0.976048   -0.972316  0.00119784
          16   -0.975472   -0.972513   0.0011391
          17   -0.971832   -0.972473   0.0010728
          18    -0.97996   -0.972889  0.00109086
          19   -0.977192   -0.973115  0.00105669
          20     -0.9806    -0.97349  0.00106807
          21     -0.9786   -0.973733  0.00104457
          22    -0.97828    -0.97394  0.00101733
          23    -0.97916   -0.974167 0.000998097
          24    -0.96968    -0.97398 0.000973859
          25   -0.971824   -0.973893 0.000938714
          26   -0.972528   -0.973841 0.000904078
          27   -0.977584    -0.97398 0.000881158
          28   -0.963528   -0.973606 0.000925378
          29   -0.973104   -0.973589 0.000893631
          30   -0.985272   -0.973978 0.000944896
