#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.37007     4.37007           0
           2     4.63657     4.50332   0.0942196
           3     4.30921     4.43862   0.0820768
           4     4.23723     4.38827   0.0754352
           5     4.35879     4.38237   0.0605781
           6     4.46317     4.39584   0.0519569
           7     4.56821     4.42046   0.0500304
           8     4.34625     4.41119   0.0446284
           9     4.10884     4.37759   0.0507626
          10      4.2892     4.36875   0.0464495
          11     4.34079     4.36621   0.0422964
          12     4.38958     4.36816   0.0388165
          13     4.54333     4.38163   0.0380978
          14     4.56773     4.39492    0.037624
          15     4.29489     4.38826   0.0357019
          16     4.79779     4.41385    0.041647
          17     4.30594      4.4075    0.039678
          18     4.48513     4.41182   0.0377073
          19     4.54705     4.41893   0.0363883
          20     4.50439     4.42321   0.0348188
          21     4.41017     4.42259   0.0331663
          22     4.45836     4.42421   0.0316986
          23     4.50311     4.42764   0.0305055
          24     4.41855     4.42726   0.0292368
          25     4.51098     4.43061   0.0282584
          26     4.42729     4.43048   0.0271718
          27     4.39357     4.42912   0.0261998
          28     4.39297     4.42783   0.0252959
          29     4.55394     4.43217   0.0247946
          30     4.58191     4.43717   0.0244653
