#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.083796    0.083796           0
           2    0.075736    0.079766  0.00284964
           3    0.081504   0.0803453  0.00195776
           4    0.091844     0.08322  0.00289029
           5    0.061436   0.0788632   0.0045312
           6    0.071064   0.0775633  0.00395806
           7    0.099852   0.0807474  0.00449444
           8    0.086672    0.081488  0.00399318
           9    0.091876   0.0826422  0.00371256
          10    0.088664   0.0832444  0.00338979
          11    0.087856   0.0836636  0.00310744
          12    0.094032   0.0845277  0.00296618
          13    0.100904   0.0857874  0.00299358
          14    0.092688   0.0862803  0.00282004
          15    0.062732   0.0847104  0.00303774
          16    0.092024   0.0851675  0.00288207
          17    0.079136   0.0848127  0.00273429
          18    0.067732   0.0838638   0.0027421
          19    0.069584   0.0831122  0.00269881
          20    0.076144   0.0827638  0.00258626
          21    0.087796   0.0830034  0.00247419
          22    0.078304   0.0827898  0.00237093
          23    0.088844    0.083053  0.00228241
          24     0.09898   0.0837167  0.00228174
          25    0.094128   0.0841331  0.00222816
          26     0.10566   0.0849611  0.00229113
          27    0.073392   0.0845326  0.00224598
          28     0.05798   0.0835843  0.00235748
          29    0.088348   0.0837486   0.0022819
          30    0.103068   0.0843925  0.00229491
