#     BLOCK:   ACCEPTANCE:
           1    0.411678
           2    0.411347
           3    0.411661
           4    0.412401
           5    0.412434
           6    0.412235
           7    0.411933
           8     0.41173
           9    0.411799
          10    0.411996
          11    0.412084
          12    0.412219
          13     0.41223
          14    0.412113
          15    0.412231
          16    0.412305
          17    0.412427
          18    0.412363
          19     0.41223
          20    0.412201
          21    0.412059
          22    0.412082
          23    0.412081
          24    0.412057
          25    0.412081
          26     0.41212
          27    0.412223
          28    0.412279
          29    0.412307
          30    0.412286
