#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.29077     0.29077           0
           2    0.294296    0.292533  0.00124661
           3     0.29017    0.291745  0.00105083
           4    0.296969    0.293051  0.00137856
           5    0.290274    0.292495   0.0012096
           6    0.288124    0.291767  0.00120766
           7    0.297003    0.292515  0.00124543
           8    0.286483    0.291761  0.00129806
           9    0.283229    0.290813  0.00145952
          10    0.295438    0.291275   0.0013849
          11    0.288901     0.29106  0.00127571
          12    0.292624     0.29119  0.00117604
          13     0.29154    0.291217  0.00108588
          14    0.298582    0.291743  0.00112858
          15    0.295715    0.292008  0.00108396
          16    0.304738    0.292803  0.00127521
          17    0.302402    0.293368  0.00131928
          18    0.285565    0.292934  0.00131527
          19    0.301617    0.293391  0.00132305
          20    0.297329    0.293588  0.00127146
          21    0.295456    0.293677  0.00121402
          22    0.288781    0.293455  0.00117906
          23    0.297225    0.293619  0.00113914
          24    0.287249    0.293353  0.00112217
          25    0.303347    0.293753  0.00114628
          26    0.306979    0.294262  0.00120981
          27    0.297246    0.294372  0.00117004
          28    0.286142    0.294078  0.00116459
          29    0.298824    0.294242  0.00113587
          30    0.275869    0.293629  0.00125227
