#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.7911      1.7911           0
           2     1.79049      1.7908  0.00021591
           3     1.78988     1.79049 0.000288346
           4     1.78926     1.79018 0.000342437
           5     1.78865     1.78988  0.00038793
           6     1.78803     1.78957 0.000428145
           7     1.78741     1.78926  0.00046466
           8      1.7868     1.78895 0.000498369
           9     1.78618     1.78865 0.000529838
          10     1.78556     1.78834  0.00055945
          11     1.78494     1.78803 0.000587478
          12     1.78433     1.78772 0.000614128
          13     1.78371     1.78741 0.000639556
          14      1.7831      1.7871 0.000663883
          15     1.78249      1.7868 0.000687209
          16     1.78188     1.78649 0.000709613
          17     1.78128     1.78618  0.00073116
          18     1.78067     1.78588 0.000751905
          19     1.78007     1.78557 0.000771894
          20     1.77948     1.78527 0.000791167
          21     1.77888     1.78496 0.000809755
          22      1.7783     1.78466 0.000827688
          23     1.77771     1.78436 0.000844991
          24     1.77714     1.78406 0.000861683
          25     1.77656     1.78376 0.000877785
          26       1.776     1.78346 0.000893312
          27     1.77544     1.78316 0.000908277
          28     1.77488     1.78287 0.000922695
          29     1.77434     1.78257 0.000936574
          30      1.7738     1.78228 0.000949925
          31     1.77327     1.78199 0.000962756
          32     1.77274      1.7817 0.000975075
          33     1.77223     1.78141 0.000986887
          34     1.77172     1.78113 0.000998198
          35     1.77122     1.78084  0.00100901
          36     1.77073     1.78056  0.00101934
          37     1.77025     1.78028  0.00102917
          38     1.76978     1.78001  0.00103852
          39     1.76933     1.77973  0.00104739
          40     1.76888     1.77946  0.00105578
          41     1.76844     1.77919  0.00106369
          42     1.76802     1.77893  0.00107113
          43     1.76761     1.77867   0.0010781
          44     1.76721      1.7784  0.00108459
          45     1.76682     1.77815  0.00109061
          46     1.76645     1.77789  0.00109617
          47     1.76609     1.77764  0.00110125
          48     1.76574     1.77739  0.00110587
          49     1.76541     1.77715  0.00111003
          50     1.76509     1.77691  0.00111372
          51     1.76479     1.77667  0.00111696
          52      1.7645     1.77644  0.00111973
          53     1.76423     1.77621  0.00112205
          54     1.76397     1.77598  0.00112392
          55     1.76373     1.77576  0.00112533
          56     1.76351     1.77554   0.0011263
          57      1.7633     1.77532  0.00112682
          58     1.76311     1.77511   0.0011269
          59     1.76293     1.77491  0.00112654
          60     1.76278      1.7747  0.00112576
          61     1.76264     1.77451  0.00112454
          62     1.76252     1.77431  0.00112291
          63     1.76241     1.77412  0.00112086
          64     1.76233     1.77394   0.0011184
          65     1.76226     1.77376  0.00111554
          66     1.76221     1.77358  0.00111228
          67     1.76217     1.77341  0.00110864
          68     1.76216     1.77325  0.00110462
          69     1.76216     1.77309  0.00110024
          70     1.76218     1.77293  0.00109549
          71     1.76222     1.77278   0.0010904
          72     1.76228     1.77264  0.00108498
          73     1.76235     1.77249  0.00107922
          74     1.76244     1.77236  0.00107316
          75     1.76255     1.77223  0.00106679
          76     1.76267      1.7721  0.00106013
          77     1.76282     1.77198   0.0010532
          78     1.76297     1.77187  0.00104601
          79     1.76315     1.77176  0.00103857
          80     1.76334     1.77165  0.00103091
          81     1.76355     1.77155  0.00102302
          82     1.76377     1.77146  0.00101494
          83       1.764     1.77137  0.00100668
          84     1.76426     1.77128 0.000998244
          85     1.76452      1.7712 0.000989662
          86      1.7648     1.77113 0.000980947
          87      1.7651     1.77106 0.000972117
          88      1.7654     1.77099 0.000963191
          89     1.76573     1.77093 0.000954186
          90     1.76606     1.77088 0.000945121
          91      1.7664     1.77083 0.000936015
          92     1.76676     1.77079 0.000926886
          93     1.76713     1.77075 0.000917754
          94     1.76751     1.77071 0.000908638
          95      1.7679     1.77068 0.000899556
          96      1.7683     1.77066 0.000890529
          97     1.76871     1.77064 0.000881576
          98     1.76913     1.77062 0.000872716
          99     1.76955     1.77061 0.000863967
         100     1.76999     1.77061  0.00085535
         101     1.77043      1.7706 0.000846883
         102     1.77089     1.77061 0.000838585
         103     1.77134     1.77061 0.000830473
         104     1.77181     1.77063 0.000822568
         105     1.77228     1.77064 0.000814885
         106     1.77276     1.77066 0.000807442
         107     1.77324     1.77069 0.000800256
         108     1.77373     1.77071 0.000793343
         109     1.77423     1.77075 0.000786718
         110     1.77472     1.77078 0.000780397
         111     1.77523     1.77082 0.000774392
         112     1.77573     1.77087 0.000768717
         113     1.77624     1.77091 0.000763383
         114     1.77675     1.77096 0.000758403
         115     1.77727     1.77102 0.000753786
         116     1.77778     1.77108  0.00074954
         117      1.7783     1.77114 0.000745673
         118     1.77882      1.7712 0.000742192
         119     1.77935     1.77127 0.000739102
         120     1.77987     1.77134 0.000736406
         121     1.78039     1.77142 0.000734108
         122     1.78092      1.7715 0.000732208
         123     1.78144     1.77158 0.000730707
         124     1.78197     1.77166 0.000729603
         125     1.78249     1.77175 0.000728894
         126     1.78302     1.77184 0.000728576
         127     1.78354     1.77193 0.000728644
         128     1.78406     1.77203 0.000729092
         129     1.78459     1.77212 0.000729913
         130     1.78511     1.77222   0.0007311
         131     1.78562     1.77232 0.000732642
         132     1.78614     1.77243 0.000734531
         133     1.78666     1.77254 0.000736756
         134     1.78717     1.77265 0.000739306
         135     1.78768     1.77276 0.000742169
         136     1.78819     1.77287 0.000745334
         137     1.78869     1.77299 0.000748788
         138      1.7892      1.7731 0.000752518
         139      1.7897     1.77322 0.000756512
         140     1.79019     1.77334 0.000760756
         141     1.79069     1.77347 0.000765238
         142     1.79118     1.77359 0.000769944
         143     1.79166     1.77372 0.000774861
         144     1.79215     1.77385 0.000779977
         145     1.79263     1.77398 0.000785278
         146      1.7931     1.77411 0.000790752
         147     1.79358     1.77424 0.000796387
         148     1.79405     1.77437 0.000802172
         149     1.79451     1.77451 0.000808093
         150     1.79497     1.77464 0.000814141
         151     1.79543     1.77478 0.000820303
         152     1.79588     1.77492  0.00082657
         153     1.79633     1.77506 0.000832931
         154     1.79678      1.7752 0.000839376
         155     1.79722     1.77534 0.000845896
         156     1.79766     1.77549 0.000852481
         157     1.79809     1.77563 0.000859124
         158     1.79852     1.77578 0.000865815
         159     1.79895     1.77592 0.000872547
         160     1.79937     1.77607 0.000879312
         161     1.79978     1.77622 0.000886103
         162      1.8002     1.77636 0.000892914
         163     1.80061     1.77651 0.000899737
         164     1.80101     1.77666 0.000906567
         165     1.80141     1.77681 0.000913398
         166     1.80181     1.77696 0.000920224
         167      1.8022     1.77711  0.00092704
         168     1.80259     1.77726 0.000933841
         169     1.80297     1.77742 0.000940622
         170     1.80335     1.77757  0.00094738
         171     1.80373     1.77772  0.00095411
         172      1.8041     1.77788 0.000960808
         173     1.80447     1.77803 0.000967471
         174     1.80483     1.77818 0.000974095
         175     1.80519     1.77834 0.000980677
         176     1.80555     1.77849 0.000987214
         177      1.8059     1.77865 0.000993703
         178     1.80624      1.7788  0.00100014
         179     1.80659     1.77896  0.00100653
         180     1.80693     1.77911  0.00101286
         181     1.80726     1.77927  0.00101913
         182     1.80759     1.77942  0.00102534
         183     1.80792     1.77958  0.00103149
         184     1.80824     1.77974  0.00103758
         185     1.80856     1.77989   0.0010436
         186     1.80887     1.78005  0.00104956
         187     1.80918      1.7802  0.00105545
         188     1.80949     1.78036  0.00106126
         189     1.80979     1.78051  0.00106701
         190     1.81008     1.78067  0.00107269
         191     1.81038     1.78083  0.00107829
         192     1.81066     1.78098  0.00108381
         193     1.81095     1.78114  0.00108926
         194     1.81123     1.78129  0.00109463
         195      1.8115     1.78145  0.00109993
         196     1.81177      1.7816  0.00110514
         197     1.81203     1.78176  0.00111028
         198     1.81229     1.78191  0.00111533
         199     1.81255     1.78206  0.00112031
         200      1.8128     1.78222  0.00112519
         201     1.81304     1.78237     0.00113
         202     1.81328     1.78252  0.00113472
         203     1.81352     1.78268  0.00113936
         204     1.81375     1.78283  0.00114391
         205     1.81397     1.78298  0.00114837
         206     1.81419     1.78313  0.00115274
         207      1.8144     1.78328  0.00115703
         208     1.81461     1.78343  0.00116123
         209     1.81481     1.78358  0.00116533
         210       1.815     1.78373  0.00116934
         211     1.81519     1.78388  0.00117327
         212     1.81537     1.78403   0.0011771
         213     1.81554     1.78418  0.00118083
         214     1.81571     1.78433  0.00118447
