#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 -0.00335096 -0.00335096           0
           2 -0.00335096 -0.00335096           0
           3 -0.00335096 -0.00335096 2.37632e-11
           4 -0.00335096 -0.00335096           0
           5 -0.00335096 -0.00335096           0
           6 -0.00335096 -0.00335096 1.68031e-11
           7 -0.00335096 -0.00335096 1.55567e-11
           8 -0.00335096 -0.00335096 1.45519e-11
           9 -0.00335096 -0.00335096 1.37197e-11
          10 -0.00335096 -0.00335096 1.30156e-11
          11 -0.00335096 -0.00335096 1.24099e-11
          12 -0.00335096 -0.00335096 2.05795e-11
          13 -0.00335096 -0.00335096 1.61439e-11
          14 -0.00335096 -0.00335096 1.55567e-11
          15 -0.00335096 -0.00335096 1.50292e-11
          16 -0.00335096 -0.00335096 1.45519e-11
          17 -0.00335096 -0.00335096 1.41174e-11
          18 -0.00335096 -0.00335096 9.70128e-12
          19 -0.00335096 -0.00335096 9.44253e-12
          20 -0.00335096 -0.00335096           0
          21 -0.00335096 -0.00335096           0
          22 -0.00335096 -0.00335096 1.24099e-11
          23 -0.00335096 -0.00335096 1.21371e-11
          24 -0.00335096 -0.00335096 1.68031e-11
          25 -0.00335096 -0.00335096 1.64636e-11
          26 -0.00335096 -0.00335096 1.61439e-11
          27 -0.00335096 -0.00335096 1.94026e-11
          28 -0.00335096 -0.00335096 2.05795e-11
          29 -0.00335096 -0.00335096 2.02216e-11
          30 -0.00335096 -0.00335096 2.12544e-11
          31 -0.00335096 -0.00335096 2.09088e-11
          32 -0.00335096 -0.00335096 2.05795e-11
          33 -0.00335096 -0.00335096 2.02653e-11
          34 -0.00335096 -0.00335096 1.99651e-11
          35 -0.00335096 -0.00335096 2.20004e-11
          36 -0.00335096 -0.00335096 2.16927e-11
          37 -0.00335096 -0.00335096 2.13976e-11
          38 -0.00335096 -0.00335096 1.88851e-11
          39 -0.00335096 -0.00335096 1.97722e-11
          40 -0.00335096 -0.00335096  2.1584e-11
          41 -0.00335096 -0.00335096 2.13191e-11
          42 -0.00335096 -0.00335096 2.10638e-11
          43 -0.00335096 -0.00335096 2.08174e-11
          44 -0.00335096 -0.00335096 1.96218e-11
          45 -0.00335096 -0.00335096 1.84069e-11
          46 -0.00335096 -0.00335096 1.82057e-11
          47 -0.00335096 -0.00335096 1.89852e-11
          48 -0.00335096 -0.00335096 1.87864e-11
          49 -0.00335096 -0.00335096 1.76396e-11
          50 -0.00335096 -0.00335096 1.74623e-11
          51 -0.00335096 -0.00335096 1.63014e-11
          52 -0.00335096 -0.00335096 1.61439e-11
          53 -0.00335096 -0.00335096 1.49581e-11
          54 -0.00335096 -0.00335096 1.48189e-11
          55 -0.00335096 -0.00335096 1.35944e-11
          56 -0.00335096 -0.00335096 1.34725e-11
          57 -0.00335096 -0.00335096 1.33538e-11
          58 -0.00335096 -0.00335096 1.32381e-11
          59 -0.00335096 -0.00335096 1.31255e-11
          60 -0.00335096 -0.00335096 1.18816e-11
          61 -0.00335096 -0.00335096 1.17838e-11
          62 -0.00335096 -0.00335096 1.16884e-11
          63 -0.00335096 -0.00335096 1.03711e-11
          64 -0.00335096 -0.00335096 1.02898e-11
          65 -0.00335096 -0.00335096 1.02103e-11
          66 -0.00335096 -0.00335096 8.77514e-12
          67 -0.00335096 -0.00335096  8.7094e-12
          68 -0.00335096 -0.00335096 8.64513e-12
          69 -0.00335096 -0.00335096 8.58225e-12
          70 -0.00335096 -0.00335096 6.95715e-12
          71 -0.00335096 -0.00335096 6.90798e-12
          72 -0.00335096 -0.00335096 6.85984e-12
          73 -0.00335096 -0.00335096 6.81269e-12
          74 -0.00335096 -0.00335096 8.28724e-12
          75 -0.00335096 -0.00335096 8.23181e-12
          76 -0.00335096 -0.00335096 8.17747e-12
          77 -0.00335096 -0.00335096  8.1242e-12
          78 -0.00335096 -0.00335096 6.59072e-12
          79 -0.00335096 -0.00335096 6.54887e-12
          80 -0.00335096 -0.00335096 6.50781e-12
          81 -0.00335096 -0.00335096 6.46752e-12
          82 -0.00335096 -0.00335096 6.42796e-12
          83 -0.00335096 -0.00335096 4.51779e-12
          84 -0.00335096 -0.00335096 4.49082e-12
          85 -0.00335096 -0.00335096 4.46432e-12
          86 -0.00335096 -0.00335096 4.43829e-12
          87 -0.00335096 -0.00335096 4.41271e-12
          88 -0.00335096 -0.00335096 4.38757e-12
          89 -0.00335096 -0.00335096           0
          90 -0.00335096 -0.00335096           0
          91 -0.00335096 -0.00335096           0
          92 -0.00335096 -0.00335096           0
          93 -0.00335096 -0.00335096           0
          94 -0.00335096 -0.00335096           0
          95 -0.00335096 -0.00335096 4.22283e-12
          96 -0.00335096 -0.00335096 4.20078e-12
          97 -0.00335096 -0.00335096 4.17907e-12
          98 -0.00335096 -0.00335096 4.15769e-12
          99 -0.00335096 -0.00335096 4.13664e-12
         100 -0.00335096 -0.00335096  4.1159e-12
         101 -0.00335096 -0.00335096 4.09548e-12
         102 -0.00335096 -0.00335096 4.07535e-12
         103 -0.00335096 -0.00335096           0
         104 -0.00335096 -0.00335096           0
         105 -0.00335096 -0.00335096           0
         106 -0.00335096 -0.00335096           0
         107 -0.00335096 -0.00335096           0
         108 -0.00335096 -0.00335096           0
         109 -0.00335096 -0.00335096           0
         110 -0.00335096 -0.00335096           0
         111 -0.00335096 -0.00335096           0
         112 -0.00335096 -0.00335096 3.88916e-12
         113 -0.00335096 -0.00335096 3.87192e-12
         114 -0.00335096 -0.00335096  3.8549e-12
         115 -0.00335096 -0.00335096  3.8381e-12
         116 -0.00335096 -0.00335096 3.82152e-12
         117 -0.00335096 -0.00335096 3.80515e-12
         118 -0.00335096 -0.00335096   3.789e-12
         119 -0.00335096 -0.00335096 3.77304e-12
         120 -0.00335096 -0.00335096 3.75729e-12
         121 -0.00335096 -0.00335096 3.74173e-12
         122 -0.00335096 -0.00335096 5.26987e-12
         123 -0.00335096 -0.00335096 5.24841e-12
         124 -0.00335096 -0.00335096  5.2272e-12
         125 -0.00335096 -0.00335096 5.20625e-12
         126 -0.00335096 -0.00335096 5.18555e-12
         127 -0.00335096 -0.00335096 5.16509e-12
         128 -0.00335096 -0.00335096 5.14488e-12
         129 -0.00335096 -0.00335096  5.1249e-12
         130 -0.00335096 -0.00335096 5.10515e-12
         131 -0.00335096 -0.00335096 5.08563e-12
         132 -0.00335096 -0.00335096 5.06633e-12
         133 -0.00335096 -0.00335096 5.04724e-12
         134 -0.00335096 -0.00335096 5.02838e-12
         135 -0.00335096 -0.00335096 6.13563e-12
         136 -0.00335096 -0.00335096 6.11303e-12
