#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.19407     1.19407           0
           2     1.19366     1.19386  0.00014394
           3     1.19325     1.19366  0.00019223
           4     1.19284     1.19346 0.000228291
           5     1.19243     1.19325  0.00025862
           6     1.19202     1.19305  0.00028543
           7     1.19161     1.19284 0.000309773
           8      1.1912     1.19264 0.000332246
           9     1.19079     1.19243 0.000353225
          10     1.19037     1.19222 0.000372966
          11     1.18996     1.19202 0.000391652
          12     1.18955     1.19181 0.000409419
          13     1.18914     1.19161  0.00042637
          14     1.18873      1.1914 0.000442589
          15     1.18833      1.1912 0.000458139
          16     1.18792     1.19099 0.000473075
          17     1.18752     1.19079  0.00048744
          18     1.18711     1.19058  0.00050127
          19     1.18672     1.19038 0.000514596
          20     1.18632     1.19018 0.000527444
          21     1.18592     1.18998 0.000539837
          22     1.18553     1.18977 0.000551792
          23     1.18514     1.18957 0.000563327
          24     1.18476     1.18937 0.000574455
          25     1.18438     1.18917  0.00058519
          26       1.184     1.18897 0.000595541
          27     1.18363     1.18877 0.000605518
          28     1.18326     1.18858  0.00061513
          29     1.18289     1.18838 0.000624383
          30     1.18253     1.18819 0.000633283
          31     1.18218     1.18799 0.000641838
          32     1.18183      1.1878  0.00065005
          33     1.18148     1.18761 0.000657924
          34     1.18115     1.18742 0.000665465
          35     1.18081     1.18723 0.000672675
          36     1.18049     1.18704 0.000679558
          37     1.18017     1.18686 0.000686115
          38     1.17986     1.18667 0.000692349
          39     1.17955     1.18649 0.000698262
          40     1.17925     1.18631 0.000703855
          41     1.17896     1.18613  0.00070913
          42     1.17868     1.18595 0.000714088
          43      1.1784     1.18578 0.000718731
          44     1.17814      1.1856 0.000723059
          45     1.17788     1.18543 0.000727074
          46     1.17763     1.18526 0.000730777
          47     1.17739     1.18509 0.000734168
          48     1.17716     1.18493 0.000737248
          49     1.17694     1.18477  0.00074002
          50     1.17673     1.18461 0.000742483
          51     1.17652     1.18445 0.000744638
          52     1.17633     1.18429 0.000746489
          53     1.17615     1.18414 0.000748035
          54     1.17598     1.18399 0.000749278
          55     1.17582     1.18384 0.000750221
          56     1.17567     1.18369 0.000750865
          57     1.17553     1.18355 0.000751212
          58     1.17541     1.18341 0.000751266
