#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.36103    -5.36103           0
           2    -5.36034    -5.36068 0.000244682
           3    -5.35986    -5.36041 0.000277908
           4    -5.35959     -5.3602  0.00027352
           5    -5.35939    -5.36004 0.000262945
           6    -5.35941    -5.35993 0.000239458
           7    -5.35919    -5.35983 0.000227637
           8    -5.35905    -5.35973 0.000219178
           9    -5.35913    -5.35966 0.000204858
          10    -5.35898     -5.3596 0.000195488
          11    -5.35906    -5.35955 0.000183717
          12    -5.35921    -5.35952 0.000170487
          13    -5.35975    -5.35954 0.000158291
          14    -5.36006    -5.35957 0.000151348
          15    -5.36045    -5.35963 0.000152124
          16    -5.36077     -5.3597 0.000158313
          17    -5.36116    -5.35979 0.000170741
          18    -5.36194    -5.35991 0.000198749
          19    -5.36249    -5.36004 0.000230187
          20    -5.36327    -5.36021 0.000269424
          21    -5.36428     -5.3604 0.000318963
          22    -5.36522    -5.36062  0.00037209
          23    -5.36638    -5.36087 0.000431959
          24    -5.36761    -5.36115 0.000496886
          25    -5.36936    -5.36148 0.000575469
          26    -5.37074    -5.36183 0.000654306
          27    -5.37188    -5.36221 0.000728146
          28    -5.37323     -5.3626 0.000801588
          29    -5.37465    -5.36302  0.00087508
          30    -5.37644    -5.36346 0.000953419
          31    -5.37783    -5.36393  0.00102909
          32    -5.37957    -5.36442  0.00110702
          33    -5.38123    -5.36493  0.00118488
          34    -5.38308    -5.36546  0.00126465
          35    -5.38468    -5.36601   0.0013425
          36    -5.38633    -5.36657  0.00141895
          37    -5.38818    -5.36716  0.00149591
          38    -5.39036    -5.36777  0.00157628
          39    -5.39229     -5.3684  0.00165651
          40    -5.39425    -5.36904  0.00173661
          41    -5.39624    -5.36971  0.00181655
          42    -5.39812    -5.37038  0.00189506
          43    -5.40032    -5.37108  0.00197475
          44     -5.4027     -5.3718  0.00205651
          45    -5.40481    -5.37253  0.00213763
          46    -5.40678    -5.37328  0.00221703
          47    -5.40892    -5.37403  0.00229592
          48    -5.41093     -5.3748  0.00237328
          49    -5.41326    -5.37559  0.00245116
          50    -5.41544    -5.37638  0.00252843
          51    -5.41779     -5.3772  0.00260594
          52       -5.42    -5.37802  0.00268267
          53    -5.42206    -5.37885  0.00275776
          54    -5.42443    -5.37969  0.00283293
          55    -5.42681    -5.38055  0.00290804
          56    -5.42918    -5.38142  0.00298296
          57    -5.43156     -5.3823  0.00305758
          58    -5.43333    -5.38318  0.00312891
          59     -5.4351    -5.38406  0.00319726
          60    -5.43717    -5.38494  0.00326422
          61    -5.43939    -5.38584   0.0033305
          62     -5.4416    -5.38674  0.00339607
          63    -5.44396    -5.38764   0.0034615
          64    -5.44571    -5.38855  0.00352429
          65    -5.44774    -5.38946  0.00358579
          66    -5.44993    -5.39038  0.00364661
          67    -5.45225     -5.3913  0.00370726
          68    -5.45471    -5.39223  0.00376821
          69    -5.45672    -5.39317  0.00382772
          70    -5.45901    -5.39411  0.00388688
          71    -5.46114    -5.39505  0.00394511
          72    -5.46295      -5.396  0.00400143
          73     -5.4649    -5.39694  0.00405641
          74    -5.46714    -5.39789  0.00411103
          75    -5.46922    -5.39884  0.00416477
          76    -5.47128    -5.39979  0.00421762
          77    -5.47333    -5.40075  0.00426959
          78    -5.47506     -5.4017  0.00431983
          79    -5.47707    -5.40266  0.00436923
          80    -5.47892    -5.40361   0.0044174
          81    -5.48076    -5.40456  0.00446436
          82    -5.48272    -5.40551  0.00451053
          83    -5.48468    -5.40647  0.00455591
          84    -5.48661    -5.40742  0.00460049
          85    -5.48838    -5.40837   0.0046439
          86    -5.49043    -5.40933  0.00468688
          87      -5.492    -5.41028  0.00472837
          88    -5.49402    -5.41123  0.00476943
          89    -5.49586    -5.41218   0.0048097
          90    -5.49799    -5.41313  0.00484983
          91    -5.49964    -5.41409  0.00488881
          92    -5.50188    -5.41504  0.00492793
          93    -5.50379    -5.41599  0.00496649
          94    -5.50539    -5.41694  0.00500388
          95    -5.50681    -5.41789  0.00503983
          96    -5.50881    -5.41884  0.00507554
          97    -5.51065    -5.41978  0.00511071
          98    -5.51231    -5.42073  0.00514502
          99    -5.51379    -5.42167  0.00517821
         100    -5.51556    -5.42261  0.00521085
         101      -5.517    -5.42354   0.0052424
         102    -5.51872    -5.42448  0.00527339
         103    -5.51996     -5.4254  0.00530305
         104    -5.52133    -5.42632  0.00533167
         105    -5.52313    -5.42725  0.00536001
         106    -5.52505    -5.42817  0.00538827
         107    -5.52635    -5.42909  0.00541547
         108    -5.52746       -5.43   0.0054414
         109    -5.52886     -5.4309  0.00546654
         110    -5.53037    -5.43181  0.00549112
         111    -5.53201    -5.43271  0.00551536
         112    -5.53347    -5.43361    0.005539
         113     -5.5346     -5.4345  0.00556162
         114    -5.53541    -5.43539  0.00558282
         115    -5.53678    -5.43627  0.00560346
         116    -5.53783    -5.43715  0.00562313
         117    -5.53929    -5.43802  0.00564244
         118    -5.54043    -5.43889  0.00566097
         119    -5.54153    -5.43975  0.00567873
         120     -5.5426    -5.44061  0.00569571
         121    -5.54364    -5.44146  0.00571193
         122    -5.54419     -5.4423  0.00572684
         123    -5.54516    -5.44314  0.00574101
         124    -5.54594    -5.44397  0.00575426
         125    -5.54685    -5.44479  0.00576679
         126    -5.54741     -5.4456  0.00577825
         127    -5.54825    -5.44641    0.005789
         128     -5.5492    -5.44722  0.00579919
         129    -5.54981    -5.44801  0.00580851
         130    -5.55038     -5.4488  0.00581696
         131    -5.55137    -5.44958  0.00582502
         132    -5.55172    -5.45035  0.00583205
         133    -5.55203    -5.45112  0.00583809
         134     -5.5526    -5.45188  0.00584343
         135    -5.55313    -5.45263  0.00584808
         136    -5.55362    -5.45337  0.00585204
         137    -5.55408     -5.4541  0.00585531
         138    -5.55449    -5.45483   0.0058579
         139    -5.55456    -5.45555  0.00585953
         140    -5.55474    -5.45626  0.00586035
         141    -5.55488    -5.45696  0.00586039
         142    -5.55498    -5.45765  0.00585963
         143    -5.55503    -5.45833  0.00585809
         144     -5.5549      -5.459  0.00585567
         145    -5.55502    -5.45966  0.00585261
         146    -5.55509    -5.46031  0.00584891
         147    -5.55513    -5.46096  0.00584458
         148    -5.55542     -5.4616  0.00583983
         149    -5.55537    -5.46223  0.00583445
         150    -5.55512    -5.46285  0.00582833
         151    -5.55498    -5.46346  0.00582159
         152     -5.5548    -5.46406  0.00581422
         153    -5.55458    -5.46465  0.00580624
         154     -5.5543    -5.46523  0.00579765
         155    -5.55384     -5.4658  0.00578836
         156    -5.55333    -5.46636  0.00577839
         157    -5.55309    -5.46692  0.00576793
         158     -5.5528    -5.46746  0.00575698
         159    -5.55247      -5.468  0.00574554
         160    -5.55209    -5.46852  0.00573362
         161    -5.55138    -5.46904  0.00572106
         162    -5.55077    -5.46954  0.00570795
         163    -5.54982    -5.47003  0.00569414
         164    -5.54899    -5.47051  0.00567974
         165    -5.54811    -5.47098  0.00566475
         166    -5.54705    -5.47144  0.00564913
         167    -5.54625    -5.47189  0.00563303
         168    -5.54541    -5.47233  0.00561648
         169    -5.54515    -5.47276  0.00559975
         170     -5.5441    -5.47318  0.00558251
         171    -5.54316    -5.47359  0.00556485
         172     -5.5428    -5.47399  0.00554702
