#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.47302    -7.47302           0
           2    -7.47469    -7.47386 0.000592223
           3    -7.47701    -7.47491  0.00094594
           4    -7.47869    -7.47585  0.00108255
           5    -7.48035    -7.47675  0.00118247
           6    -7.48202    -7.47763  0.00127009
           7    -7.48433    -7.47859  0.00140373
           8    -7.48632    -7.47955  0.00152479
           9     -7.4883    -7.48053  0.00163569
          10    -7.48995    -7.48147   0.0017222
          11    -7.49095    -7.48233   0.0017681
          12    -7.49226    -7.48316  0.00180421
          13    -7.49422    -7.48401  0.00185545
          14    -7.49521    -7.48481  0.00188747
          15    -7.49683    -7.48561  0.00192426
          16    -7.49812    -7.48639  0.00195639
          17    -7.49972    -7.48718  0.00199232
          18    -7.50132    -7.48796  0.00203069
          19    -7.50291    -7.48875  0.00207053
          20    -7.50481    -7.48955  0.00211694
          21    -7.50637    -7.49035  0.00216231
          22    -7.50792    -7.49115  0.00220653
          23    -7.50913    -7.49193   0.0022448
          24    -7.51065    -7.49271  0.00228274
          25    -7.51248     -7.4935  0.00232434
          26    -7.51397    -7.49429  0.00236447
          27    -7.51544    -7.49507  0.00240314
          28    -7.51689    -7.49585  0.00244037
          29    -7.51865    -7.49664  0.00247957
          30    -7.52006    -7.49742  0.00251681
          31    -7.52145    -7.49819  0.00255219
          32    -7.52281    -7.49896  0.00258578
          33    -7.52448    -7.49974  0.00262046
          34    -7.52579     -7.5005  0.00265308
          35    -7.52805    -7.50129   0.0026915
          36    -7.52964    -7.50208  0.00272951
          37     -7.5312    -7.50286  0.00276688
          38     -7.5324    -7.50364  0.00280114
          39    -7.53423    -7.50443  0.00283699
          40    -7.53538     -7.5052  0.00286964
          41    -7.53681    -7.50597   0.0029014
          42    -7.53725    -7.50672  0.00292633
          43    -7.53732    -7.50743  0.00294357
          44    -7.53737    -7.50811  0.00295427
          45    -7.53802    -7.50877  0.00296246
          46    -7.53896    -7.50943  0.00296987
          47    -7.53987    -7.51008  0.00297646
          48    -7.54074    -7.51072   0.0029822
          49    -7.54221    -7.51136  0.00298982
          50    -7.54365      -7.512  0.00299898
          51    -7.54441    -7.51264  0.00300673
          52    -7.54545    -7.51327  0.00301437
          53    -7.54677     -7.5139  0.00302304
          54    -7.54676    -7.51451  0.00302769
          55    -7.54801    -7.51512   0.0030333
          56     -7.5489    -7.51572  0.00303853
          57    -7.54975    -7.51632  0.00304331
          58    -7.55057    -7.51691  0.00304758
          59    -7.55037    -7.51748  0.00304824
          60    -7.55047    -7.51803  0.00304662
          61    -7.55053    -7.51856  0.00304292
          62    -7.55088    -7.51908  0.00303816
          63    -7.55152     -7.5196  0.00303327
          64    -7.55181     -7.5201  0.00302735
          65    -7.55142    -7.52058  0.00301887
          66    -7.55164    -7.52105  0.00300958
          67    -7.55183    -7.52151  0.00299952
          68     -7.5533    -7.52198  0.00299161
          69    -7.55344    -7.52244   0.0029828
          70    -7.55356    -7.52288  0.00297314
          71    -7.55398    -7.52332  0.00296335
          72    -7.55405    -7.52374  0.00295277
          73    -7.55475    -7.52417  0.00294271
          74    -7.55478    -7.52458  0.00293187
          75     -7.5548    -7.52499  0.00292033
          76    -7.55544    -7.52539  0.00290927
          77    -7.55575    -7.52578   0.0028981
          78    -7.55605    -7.52617   0.0028868
          79    -7.55633    -7.52655   0.0028754
          80    -7.55628    -7.52692  0.00286338
          81    -7.55558    -7.52728   0.0028498
          82    -7.55584    -7.52762  0.00283625
          83    -7.55512    -7.52796  0.00282135
          84    -7.55439    -7.52827  0.00280526
          85    -7.55399    -7.52857  0.00278852
          86    -7.55423    -7.52887  0.00277201
          87    -7.55479    -7.52917  0.00275612
          88    -7.55439    -7.52946  0.00273965
          89    -7.55398    -7.52973  0.00272269
          90     -7.5539       -7.53  0.00270565
          91    -7.55382    -7.53026  0.00268855
          92    -7.55407    -7.53052  0.00267175
          93    -7.55401    -7.53077  0.00265493
          94    -7.55394    -7.53102   0.0026381
          95    -7.55324    -7.53125  0.00262068
          96    -7.55384    -7.53149  0.00260392
          97     -7.5538    -7.53172  0.00258722
          98    -7.55344    -7.53194  0.00257029
          99    -7.55342    -7.53216  0.00255347
         100     -7.5534    -7.53237  0.00253676
         101    -7.55339    -7.53258  0.00252016
         102    -7.55306    -7.53278  0.00250344
         103    -7.55307    -7.53298  0.00248688
         104    -7.55309    -7.53317  0.00247047
         105    -7.55311    -7.53336  0.00245424
         106     -7.5525    -7.53354  0.00243772
         107    -7.55125    -7.53371  0.00242055
         108    -7.55098    -7.53387  0.00240341
         109    -7.55137    -7.53403  0.00238672
         110    -7.55144    -7.53418  0.00237027
         111    -7.55217    -7.53435  0.00235445
         112    -7.55259    -7.53451  0.00233906
         113    -7.55301    -7.53467  0.00232408
         114    -7.55344    -7.53484  0.00230952
         115    -7.55291    -7.53499  0.00229478
         116    -7.55272    -7.53515  0.00228008
         117    -7.55253     -7.5353  0.00226542
         118    -7.55267    -7.53544  0.00225101
         119     -7.5525    -7.53559  0.00223665
         120    -7.55234    -7.53573  0.00222236
         121     -7.5525    -7.53586  0.00220831
         122    -7.55299    -7.53601  0.00219467
         123    -7.55317    -7.53614  0.00218126
         124    -7.55335    -7.53628  0.00216808
         125    -7.55385    -7.53642  0.00215528
         126    -7.55404    -7.53656  0.00214271
         127    -7.55423     -7.5367  0.00213034
         128    -7.55442    -7.53684  0.00211819
         129    -7.55462    -7.53698  0.00210625
         130    -7.55417    -7.53711   0.0020942
         131    -7.55469    -7.53725  0.00208251
         132    -7.55489    -7.53738  0.00207102
         133     -7.5551    -7.53751  0.00205973
         134    -7.55562    -7.53765  0.00204878
         135    -7.55647    -7.53779  0.00203835
         136      -7.557    -7.53793  0.00202825
         137    -7.55721    -7.53807  0.00201832
         138    -7.55741    -7.53821  0.00200856
         139     -7.5576    -7.53835  0.00199895
         140     -7.5578    -7.53849  0.00198949
         141    -7.55798    -7.53863  0.00198018
         142    -7.55881    -7.53877  0.00197133
         143    -7.55899    -7.53891  0.00196261
         144    -7.55948    -7.53905  0.00195417
         145    -7.55996     -7.5392    0.001946
         146    -7.55946    -7.53934  0.00193761
         147    -7.55992    -7.53948  0.00192948
         148    -7.56036    -7.53962   0.0019216
         149     -7.5595    -7.53975  0.00191333
         150    -7.55928    -7.53988    0.001905
         151    -7.55903    -7.54001   0.0018966
         152    -7.55942    -7.54013  0.00188842
         153    -7.55882    -7.54026  0.00188002
         154    -7.55884    -7.54038  0.00187168
         155    -7.55917     -7.5405  0.00186353
         156    -7.55947    -7.54062  0.00185555
         157    -7.55942    -7.54074  0.00184759
         158       -7.56    -7.54086  0.00183991
         159    -7.56022    -7.54098  0.00183237
         160    -7.55977     -7.5411  0.00182467
         161    -7.55928    -7.54121  0.00181683
         162    -7.55908    -7.54132  0.00180896
         163    -7.55982    -7.54144  0.00180142
         164    -7.55956    -7.54155  0.00179382
