# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.064633           0           0
0.129266           0           0
0.193899           0           0
0.258532           0           0
0.323165           0           0
0.387798           0           0
0.452431           0           0
0.517064           0           0
0.581697           0           0
0.64633           0           0
0.710963           0           0
0.775596           0           0
0.84023  0.00074536 0.000292176
0.904863    0.156417  0.00541827
0.969496     1.06709   0.0197566
1.03413     2.00959   0.0316069
1.09876     2.21172     0.04077
1.16339     2.05686   0.0340577
1.22803        1.83   0.0278205
1.29266     1.60607   0.0262939
1.35729     1.46269   0.0225538
1.42193     1.33418    0.019568
1.48656     1.24693   0.0184549
1.55119     1.19199    0.019789
1.61583     1.14981   0.0169676
1.68046     1.10994   0.0167549
1.74509     1.10509   0.0162984
1.80973     1.07773   0.0154759
1.87436     1.08328   0.0137645
1.93899     1.07307   0.0131482
2.00362     1.07379   0.0135759
2.06826     1.07217    0.013723
2.13289     1.06168   0.0119163
2.19752     1.05742   0.0113729
2.26216     1.04679   0.0116235
2.32679      1.0521   0.0112226
2.39142     1.03503   0.0113051
2.45606     1.02166  0.00961233
2.52069     1.01912   0.0100933
2.58532     1.01777   0.0111015
2.64995      1.0119   0.0101172
2.71459     1.01899  0.00933723
2.77922     1.01638  0.00898649
2.84385     1.01971   0.0092028
2.90849     1.00846  0.00870314
2.97312     1.00695  0.00818326
3.03775    0.999482  0.00746441
3.10239    0.995876  0.00761472
3.16702     1.00296  0.00790945
3.23165     1.00987  0.00740486
3.29629     1.00837  0.00764287
3.36092     1.00909  0.00683628
3.42555     1.00776  0.00692212
3.49018     1.01688  0.00622513
3.55482      1.0119  0.00577279
3.61945     1.01128    0.006626
3.68408     1.00595  0.00672602
3.74872     1.00844  0.00622531
3.81335     1.00409  0.00645013
3.87798      0.9953  0.00596224
3.94262    0.997755  0.00577447
4.00725    0.995388   0.0052938
4.07188    0.989667  0.00511355
4.13651    0.999513  0.00563061
4.20115     1.00001  0.00540721
4.26578     1.00094  0.00572266
4.33041    0.996471  0.00561972
4.39505    0.992013    0.005026
4.45968    0.991836  0.00509845
4.52431    0.992281  0.00481741
4.58895    0.986372  0.00493095
4.65358    0.990558  0.00476468
4.71821     0.99387  0.00486839
4.78285     1.00059  0.00493133
4.84748     0.99908  0.00464931
4.91211    0.998984  0.00457296
4.97674    0.995192  0.00524345
5.04138    0.990916  0.00489046
5.10601    0.989037  0.00464094
5.17064    0.982224  0.00482369
5.23528    0.983815  0.00449115
5.29991     0.98529  0.00379073
5.36454    0.990575  0.00434965
5.42918     0.98881  0.00377322
5.49381     0.98855  0.00455764
5.55844    0.987323  0.00476455
5.62307    0.985849  0.00430986
5.68771    0.984268  0.00425651
5.75234    0.986794   0.0042964
5.81697    0.987457  0.00433841
5.88161    0.989721  0.00400901
5.94624    0.985554  0.00362803
6.01087    0.984975  0.00396507
6.07551    0.987576  0.00364259
6.14014    0.983892  0.00361716
6.20477    0.985362  0.00324751
6.2694    0.982328  0.00375436
6.33404    0.987223  0.00361834
6.39867    0.982342  0.00375159
