#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0351882  -0.0351882           0
           2  -0.0351883  -0.0351882 2.35585e-08
           3  -0.0351884  -0.0351883 4.23026e-08
           4  -0.0351885  -0.0351883 6.30365e-08
           5  -0.0351887  -0.0351884 8.58528e-08
           6   -0.035189  -0.0351885 1.10649e-07
           7  -0.0351893  -0.0351886 1.37307e-07
           8  -0.0351896  -0.0351887 1.65716e-07
           9    -0.03519  -0.0351889 1.95783e-07
          10  -0.0351904   -0.035189 2.27424e-07
          11  -0.0351909  -0.0351892 2.60566e-07
          12  -0.0351914  -0.0351894 2.95145e-07
          13  -0.0351919  -0.0351896 3.31105e-07
          14  -0.0351925  -0.0351898 3.68395e-07
          15  -0.0351932    -0.03519  4.0697e-07
          16  -0.0351938  -0.0351902 4.46786e-07
          17  -0.0351946  -0.0351905 4.87808e-07
          18  -0.0351953  -0.0351908 5.30001e-07
          19  -0.0351962  -0.0351911 5.73332e-07
          20   -0.035197  -0.0351913 6.17772e-07
          21  -0.0351979  -0.0351917 6.63294e-07
          22  -0.0351989   -0.035192 7.09872e-07
          23  -0.0351999  -0.0351923 7.57483e-07
          24  -0.0352009  -0.0351927 8.06105e-07
          25   -0.035202  -0.0351931 8.55716e-07
          26  -0.0352031  -0.0351935 9.06297e-07
          27  -0.0352043  -0.0351939 9.57831e-07
          28  -0.0352055  -0.0351943  1.0103e-06
          29  -0.0352068  -0.0351947 1.06368e-06
          30  -0.0352081  -0.0351952 1.11797e-06
          31  -0.0352094  -0.0351956 1.17314e-06
          32  -0.0352108  -0.0351961 1.22919e-06
          33  -0.0352123  -0.0351966 1.28609e-06
          34  -0.0352138  -0.0351971 1.34384e-06
          35  -0.0352153  -0.0351976 1.40243e-06
          36  -0.0352169  -0.0351981 1.46184e-06
          37  -0.0352185  -0.0351987 1.52205e-06
          38  -0.0352201  -0.0351993 1.58307e-06
          39  -0.0352218  -0.0351998 1.64488e-06
          40  -0.0352236  -0.0352004 1.70746e-06
          41  -0.0352254   -0.035201 1.77082e-06
          42  -0.0352272  -0.0352017 1.83493e-06
          43  -0.0352291  -0.0352023  1.8998e-06
          44   -0.035231  -0.0352029 1.96541e-06
          45   -0.035233  -0.0352036 2.03175e-06
          46   -0.035235  -0.0352043 2.09882e-06
          47   -0.035237   -0.035205 2.16661e-06
          48  -0.0352391  -0.0352057  2.2351e-06
          49  -0.0352413  -0.0352064 2.30431e-06
          50  -0.0352434  -0.0352072  2.3742e-06
          51  -0.0352457  -0.0352079 2.44479e-06
          52   -0.035248  -0.0352087 2.51606e-06
          53  -0.0352503  -0.0352095 2.58801e-06
          54  -0.0352526  -0.0352103 2.66062e-06
          55   -0.035255  -0.0352111 2.73391e-06
          56  -0.0352575  -0.0352119 2.80784e-06
          57    -0.03526  -0.0352128 2.88244e-06
          58  -0.0352625  -0.0352136 2.95767e-06
          59  -0.0352651  -0.0352145 3.03355e-06
          60  -0.0352677  -0.0352154 3.11007e-06
          61  -0.0352704  -0.0352163 3.18722e-06
          62  -0.0352731  -0.0352172 3.26499e-06
          63  -0.0352759  -0.0352181 3.34338e-06
          64  -0.0352787  -0.0352191 3.42239e-06
          65  -0.0352815    -0.03522 3.50201e-06
          66  -0.0352844   -0.035221 3.58224e-06
          67  -0.0352874   -0.035222 3.66307e-06
          68  -0.0352903   -0.035223  3.7445e-06
          69  -0.0352934   -0.035224 3.82653e-06
          70  -0.0352964  -0.0352251 3.90914e-06
          71  -0.0352995  -0.0352261 3.99234e-06
          72  -0.0353027  -0.0352272 4.07612e-06
          73  -0.0353059  -0.0352283 4.16048e-06
          74  -0.0353091  -0.0352293 4.24542e-06
          75  -0.0353124  -0.0352305 4.33093e-06
          76  -0.0353158  -0.0352316   4.417e-06
          77  -0.0353191  -0.0352327 4.50364e-06
          78  -0.0353226  -0.0352339 4.59083e-06
          79   -0.035326   -0.035235 4.67859e-06
          80  -0.0353295  -0.0352362  4.7669e-06
          81  -0.0353331  -0.0352374 4.85575e-06
          82  -0.0353367  -0.0352386 4.94516e-06
          83  -0.0353403  -0.0352398 5.03511e-06
          84   -0.035344  -0.0352411  5.1256e-06
          85  -0.0353477  -0.0352423 5.21663e-06
          86  -0.0353515  -0.0352436  5.3082e-06
          87  -0.0353553  -0.0352449  5.4003e-06
          88  -0.0353592  -0.0352462 5.49292e-06
          89  -0.0353631  -0.0352475 5.58608e-06
          90  -0.0353671  -0.0352488 5.67976e-06
          91  -0.0353711  -0.0352502 5.77396e-06
          92  -0.0353751  -0.0352515 5.86868e-06
          93  -0.0353792  -0.0352529 5.96392e-06
          94  -0.0353833  -0.0352543 6.05967e-06
          95  -0.0353875  -0.0352557 6.15593e-06
          96  -0.0353917  -0.0352571  6.2527e-06
          97   -0.035396  -0.0352585 6.34998e-06
          98  -0.0354003    -0.03526 6.44776e-06
          99  -0.0354046  -0.0352615 6.54605e-06
         100   -0.035409  -0.0352629 6.64484e-06
         101  -0.0354135  -0.0352644 6.74412e-06
         102  -0.0354179  -0.0352659  6.8439e-06
         103  -0.0354225  -0.0352674 6.94418e-06
         104   -0.035427   -0.035269 7.04494e-06
         105  -0.0354317  -0.0352705  7.1462e-06
         106  -0.0354363  -0.0352721 7.24794e-06
         107   -0.035441  -0.0352737 7.35017e-06
         108  -0.0354458  -0.0352753 7.45289e-06
         109  -0.0354506  -0.0352769 7.55608e-06
         110  -0.0354554  -0.0352785 7.65976e-06
         111  -0.0354603  -0.0352801 7.76392e-06
         112  -0.0354652  -0.0352818 7.86855e-06
         113  -0.0354702  -0.0352835 7.97365e-06
         114  -0.0354752  -0.0352851 8.07923e-06
         115  -0.0354803  -0.0352868 8.18528e-06
         116  -0.0354854  -0.0352885  8.2918e-06
         117  -0.0354906  -0.0352903 8.39879e-06
         118  -0.0354958   -0.035292 8.50625e-06
         119  -0.0355034  -0.0352938 8.61823e-06
         120  -0.0355087  -0.0352956 8.73048e-06
         121   -0.035514  -0.0352974 8.84301e-06
         122  -0.0355218  -0.0352992 8.95978e-06
         123  -0.0355272  -0.0353011 9.07665e-06
         124  -0.0355351   -0.035303 9.19752e-06
         125  -0.0355406  -0.0353049 9.31835e-06
         126  -0.0355462  -0.0353068 9.43916e-06
         127  -0.0355518  -0.0353087 9.55998e-06
         128  -0.0355575  -0.0353107 9.68083e-06
         129  -0.0355632  -0.0353126 9.80172e-06
         130  -0.0355689  -0.0353146 9.92267e-06
         131  -0.0355748  -0.0353166 1.00437e-05
         132  -0.0355806  -0.0353186 1.01648e-05
         133  -0.0355889  -0.0353206 1.02896e-05
         134  -0.0355948  -0.0353226 1.04143e-05
         135  -0.0356008  -0.0353247  1.0539e-05
         136  -0.0356092  -0.0353268 1.06671e-05
         137  -0.0356153  -0.0353289 1.07951e-05
         138  -0.0356214   -0.035331  1.0923e-05
         139  -0.0356276  -0.0353332 1.10509e-05
         140  -0.0356362  -0.0353353 1.11819e-05
         141  -0.0356425  -0.0353375 1.13128e-05
         142  -0.0356488  -0.0353397 1.14436e-05
         143  -0.0356552  -0.0353419 1.15743e-05
         144  -0.0356616  -0.0353441 1.17049e-05
         145   -0.035668  -0.0353464 1.18354e-05
         146  -0.0356745  -0.0353486 1.19659e-05
         147  -0.0356811  -0.0353509 1.20963e-05
         148  -0.0356877  -0.0353531 1.22268e-05
         149  -0.0356943  -0.0353554 1.23573e-05
         150   -0.035701  -0.0353577 1.24878e-05
         151  -0.0357077  -0.0353601 1.26184e-05
         152  -0.0357169  -0.0353624 1.27519e-05
         153  -0.0357237  -0.0353648 1.28854e-05
         154  -0.0357306  -0.0353671 1.30188e-05
         155  -0.0357399  -0.0353695 1.31551e-05
         156  -0.0357492   -0.035372  1.3294e-05
         157  -0.0357586  -0.0353744 1.34355e-05
         158  -0.0357657  -0.0353769 1.35767e-05
         159  -0.0357728  -0.0353794 1.37178e-05
         160    -0.03578  -0.0353819 1.38586e-05
         161  -0.0357872  -0.0353844 1.39993e-05
         162  -0.0357944   -0.035387 1.41398e-05
         163  -0.0358041  -0.0353895 1.42828e-05
         164  -0.0358115  -0.0353921 1.44256e-05
         165  -0.0358236  -0.0353947 1.45733e-05
         166  -0.0358311  -0.0353973 1.47207e-05
         167  -0.0358386     -0.0354 1.48678e-05
         168  -0.0358461  -0.0354026 1.50146e-05
         169  -0.0358537  -0.0354053 1.51612e-05
         170  -0.0358614   -0.035408 1.53075e-05
         171  -0.0358691  -0.0354107 1.54537e-05
         172  -0.0358768  -0.0354134 1.55997e-05
         173  -0.0358846  -0.0354161 1.57455e-05
         174  -0.0358924  -0.0354189 1.58911e-05
         175  -0.0359003  -0.0354216 1.60367e-05
         176  -0.0359106  -0.0354244 1.61845e-05
         177  -0.0359186  -0.0354272 1.63321e-05
         178  -0.0359266    -0.03543 1.64796e-05
         179   -0.035937  -0.0354328 1.66292e-05
         180  -0.0359499  -0.0354357 1.67831e-05
         181  -0.0359604  -0.0354386 1.69389e-05
         182  -0.0359687  -0.0354415 1.70944e-05
         183  -0.0359793  -0.0354444 1.72518e-05
         184  -0.0359876  -0.0354474 1.74088e-05
         185   -0.035996  -0.0354504 1.75655e-05
         186  -0.0360044  -0.0354533 1.77218e-05
         187  -0.0360129  -0.0354563 1.78779e-05
         188  -0.0360262  -0.0354594 1.80379e-05
         189  -0.0360371  -0.0354624 1.81997e-05
         190  -0.0360481  -0.0354655 1.83631e-05
         191  -0.0360591  -0.0354686 1.85281e-05
         192  -0.0360679  -0.0354717 1.86926e-05
         193   -0.036079  -0.0354749 1.88588e-05
         194  -0.0360878   -0.035478 1.90244e-05
         195  -0.0360967  -0.0354812 1.91896e-05
         196  -0.0361056  -0.0354844 1.93543e-05
         197   -0.036117  -0.0354876 1.95206e-05
         198   -0.036126  -0.0354908 1.96865e-05
         199  -0.0361374  -0.0354941 1.98539e-05
         200  -0.0361466  -0.0354973 2.00209e-05
         201  -0.0361557  -0.0355006 2.01875e-05
         202  -0.0361673  -0.0355039 2.03556e-05
         203  -0.0361789  -0.0355072 2.05251e-05
         204  -0.0361883  -0.0355106 2.06942e-05
         205  -0.0361976  -0.0355139 2.08629e-05
         206  -0.0362071  -0.0355173 2.10312e-05
         207  -0.0362189  -0.0355207 2.12009e-05
         208  -0.0362284  -0.0355241 2.13703e-05
         209  -0.0362403  -0.0355275 2.15411e-05
         210    -0.03625  -0.0355309 2.17115e-05
         211   -0.036262  -0.0355344 2.18833e-05
         212  -0.0362717  -0.0355379 2.20547e-05
         213  -0.0362815  -0.0355414 2.22258e-05
         214  -0.0362961  -0.0355449 2.23999e-05
         215  -0.0363083  -0.0355485 2.25754e-05
         216  -0.0363206   -0.035552 2.27522e-05
         217  -0.0363306  -0.0355556 2.29284e-05
         218  -0.0363406  -0.0355592 2.31043e-05
         219  -0.0363507  -0.0355628 2.32797e-05
         220  -0.0363608  -0.0355665 2.34548e-05
         221   -0.036371  -0.0355701 2.36294e-05
         222  -0.0363812  -0.0355738 2.38038e-05
         223  -0.0363962  -0.0355774 2.39811e-05
         224  -0.0364113  -0.0355812 2.41612e-05
         225  -0.0364217  -0.0355849 2.43409e-05
         226  -0.0364345  -0.0355887 2.45218e-05
         227  -0.0364474  -0.0355924 2.47038e-05
         228  -0.0364579  -0.0355962 2.48853e-05
         229  -0.0364732  -0.0356001 2.50696e-05
         230  -0.0364862  -0.0356039  2.5255e-05
         231  -0.0364993  -0.0356078 2.54413e-05
         232  -0.0365219  -0.0356117  2.5635e-05
         233  -0.0365327  -0.0356157 2.58279e-05
         234   -0.036546  -0.0356197 2.60217e-05
         235  -0.0365593  -0.0356237 2.62164e-05
         236  -0.0365726  -0.0356277 2.64119e-05
         237  -0.0365837  -0.0356317 2.66067e-05
         238  -0.0365995  -0.0356358 2.68038e-05
         239  -0.0366154  -0.0356399 2.70032e-05
         240  -0.0366266   -0.035644 2.72018e-05
         241  -0.0366402  -0.0356481 2.74012e-05
         242  -0.0366562  -0.0356523 2.76028e-05
         243  -0.0366676  -0.0356565 2.78037e-05
         244   -0.036679  -0.0356607 2.80038e-05
         245  -0.0366928  -0.0356649 2.82046e-05
         246  -0.0367067  -0.0356691 2.84061e-05
         247  -0.0367207  -0.0356734 2.86083e-05
         248   -0.036737  -0.0356777 2.88127e-05
         249  -0.0367511   -0.035682 2.90177e-05
         250  -0.0367628  -0.0356863 2.92219e-05
         251  -0.0367746  -0.0356906 2.94254e-05
         252  -0.0367864   -0.035695 2.96282e-05
         253  -0.0368007  -0.0356994 2.98316e-05
         254  -0.0368197  -0.0357038 3.00385e-05
         255  -0.0368317  -0.0357082 3.02447e-05
         256  -0.0368438  -0.0357126 3.04501e-05
         257  -0.0368583  -0.0357171 3.06562e-05
         258  -0.0368704  -0.0357215 3.08616e-05
         259  -0.0368826   -0.035726 3.10663e-05
         260  -0.0368996  -0.0357305  3.1273e-05
         261   -0.036912  -0.0357351 3.14791e-05
         262  -0.0369291  -0.0357396 3.16871e-05
         263  -0.0369463  -0.0357442  3.1897e-05
         264  -0.0369611  -0.0357488 3.21076e-05
         265  -0.0369737  -0.0357534 3.23174e-05
         266   -0.036991  -0.0357581  3.2529e-05
         267  -0.0370037  -0.0357628   3.274e-05
         268  -0.0370187  -0.0357675 3.29515e-05
         269  -0.0370315  -0.0357722 3.31624e-05
         270  -0.0370443  -0.0357769 3.33726e-05
         271  -0.0370596  -0.0357816 3.35835e-05
         272  -0.0370749  -0.0357864 3.37949e-05
         273  -0.0370878  -0.0357911 3.40057e-05
         274  -0.0371009  -0.0357959 3.42159e-05
         275  -0.0371235  -0.0358007 3.44304e-05
         276  -0.0371366  -0.0358056 3.46442e-05
         277  -0.0371498  -0.0358104 3.48573e-05
         278  -0.0371702  -0.0358153 3.50734e-05
         279  -0.0371882  -0.0358202 3.52912e-05
         280   -0.037204  -0.0358252 3.55096e-05
         281  -0.0372174  -0.0358301 3.57272e-05
         282  -0.0372357  -0.0358351 3.59465e-05
         283  -0.0372492  -0.0358401 3.61651e-05
         284  -0.0372628  -0.0358451  3.6383e-05
         285  -0.0372788  -0.0358501 3.66015e-05
         286  -0.0372926  -0.0358552 3.68194e-05
         287  -0.0373063  -0.0358602 3.70366e-05
         288  -0.0373202  -0.0358653 3.72533e-05
         289   -0.037334  -0.0358704 3.74694e-05
         290  -0.0373503  -0.0358755 3.76862e-05
         291  -0.0373667  -0.0358806 3.79034e-05
         292  -0.0373831  -0.0358858 3.81213e-05
         293  -0.0373972  -0.0358909 3.83386e-05
         294  -0.0374114  -0.0358961 3.85554e-05
         295  -0.0374303  -0.0359013 3.87739e-05
         296  -0.0374446  -0.0359065 3.89919e-05
         297  -0.0374589  -0.0359117 3.92094e-05
         298  -0.0374733   -0.035917 3.94264e-05
         299  -0.0374901  -0.0359222  3.9644e-05
         300   -0.037507  -0.0359275 3.98623e-05
         301  -0.0375239  -0.0359328 4.00811e-05
         302  -0.0375409  -0.0359382 4.03005e-05
         303  -0.0375555  -0.0359435 4.05195e-05
         304  -0.0375726  -0.0359489  4.0739e-05
         305  -0.0375898  -0.0359542 4.09592e-05
         306   -0.037607  -0.0359596 4.11799e-05
         307   -0.037629  -0.0359651 4.14032e-05
         308  -0.0376511  -0.0359705 4.16291e-05
         309  -0.0376661   -0.035976 4.18545e-05
         310  -0.0376836  -0.0359815 4.20804e-05
         311  -0.0377058  -0.0359871 4.23087e-05
         312  -0.0377234  -0.0359927 4.25376e-05
