#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1  -0.0232853  -0.0232853           0
           2  -0.0232853  -0.0232853 2.35147e-09
           3  -0.0232853  -0.0232853 4.20816e-09
           4  -0.0232853  -0.0232853 6.26699e-09
           5  -0.0232853  -0.0232853 8.53698e-09
           6  -0.0232854  -0.0232853 1.10031e-08
           7  -0.0232854  -0.0232853 1.36542e-08
           8  -0.0232854  -0.0232853 1.64805e-08
           9  -0.0232855  -0.0232853  1.9471e-08
          10  -0.0232855  -0.0232854 2.26179e-08
          11  -0.0232855  -0.0232854 2.59142e-08
          12  -0.0232856  -0.0232854 2.93531e-08
          13  -0.0232856  -0.0232854 3.29296e-08
          14  -0.0232857  -0.0232854 3.66385e-08
          15  -0.0232858  -0.0232855 4.04748e-08
          16  -0.0232858  -0.0232855 4.44349e-08
          17  -0.0232859  -0.0232855 4.85147e-08
          18   -0.023286  -0.0232855  5.2711e-08
          19  -0.0232861  -0.0232856 5.70204e-08
          20  -0.0232862  -0.0232856 6.14402e-08
          21  -0.0232862  -0.0232856 6.59676e-08
          22  -0.0232863  -0.0232857    7.06e-08
          23  -0.0232864  -0.0232857 7.53351e-08
          24  -0.0232865  -0.0232857 8.01708e-08
          25  -0.0232867  -0.0232858 8.51048e-08
          26  -0.0232868  -0.0232858 9.01354e-08
          27  -0.0232869  -0.0232858 9.52605e-08
          28   -0.023287  -0.0232859 1.00479e-07
          29  -0.0232871  -0.0232859 1.05788e-07
          30  -0.0232873   -0.023286 1.11187e-07
          31  -0.0232874   -0.023286 1.16674e-07
          32  -0.0232875  -0.0232861 1.22248e-07
          33  -0.0232877  -0.0232861 1.27908e-07
          34  -0.0232878  -0.0232862 1.33651e-07
          35   -0.023288  -0.0232862 1.39478e-07
          36  -0.0232881  -0.0232863 1.45386e-07
          37  -0.0232883  -0.0232863 1.51375e-07
          38  -0.0232885  -0.0232864 1.57443e-07
          39  -0.0232886  -0.0232864  1.6359e-07
          40  -0.0232888  -0.0232865 1.69814e-07
          41   -0.023289  -0.0232866 1.76115e-07
          42  -0.0232892  -0.0232866 1.82491e-07
          43  -0.0232893  -0.0232867 1.88943e-07
          44  -0.0232895  -0.0232867 1.95468e-07
          45  -0.0232897  -0.0232868 2.02066e-07
          46  -0.0232899  -0.0232869 2.08736e-07
          47  -0.0232901  -0.0232869 2.15477e-07
          48  -0.0232903   -0.023287  2.2229e-07
          49  -0.0232906  -0.0232871 2.29172e-07
          50  -0.0232908  -0.0232872 2.36124e-07
          51   -0.023291  -0.0232872 2.43144e-07
          52  -0.0232912  -0.0232873 2.50232e-07
          53  -0.0232915  -0.0232874 2.57387e-07
          54  -0.0232917  -0.0232875 2.64609e-07
          55  -0.0232919  -0.0232876 2.71897e-07
          56  -0.0232922  -0.0232876  2.7925e-07
          57  -0.0232924  -0.0232877 2.86668e-07
