# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438           0           0
0.872088  0.00224678 0.000317012
0.897737   0.0310503   0.0012279
0.923387    0.141659  0.00235512
0.949037    0.525527  0.00482053
0.974686     1.21356   0.0093646
1.00034     1.68378   0.0112328
1.02599     2.11674   0.0130971
1.05164     2.36565   0.0135351
1.07728     2.39566   0.0127946
1.10293      2.3278   0.0110148
1.12858     2.32562    0.011099
1.15423     2.15131   0.0141167
1.17988     2.01354   0.0294343
1.20553     1.95568   0.0492142
1.23118     1.56869   0.0156141
1.25683     1.34899  0.00960782
1.28248     1.10203  0.00723977
1.30813    0.987397  0.00602965
1.33378    0.956557  0.00602653
1.35943    0.840608  0.00574271
1.38508    0.815703  0.00573168
1.41073    0.737741  0.00545526
1.43638    0.684434  0.00492712
1.46203    0.650353  0.00456327
1.48768    0.617688  0.00435941
1.51333    0.584489  0.00440298
1.53898    0.597029  0.00430663
1.56463    0.609402  0.00387774
1.59028    0.631723  0.00387287
1.61593    0.691085   0.0035058
1.64158    0.699878  0.00304096
1.66723    0.729227  0.00429922
1.69288    0.839889   0.0134699
1.71853    0.823658  0.00506909
1.74418    0.824072  0.00328744
1.76983    0.825128  0.00404035
1.79547    0.834994  0.00435086
1.82112    0.891627   0.0052137
1.84677    0.922649  0.00549698
1.87242     0.97573  0.00563585
1.89807     1.04445  0.00581301
1.92372     1.07285   0.0057088
1.94937     1.08443  0.00541666
1.97502     1.14653   0.0047723
2.00067     1.20834  0.00492556
2.02632     1.22968  0.00617121
2.05197     1.29697   0.0116299
2.07762     1.49018    0.037712
2.10327     1.33249   0.0141444
2.12892     1.16911  0.00709069
2.15457      1.1392  0.00496747
2.18022     1.09295  0.00452959
2.20587     1.10158  0.00498814
2.23152     1.07274  0.00535783
2.25717     1.02049  0.00529194
2.28282     1.02735  0.00518023
2.30847    0.973355  0.00444008
2.33412    0.971303  0.00381314
2.35977    0.971785  0.00328368
2.38542    0.953644  0.00450213
2.41107     1.02729   0.0120834
2.43672    0.927028  0.00325848
2.46237    0.859813  0.00300616
2.48802    0.841951   0.0035087
2.51366    0.877906  0.00398298
2.53931    0.873403  0.00408476
