#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79307    -6.79307           0
           2    -6.79299    -6.79303  2.8386e-05
           3    -6.79285    -6.79297 5.09499e-05
           4    -6.79267    -6.79289 7.58926e-05
           5    -6.79242     -6.7928 0.000103335
           6    -6.79213    -6.79269 0.000133161
           7    -6.79178    -6.79256 0.000165239
           8    -6.79138    -6.79241  0.00019945
           9    -6.79093    -6.79225 0.000235694
          10    -6.79042    -6.79206 0.000273885
          11    -6.78986    -6.79186 0.000313955
          12    -6.78924    -6.79165 0.000355843
          13    -6.78857    -6.79141 0.000399501
          14    -6.78784    -6.79115 0.000444889
          15    -6.78706    -6.79088 0.000491972
          16    -6.78622    -6.79059 0.000540724
          17    -6.78532    -6.79028 0.000591123
          18    -6.78436    -6.78995 0.000643152
          19    -6.78335     -6.7896 0.000696798
          20    -6.78228    -6.78924 0.000752051
          21    -6.78115    -6.78885 0.000808908
          22    -6.77995    -6.78845 0.000867364
          23     -6.7787    -6.78802 0.000927421
          24    -6.77738    -6.78758 0.000989081
          25    -6.77585    -6.78711   0.0010549
          26    -6.77426    -6.78662  0.00112419
          27    -6.77275     -6.7861   0.0011941
          28    -6.77118    -6.78557  0.00126486
          29    -6.76953    -6.78502  0.00133665
          30    -6.76767    -6.78444  0.00141161
          31    -6.76559    -6.78383  0.00149128
          32    -6.76359     -6.7832  0.00157311
          33    -6.76167    -6.78255  0.00165522
          34    -6.75922    -6.78186  0.00174293
          35    -6.75685    -6.78115   0.0018338
          36     -6.7547    -6.78041  0.00192436
          37    -6.75248    -6.77966  0.00201502
          38    -6.74987    -6.77887  0.00210895
          39    -6.74748    -6.77807  0.00220311
          40    -6.74456    -6.77723  0.00230178
          41    -6.74201    -6.77637  0.00240062
          42    -6.73921    -6.77549  0.00250117
          43    -6.73603    -6.77457  0.00260588
          44    -6.73306    -6.77362  0.00271204
          45       -6.73    -6.77266  0.00281975
          46    -6.72654    -6.77165  0.00293128
          47    -6.72298    -6.77062  0.00304636
          48    -6.71963    -6.76955  0.00316268
          49    -6.71587    -6.76846  0.00328241
          50    -6.71217    -6.76733  0.00340438
          51     -6.7085    -6.76618  0.00352764
          52    -6.70443    -6.76499  0.00365418
          53    -6.70041    -6.76377  0.00378298
          54    -6.69626    -6.76252  0.00391406
          55    -6.69201    -6.76124  0.00404743
          56    -6.68733    -6.75992  0.00418481
          57    -6.68269    -6.75857  0.00432518
          58    -6.67823    -6.75718   0.0044669
          59    -6.67334    -6.75576  0.00461168
          60    -6.66818     -6.7543  0.00476023
          61    -6.66304     -6.7528  0.00491169
          62    -6.65806    -6.75128   0.0050646
          63    -6.65265    -6.74971  0.00522055
          64    -6.64695    -6.74811  0.00538021
          65    -6.64157    -6.74647  0.00554147
          66    -6.63574    -6.74479  0.00570582
          67    -6.62976    -6.74307  0.00587327
          68    -6.62394    -6.74132  0.00604256
          69    -6.61796    -6.73953  0.00621384
          70    -6.61183    -6.73771  0.00638725
          71    -6.60554    -6.73585  0.00656294
          72    -6.59925    -6.73395  0.00674043
          73    -6.59219    -6.73201  0.00692218
          74    -6.58557    -6.73003  0.00710588
          75    -6.57833    -6.72801  0.00729333
          76    -6.57107    -6.72594  0.00748398
          77    -6.56349    -6.72383  0.00767841
          78    -6.55604    -6.72168  0.00787556
          79    -6.54765    -6.71948  0.00807808
          80    -6.53969    -6.71723   0.0082838
          81    -6.53156    -6.71494  0.00849276
          82    -6.52308     -6.7126  0.00870551
          83    -6.51443    -6.71021  0.00892203
          84    -6.50589    -6.70778  0.00914138
          85    -6.49701     -6.7053   0.0093641
          86    -6.48809    -6.70277  0.00958978
          87    -6.47883     -6.7002  0.00981892
          88    -6.46954    -6.69758   0.0100511
          89     -6.4602    -6.69491    0.010286
          90    -6.45021    -6.69219   0.0105249
          91    -6.44049    -6.68943   0.0107666
          92    -6.43057    -6.68661    0.011011
          93    -6.42046    -6.68375   0.0112584
          94     -6.4106    -6.68084   0.0115075
          95    -6.40011    -6.67789   0.0117597
          96    -6.38927    -6.67488   0.0120154
          97    -6.37869    -6.67183   0.0122734
          98    -6.36748    -6.66872   0.0125349
          99    -6.35637    -6.66557   0.0127992
         100    -6.34464    -6.66236   0.0130674
         101    -6.33302     -6.6591   0.0133386
         102    -6.32122    -6.65579    0.013613
         103     -6.3094    -6.65242     0.01389
         104    -6.29695      -6.649   0.0141708
         105    -6.28418    -6.64553   0.0144555
         106     -6.2717      -6.642    0.014743
         107    -6.25921    -6.63843    0.015033
         108    -6.24626    -6.63479   0.0153261
         109    -6.23317    -6.63111   0.0156222
         110    -6.22007    -6.62737   0.0159208
         111      -6.207    -6.62359   0.0162215
         112    -6.19394    -6.61975   0.0165241
         113     -6.1809    -6.61587    0.016828
         114    -6.16729    -6.61193   0.0171343
         115    -6.15312    -6.60794   0.0174436
         116    -6.13959     -6.6039   0.0177543
         117    -6.12567    -6.59982    0.018067
         118    -6.11135    -6.59568    0.018382
         119    -6.09755    -6.59149   0.0186981
         120    -6.08352    -6.58726   0.0190154
         121    -6.06943    -6.58298   0.0193338
         122    -6.05468    -6.57865   0.0196543
         123    -6.04062    -6.57427   0.0199753
         124    -6.02592    -6.56985   0.0202978
         125    -6.01149    -6.56538   0.0206211
         126    -5.99718    -6.56088   0.0209447
         127    -5.98316    -6.55633   0.0212681
         128    -5.96897    -6.55174   0.0215912
         129    -5.95449    -6.54711   0.0219146
         130    -5.94001    -6.54244   0.0222381
         131    -5.92569    -6.53773   0.0225612
         132     -5.9117    -6.53299   0.0228833
         133    -5.89699    -6.52821   0.0232055
         134    -5.88232    -6.52339   0.0235276
         135    -5.86769    -6.51853   0.0238494
         136    -5.85372    -6.51364   0.0241698
         137    -5.83966    -6.50872    0.024489
         138    -5.82582    -6.50377   0.0248064
         139    -5.81191    -6.49879   0.0251224
         140    -5.79778    -6.49379    0.025437
         141    -5.78375    -6.48875   0.0257503
         142    -5.77011    -6.48369   0.0260615
         143    -5.75658    -6.47861   0.0263706
         144    -5.74331     -6.4735   0.0266773
         145    -5.73001    -6.46837   0.0269816
         146    -5.71638    -6.46322   0.0272839
         147    -5.70289    -6.45805   0.0275842
         148    -5.68983    -6.45286    0.027882
         149    -5.67677    -6.44765   0.0281771
         150    -5.66417    -6.44243   0.0284693
         151    -5.65187    -6.43719   0.0287581
         152    -5.63989    -6.43195   0.0290434
         153    -5.62762    -6.42669   0.0293255
         154    -5.61553    -6.42142   0.0296043
         155    -5.60408    -6.41615   0.0298793
         156    -5.59221    -6.41087   0.0301509
         157    -5.58053    -6.40558   0.0304192
         158    -5.56981    -6.40029   0.0306831
         159    -5.55869      -6.395   0.0309433
         160    -5.54778     -6.3897   0.0311997
         161    -5.53725    -6.38441    0.031452
         162    -5.52678    -6.37911   0.0317002
         163    -5.51669    -6.37382   0.0319442
         164    -5.50699    -6.36853   0.0321838
         165    -5.49708    -6.36325   0.0324192
         166    -5.48756    -6.35798   0.0326503
         167    -5.47829    -6.35271   0.0328769
         168    -5.46912    -6.34745   0.0330993
         169    -5.46006     -6.3422   0.0333173
         170    -5.45157    -6.33696   0.0335307
         171    -5.44335    -6.33174   0.0337394
         172    -5.43586    -6.32653   0.0339429
         173    -5.42834    -6.32134   0.0341414
         174     -5.4211    -6.31616    0.034335
         175      -5.414    -6.31101   0.0345236
         176    -5.40733    -6.30587   0.0347072
         177     -5.4008    -6.30076   0.0348857
         178    -5.39472    -6.29567   0.0350591
         179    -5.38863     -6.2906   0.0352276
         180    -5.38314    -6.28556   0.0353908
         181    -5.37824    -6.28055   0.0355485
         182     -5.3735    -6.27556   0.0357008
         183    -5.36876    -6.27061   0.0358479
         184    -5.36432    -6.26568   0.0359899
         185    -5.36047    -6.26079   0.0361265
         186    -5.35693    -6.25593   0.0362576
         187    -5.35338     -6.2511   0.0363835
         188    -5.34982    -6.24631   0.0365045
         189    -5.34716    -6.24155     0.03662
         190    -5.34448    -6.23683   0.0367304
         191    -5.34209    -6.23215   0.0368356
         192    -5.33982     -6.2275   0.0369358
         193    -5.33798    -6.22289   0.0370308
         194     -5.3364    -6.21832   0.0371208
         195    -5.33509    -6.21379   0.0372057
         196    -5.33389     -6.2093   0.0372858
         197    -5.33323    -6.20485   0.0373608
         198    -5.33236    -6.20045    0.037431
         199    -5.33202    -6.19608   0.0374965
         200    -5.33191    -6.19176   0.0375571
         201    -5.33231    -6.18749   0.0376129
         202    -5.33262    -6.18325    0.037664
         203    -5.33327    -6.17907   0.0377105
         204    -5.33411    -6.17493   0.0377524
         205    -5.33497    -6.17083     0.03779
         206    -5.33614    -6.16678   0.0378231
         207    -5.33717    -6.16277   0.0378521
         208     -5.3385    -6.15881    0.037877
         209    -5.34026    -6.15489   0.0378977
         210    -5.34169    -6.15102   0.0379146
         211    -5.34308    -6.14719   0.0379278
         212    -5.34519     -6.1434   0.0379371
         213    -5.34677    -6.13966   0.0379429
         214     -5.3489    -6.13597   0.0379451
         215     -5.3511    -6.13232   0.0379438
         216    -5.35336    -6.12871   0.0379391
         217    -5.35567    -6.12515   0.0379311
         218    -5.35803    -6.12163     0.03792
         219    -5.36027    -6.11815   0.0379059
         220    -5.36239    -6.11472   0.0378889
         221    -5.36513    -6.11133    0.037869
