#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -8.77532    -8.77532           0
           2     -8.7747    -8.77501 0.000220262
           3    -8.77366    -8.77456 0.000395422
           4    -8.77221    -8.77397 0.000589071
           5    -8.77035    -8.77325 0.000802106
           6    -8.76807    -8.77239  0.00103359
           7    -8.76537    -8.77138  0.00128243
           8    -8.76227    -8.77024  0.00154766
           9    -8.75875    -8.76897  0.00182843
          10    -8.75481    -8.76755    0.002124
          11    -8.75046      -8.766  0.00243375
          12    -8.74569    -8.76431  0.00275714
          13    -8.74051    -8.76247   0.0030937
          14     -8.7349    -8.76051  0.00344301
          15    -8.72888     -8.7584  0.00380474
          16    -8.72243    -8.75615  0.00417854
          17    -8.71556    -8.75376  0.00456416
          18    -8.70827    -8.75123  0.00496134
          19    -8.70054    -8.74857  0.00536987
          20    -8.69239    -8.74576  0.00578956
          21     -8.6838    -8.74281  0.00622025
          22    -8.67479    -8.73972  0.00666178
          23    -8.66533    -8.73648  0.00711403
          24    -8.65543     -8.7331  0.00757689
          25    -8.64485    -8.72957  0.00805428
          26    -8.63383    -8.72589  0.00854501
          27    -8.62259    -8.72207  0.00904454
          28    -8.61091     -8.7181  0.00955314
          29    -8.59876    -8.71398    0.010071
          30    -8.58592    -8.70971   0.0106015
          31    -8.57237    -8.70528   0.0111469
          32     -8.5586     -8.7007   0.0117032
          33    -8.54459    -8.69597   0.0122674
          34    -8.52938    -8.69107   0.0128478
          35    -8.51394    -8.68601   0.0134405
          36    -8.49849     -8.6808   0.0140402
          37    -8.48255    -8.67544   0.0146475
          38    -8.46563    -8.66992   0.0152672
          39    -8.44869    -8.66425   0.0158946
          40    -8.43052     -8.6584   0.0165364
          41    -8.41257    -8.65241   0.0171858
          42    -8.39385    -8.64625   0.0178452
          43    -8.37412    -8.63992   0.0185184
          44    -8.35435    -8.63343   0.0192012
          45    -8.33404    -8.62678   0.0198938
          46    -8.31271    -8.61995   0.0205996
          47    -8.29083    -8.61295   0.0213184
          48    -8.26887    -8.60578   0.0220465
          49    -8.24587    -8.59844   0.0227873
          50    -8.22254    -8.59092    0.023539
          51    -8.19888    -8.58323   0.0243002
          52    -8.17415    -8.57536    0.025074
          53    -8.14907    -8.56732   0.0258588
          54     -8.1234     -8.5591   0.0266546
          55    -8.09712     -8.5507   0.0274616
          56    -8.06974    -8.54211   0.0282824
          57    -8.04199    -8.53334   0.0291155
          58    -8.01409    -8.52438   0.0299583
          59    -7.98507    -8.51524   0.0308135
          60    -7.95517    -8.50591   0.0316823
          61    -7.92487    -8.49638   0.0325633
          62    -7.89438    -8.48667   0.0334544
          63    -7.86275    -8.47677    0.034358
          64     -7.8302    -8.46667   0.0352752
          65    -7.79769    -8.45638   0.0362028
          66    -7.76401    -8.44589   0.0371431
          67    -7.72963     -8.4352   0.0380961
          68    -7.69502    -8.42431   0.0390599
          69     -7.6597    -8.41323   0.0400349
          70    -7.62366    -8.40195   0.0410212
          71    -7.58689    -8.39047    0.042019
          72    -7.54962    -8.37879   0.0430277
          73    -7.51065     -8.3669   0.0440511
          74    -7.47189     -8.3548   0.0450856
          75    -7.43166     -8.3425    0.046134
          76     -7.3909    -8.32997   0.0471956
          77    -7.34914    -8.31724   0.0482711
          78    -7.30708    -8.30429   0.0493589
          79    -7.26304    -8.29111   0.0504632
          80    -7.21919    -8.27771   0.0515806
          81    -7.17454    -8.26409   0.0527112
          82    -7.12885    -8.25024   0.0538557
          83    -7.08238    -8.23617   0.0550143
          84    -7.03558    -8.22188   0.0561853
          85    -6.98774    -8.20736   0.0573697
          86    -6.93934    -8.19262   0.0585666
          87     -6.8899    -8.17764    0.059777
          88    -6.83989    -8.16244   0.0610001
          89    -6.78932    -8.14701   0.0622352
          90    -6.73722    -8.13135   0.0634844
          91    -6.68505    -8.11545   0.0647457
          92    -6.63207    -8.09933   0.0660191
          93     -6.5783    -8.08298   0.0673046
          94    -6.52447     -8.0664   0.0686003
          95    -6.46913    -8.04958   0.0699082
          96    -6.41278    -8.03253   0.0712288
          97    -6.35639    -8.01525   0.0725603
          98    -6.29851    -7.99773   0.0739042
          99    -6.24037    -7.97998   0.0752594
         100    -6.18077    -7.96199   0.0766273
         101    -6.12093    -7.94376   0.0780066
         102    -6.06038     -7.9253   0.0793971
         103    -5.99938     -7.9066    0.080798
         104    -5.93698    -7.88766   0.0822107
         105    -5.87368    -7.86848   0.0836354
         106    -5.81046    -7.84907   0.0850701
         107    -5.74686    -7.82942    0.086514
         108    -5.68218    -7.80954   0.0879678
         109    -5.61693    -7.78942   0.0894311
         110    -5.55136    -7.76908   0.0909031
         111    -5.48551     -7.7485   0.0923827
         112     -5.4194    -7.72771   0.0938693
         113    -5.35306    -7.70669   0.0953618
         114    -5.28554    -7.68545   0.0968615
         115    -5.21689    -7.66399    0.098369
         116    -5.14905    -7.64231   0.0998816
         117    -5.08038    -7.62041      0.1014
         118     -5.0109     -7.5983    0.102924
         119    -4.94208    -7.57598    0.104451
         120    -4.87277    -7.55345    0.105982
         121    -4.80322    -7.53072    0.107516
         122    -4.73252    -7.50778    0.109053
         123    -4.66285    -7.48465    0.110592
         124     -4.5921    -7.46133    0.112134
         125    -4.52173    -7.43781    0.113676
         126    -4.45154    -7.41411    0.115218
         127     -4.3818    -7.39023    0.116758
         128    -4.31184    -7.36618    0.118297
         129    -4.24143    -7.34196    0.119835
         130     -4.1711    -7.31757     0.12137
         131    -4.10112    -7.29302    0.122902
         132    -4.03176    -7.26831    0.124429
         133    -3.96137    -7.24345    0.125953
         134    -3.89119    -7.21843    0.127474
         135    -3.82125    -7.19326    0.128989
         136    -3.75255    -7.16796    0.130498
         137     -3.6839    -7.14253       0.132
         138    -3.61583    -7.11698    0.133495
         139    -3.54789     -7.0913    0.134981
         140    -3.47985     -7.0655     0.13646
         141    -3.41224     -7.0396     0.13793
         142    -3.34557    -7.01358     0.13939
         143    -3.27937    -6.98747     0.14084
         144    -3.21393    -6.96126    0.142279
         145    -3.14879    -6.93497    0.143707
         146    -3.08349    -6.90859    0.145124
         147    -3.01878    -6.88213    0.146529
         148    -2.95517    -6.85559    0.147922
         149    -2.89197    -6.82899    0.149302
         150    -2.82992    -6.80233    0.150668
         151    -2.76881    -6.77562     0.15202
         152    -2.70867    -6.74886    0.153356
         153    -2.64855    -6.72206    0.154678
         154    -2.58921    -6.69523    0.155984
         155    -2.53139    -6.66836    0.157274
         156    -2.47343    -6.64147    0.158548
         157    -2.41632    -6.61456    0.159806
         158    -2.36129    -6.58764    0.161045
         159    -2.30619    -6.56072    0.162268
         160    -2.25201    -6.53379    0.163473
         161    -2.19902    -6.50686     0.16466
         162    -2.14674    -6.47995    0.165829
         163     -2.0957    -6.45305    0.166979
         164     -2.0459    -6.42618    0.168109
         165    -1.99641    -6.39933     0.16922
         166    -1.94822    -6.37252    0.170312
         167    -1.90109    -6.34574    0.171384
         168    -1.85481    -6.31901    0.172436
         169     -1.8094    -6.29233    0.173468
         170     -1.7656     -6.2657    0.174479
         171    -1.72295    -6.23913     0.17547
         172    -1.68218    -6.21264    0.176438
         173     -1.6421    -6.18622    0.177385
         174    -1.60322    -6.15988    0.178311
         175     -1.5653    -6.13363    0.179214
         176    -1.52883    -6.10746    0.180096
         177    -1.49335    -6.08139    0.180955
         178    -1.45935    -6.05543    0.181792
         179    -1.42611    -6.02956    0.182607
         180     -1.3946    -6.00381    0.183399
         181    -1.36483    -5.97819    0.184168
         182    -1.33608    -5.95268    0.184914
         183    -1.30811     -5.9273    0.185637
         184    -1.28139    -5.90205    0.186337
         185    -1.25642    -5.87694    0.187014
         186    -1.23269    -5.85197    0.187668
         187    -1.20974    -5.82714    0.188299
         188    -1.18753    -5.80247    0.188908
         189    -1.16751    -5.77794    0.189494
         190    -1.14823    -5.75357    0.190057
         191    -1.13014    -5.72937    0.190597
         192    -1.11298    -5.70532    0.191115
         193    -1.09723    -5.68145     0.19161
         194    -1.08262    -5.65774    0.192083
         195    -1.06913    -5.63421    0.192534
         196    -1.05648    -5.61086    0.192963
         197    -1.04537    -5.58768     0.19337
         198    -1.03458    -5.56469    0.193756
         199    -1.02527    -5.54187    0.194121
         200    -1.01693    -5.51925    0.194464
         201    -1.01001    -5.49682    0.194786
         202     -1.0035    -5.47457    0.195088
         203   -0.998107    -5.45252    0.195369
         204   -0.993536    -5.43066     0.19563
         205   -0.989514      -5.409    0.195872
         206   -0.986485    -5.38753    0.196094
         207   -0.983687    -5.36625    0.196298
         208   -0.981802    -5.34518    0.196482
         209   -0.981031    -5.32429    0.196649
         210   -0.980132    -5.30361    0.196797
         211   -0.979546    -5.28312    0.196929
         212   -0.980439    -5.26282    0.197043
         213   -0.980846    -5.24272    0.197141
         214   -0.982413    -5.22281    0.197222
         215   -0.984381    -5.20309    0.197288
         216   -0.986712    -5.18357    0.197337
         217   -0.989372    -5.16425    0.197372
         218   -0.992325    -5.14511    0.197393
         219   -0.995297    -5.12616    0.197399
         220   -0.998256     -5.1074    0.197391
         221    -1.00238    -5.08882     0.19737
         222    -1.00618    -5.07043    0.197336
         223    -1.01037    -5.05223    0.197289
         224    -1.01419     -5.0342     0.19723
         225    -1.01809    -5.01635     0.19716
         226    -1.02206    -4.99868    0.197078
         227    -1.02608    -4.98117    0.196985
         228    -1.03035    -4.96385    0.196882
         229    -1.03415    -4.94669    0.196768
         230    -1.03865    -4.92969    0.196645
         231    -1.04216    -4.91287    0.196513
         232    -1.04611     -4.8962    0.196371
         233    -1.04976    -4.87969    0.196221
         234    -1.05382    -4.86334    0.196063
         235    -1.05756    -4.84715    0.195896
         236    -1.06145     -4.8311    0.195722
         237    -1.06501    -4.81521     0.19554
         238    -1.06919    -4.79947    0.195351
         239    -1.07229    -4.78388    0.195155
         240    -1.07577    -4.76843    0.194952
         241    -1.07889    -4.75312    0.194743
         242    -1.08165    -4.73795    0.194529
         243    -1.08477    -4.72291    0.194308
         244     -1.0873    -4.70801    0.194082
         245    -1.08995    -4.69325    0.193851
         246    -1.09224    -4.67861    0.193615
         247    -1.09441     -4.6641    0.193374
         248     -1.0972    -4.64972    0.193129
         249    -1.09988    -4.63546    0.192879
         250    -1.10197    -4.62132    0.192624
         251    -1.10445    -4.60731    0.192366
         252    -1.10683    -4.59342    0.192103
         253    -1.10864    -4.57965    0.191837
         254    -1.11036    -4.56599    0.191567
         255    -1.11176    -4.55244    0.191294
         256    -1.11333    -4.53901    0.191018
         257    -1.11483    -4.52569    0.190739
         258    -1.11626    -4.51247    0.190457
         259    -1.11716    -4.49936    0.190172
         260    -1.11825    -4.48636    0.189885
         261    -1.11977    -4.47346    0.189595
         262    -1.12101    -4.46066    0.189303
         263    -1.12246    -4.44797    0.189008
         264    -1.12364    -4.43538    0.188711
         265    -1.12552    -4.42289    0.188412
         266    -1.12642     -4.4105    0.188111
         267     -1.1273     -4.3982    0.187808
         268    -1.12817      -4.386    0.187503
         269    -1.12927    -4.37389    0.187196
         270    -1.13037    -4.36188    0.186888
         271    -1.13099    -4.34996    0.186578
         272    -1.13209    -4.33813    0.186267
         273    -1.13344    -4.32639    0.185954
         274    -1.13407    -4.31474     0.18564
         275    -1.13495    -4.30317    0.185325
         276    -1.13583     -4.2917    0.185008
         277    -1.13697    -4.28031    0.184691
         278    -1.13812    -4.26901    0.184372
         279    -1.13927    -4.25779    0.184052
         280    -1.14068    -4.24665    0.183731
         281    -1.14233    -4.23561    0.183409
         282    -1.14327    -4.22464    0.183086
         283    -1.14446    -4.21376    0.182762
         284    -1.14565    -4.20295    0.182438
         285    -1.14685    -4.19223    0.182113
         286    -1.14829    -4.18159    0.181787
         287     -1.1502    -4.17103     0.18146
         288    -1.15092    -4.16054    0.181132
         289    -1.15211    -4.15013    0.180805
         290    -1.15306    -4.13979    0.180476
         291    -1.15375    -4.12953    0.180148
         292    -1.15492    -4.11935    0.179818
         293    -1.15632    -4.10923    0.179489
         294    -1.15746    -4.09919    0.179159
         295    -1.15859    -4.08923    0.178829
         296     -1.1597    -4.07933    0.178498
         297    -1.16031     -4.0695    0.178168
         298    -1.16162    -4.05974    0.177837
         299    -1.16243    -4.05005    0.177506
         300     -1.1637    -4.04043    0.177175
         301    -1.16495    -4.03088    0.176843
         302    -1.16594    -4.02139    0.176512
         303    -1.16666    -4.01197    0.176181
         304    -1.16785    -4.00261    0.175849
         305    -1.16901    -3.99332    0.175518
         306    -1.16968     -3.9841    0.175187
         307    -1.17058    -3.97493    0.174856
         308    -1.17194    -3.96583    0.174525
         309    -1.17306    -3.95679    0.174194
         310    -1.17345    -3.94781    0.173863
         311    -1.17408     -3.9389    0.173533
         312    -1.17519    -3.93004    0.173202
         313    -1.17607    -3.92124    0.172872
         314    -1.17624     -3.9125    0.172543
         315    -1.17739    -3.90381    0.172213
         316    -1.17832    -3.89519    0.171884
         317    -1.17928    -3.88662    0.171555
         318    -1.18075    -3.87811    0.171227
         319    -1.18154    -3.86966    0.170899
         320    -1.18262    -3.86126    0.170571
         321    -1.18373    -3.85292    0.170243
         322    -1.18515    -3.84464    0.169916
         323     -1.1871    -3.83641    0.169589
         324    -1.18936    -3.82824    0.169262
         325    -1.19023    -3.82012    0.168936
         326    -1.19214    -3.81206     0.16861
         327    -1.19388    -3.80405    0.168284
         328    -1.19522     -3.7961    0.167959
         329    -1.19711     -3.7882    0.167634
         330    -1.19883    -3.78035     0.16731
         331    -1.20087    -3.77256    0.166986
         332    -1.20275    -3.76482    0.166662
         333    -1.20518    -3.75713    0.166339
         334    -1.20745     -3.7495    0.166016
         335    -1.20978    -3.74192    0.165693
         336    -1.21242    -3.73439    0.165371
         337     -1.2144    -3.72691    0.165049
         338    -1.21667    -3.71949    0.164728
         339    -1.21898    -3.71211    0.164407
         340    -1.22182    -3.70479    0.164087
         341    -1.22349    -3.69751    0.163767
         342    -1.22542    -3.69028    0.163447
         343    -1.22808     -3.6831    0.163128
         344    -1.23051    -3.67597     0.16281
         345    -1.23293    -3.66889    0.162492
         346    -1.23557    -3.66186    0.162174
         347    -1.23746    -3.65487    0.161857
         348    -1.23955    -3.64793    0.161541
         349    -1.24207    -3.64104    0.161225
         350    -1.24404    -3.63419     0.16091
         351     -1.2457    -3.62738    0.160595
         352    -1.24823    -3.62063    0.160281
         353    -1.25042    -3.61391    0.159968
         354    -1.25249    -3.60724    0.159655
         355    -1.25421    -3.60061    0.159343
         356     -1.2558    -3.59403    0.159031
         357    -1.25724    -3.58748     0.15872
         358    -1.25829    -3.58097     0.15841
         359    -1.25918    -3.57451    0.158101
         360    -1.26014    -3.56808    0.157793
         361    -1.26045    -3.56168    0.157485
