# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0230664           0           0
0.0461329           0           0
0.0691993           0           0
0.0922657           0           0
0.115332           0           0
0.138399           0           0
0.161465           0           0
0.184531           0           0
0.207598           0           0
0.230664           0           0
0.253731           0           0
0.276797           0           0
0.299864           0           0
0.32293           0           0
0.345996           0           0
0.369063           0           0
0.392129           0           0
0.415196           0           0
0.438262           0           0
0.461329           0           0
0.484395           0           0
0.507461           0           0
0.530528           0           0
0.553594           0           0
0.576661           0           0
0.599727           0           0
0.622794           0           0
0.64586           0           0
0.668926           0           0
0.691993           0           0
0.715059           0           0
0.738126           0           0
0.761192           0           0
0.784259           0           0
0.807325           0           0
0.830391           0           0
0.853458           0           0
0.876524 0.000589124 0.000146691
0.899591   0.0131873 0.000715105
0.922657    0.145073  0.00265423
0.945724    0.587206  0.00489267
0.96879     1.43389   0.0086637
0.991856     2.57325   0.0116724
1.01492     3.56311   0.0138832
1.03799     4.36234   0.0133602
1.06106      4.4735   0.0221436
1.08412     3.96983   0.0412495
1.10719     3.15576   0.0129084
1.13026      2.4967  0.00960756
1.15332     1.79427  0.00778473
1.17639     1.19139   0.0055484
1.19945    0.844757  0.00502371
1.22252    0.525294  0.00376462
1.24559    0.322573  0.00299574
1.26865    0.215372  0.00253713
1.29172    0.154063   0.0023625
1.31479    0.132293  0.00186543
1.33785     0.13851   0.0017643
1.36092    0.180929  0.00176311
1.38399    0.263167  0.00218983
1.40705    0.324896  0.00220005
1.43012    0.459474  0.00281716
1.45319    0.608911  0.00338648
1.47625    0.715648  0.00323696
1.49932    0.787887  0.00426704
1.52238    0.870152    0.012907
1.54545    0.822939  0.00498804
1.56852    0.722039  0.00333764
1.59158    0.582032   0.0025348
1.61465    0.483938  0.00273665
1.63772    0.383401  0.00250723
1.66078    0.340064  0.00238844
1.68385    0.378156  0.00285291
1.70692    0.494425  0.00344932
1.72998     0.65921  0.00415885
1.75305     0.92193  0.00473065
1.77612     1.26097  0.00536971
1.79918     1.67101  0.00579184
1.82225     2.02238  0.00635623
1.84531     2.25335  0.00892118
1.86838     2.44286   0.0330122
1.89145     2.24646   0.0107538
1.91451     1.93629  0.00576777
1.93758     1.56251  0.00525657
1.96065     1.25625  0.00487537
1.98371    0.958344   0.0044416
2.00678    0.776097  0.00421304
2.02985    0.652241   0.0037168
2.05291    0.647818  0.00361574
2.07598    0.705205  0.00335981
2.09905    0.761115  0.00294554
2.12211    0.859459  0.00278677
2.14518    0.942388  0.00442933
2.16824    0.969524   0.0117656
2.19131    0.860984  0.00309806
2.21438     0.78209  0.00276648
2.23744    0.712895  0.00312661
2.26051    0.699996  0.00342589
2.28358      0.7215  0.00356555
