#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.71309    -8.71309           0
           2    -8.71227    -8.71268 0.000289059
           3    -8.71091    -8.71209 0.000518812
           4    -8.70901    -8.71132 0.000772677
           5    -8.70656    -8.71037  0.00105178
           6    -8.70358    -8.70924  0.00135481
           7    -8.70006    -8.70793   0.0016803
           8    -8.69567    -8.70639  0.00205301
           9    -8.69075    -8.70466  0.00245247
          10    -8.68433    -8.70262  0.00293066
          11    -8.67706     -8.7003  0.00346506
          12    -8.67024     -8.6978  0.00398021
          13    -8.66224    -8.69506  0.00451716
          14    -8.65339    -8.69208  0.00508146
          15    -8.64369    -8.68886  0.00567515
          16    -8.63315    -8.68538  0.00629859
          17    -8.62176    -8.68163  0.00695127
          18    -8.60954    -8.67763  0.00763237
          19    -8.59647    -8.67336  0.00834087
          20    -8.58385    -8.66888  0.00904512
          21    -8.56975    -8.66416   0.0097689
          22    -8.55772    -8.65932   0.0104546
          23    -8.54355    -8.65429   0.0111462
          24    -8.52854    -8.64905   0.0118496
          25    -8.51237    -8.64358   0.0125738
          26    -8.49633    -8.63792   0.0133046
          27    -8.47849    -8.63201   0.0140612
          28    -8.46274    -8.62597   0.0148017
          29    -8.44679    -8.61979   0.0155274
          30    -8.43099     -8.6135   0.0162352
          31    -8.41338    -8.60704   0.0169463
          32    -8.39592    -8.60044   0.0176544
          33    -8.37763    -8.59369   0.0183652
          34    -8.35853    -8.58677   0.0190831
          35    -8.33925     -8.5797    0.019805
          36    -8.31982    -8.57248   0.0205284
          37    -8.30054    -8.56513   0.0212486
          38    -8.27949    -8.55762   0.0219789
          39    -8.25894    -8.54996   0.0227104
          40    -8.23728    -8.54214   0.0234494
          41    -8.21547    -8.53417   0.0241932
          42    -8.19386    -8.52607   0.0249371
          43    -8.17019    -8.51779   0.0256939
          44    -8.14737    -8.50938   0.0264533
          45    -8.12444    -8.50082   0.0272133
          46     -8.1011    -8.49213   0.0279747
          47    -8.07637    -8.48329   0.0287441
          48    -8.05124    -8.47429    0.029521
          49     -8.0254    -8.46512   0.0303066
          50    -7.99983    -8.45582   0.0310964
          51     -7.9739    -8.44637   0.0318901
          52    -7.94826    -8.43679   0.0326838
          53    -7.92261    -8.42709    0.033476
          54    -7.89599    -8.41725   0.0342704
          55    -7.86972     -8.4073   0.0350634
          56     -7.8425    -8.39721   0.0358585
          57    -7.81567    -8.38701   0.0366521
          58    -7.78826    -8.37669   0.0374458
          59    -7.75997    -8.36623   0.0382422
          60    -7.73211    -8.35567    0.039038
          61    -7.70406    -8.34498   0.0398327
          62     -7.6752    -8.33418   0.0406287
          63    -7.64716    -8.32328   0.0414215
          64    -7.61835    -8.31226   0.0422133
          65    -7.58912    -8.30114   0.0430049
          66    -7.56046    -8.28991   0.0437931
          67    -7.53208     -8.2786   0.0445763
          68    -7.50302     -8.2672   0.0453564
          69    -7.47462    -8.25571   0.0461307
          70    -7.44626    -8.24415   0.0468986
          71    -7.41762    -8.23251    0.047661
          72     -7.3894     -8.2208   0.0484161
          73    -7.36162    -8.20903   0.0491626
          74    -7.33302    -8.19719   0.0499031
          75    -7.30524     -8.1853    0.050635
          76    -7.27798    -8.17336   0.0513569
          77    -7.25031    -8.16137   0.0520702
          78     -7.2229    -8.14934   0.0527743
          79    -7.19611    -8.13727   0.0534679
          80    -7.16931    -8.12517   0.0541513
          81    -7.14317    -8.11305   0.0548231
          82    -7.11676     -8.1009   0.0554845
