#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -2.89675    -2.89675           0
           2      -2.892    -2.89438  0.00168108
           3    -2.88408    -2.89095  0.00301734
           4    -2.87301    -2.88646  0.00449384
           5     -2.8588    -2.88093  0.00611703
           6    -2.84144    -2.87435  0.00787929
           7    -2.82095    -2.86672  0.00977186
           8    -2.79663    -2.85796   0.0118435
           9    -2.76921     -2.8481   0.0140453
          10    -2.73656    -2.83694   0.0164849
          11    -2.70013    -2.82451   0.0191107
          12    -2.66274    -2.81102   0.0217594
          13    -2.62086     -2.7964   0.0245144
          14    -2.57522     -2.7806   0.0273849
          15    -2.52582    -2.76361   0.0303733
          16    -2.47268    -2.74543   0.0334783
          17    -2.41581    -2.72604   0.0366968
          18    -2.35521    -2.70544   0.0400254
          19     -2.2909    -2.68362   0.0434603
          20    -2.22572    -2.66073    0.046932
          21    -2.15544    -2.63666   0.0504897
          22    -2.08782    -2.61172   0.0540075
          23    -2.01371    -2.58572   0.0575787
          24    -1.93594    -2.55864   0.0612147
          25    -1.85383    -2.53045   0.0649344
          26    -1.77022    -2.50121   0.0687055
          27    -1.68088    -2.47083   0.0725684
          28    -1.59431    -2.43952    0.076431
          29    -1.50557    -2.40732   0.0802944
          30    -1.41539    -2.37425   0.0841507
          31    -1.31956    -2.34023   0.0880456
          32    -1.22234     -2.3053   0.0919638
          33    -1.12164    -2.26943   0.0959171
          34    -1.01748    -2.23261   0.0999142
          35   -0.911308    -2.19486    0.103947
          36   -0.803153     -2.1562    0.108009
          37   -0.693752    -2.11667    0.112089
          38   -0.578906     -2.0762    0.116215
          39   -0.463597    -2.03486    0.120367
          40   -0.344336    -1.99259    0.124556
          41   -0.223283    -1.94944    0.128777
          42    -0.10119    -1.90543    0.133018
          43   0.0268344     -1.8605    0.137305
          44    0.154384     -1.8147    0.141615
          45    0.283524    -1.76808    0.145942
          46    0.414902    -1.72062    0.150287
          47    0.550573     -1.6723    0.154663
          48    0.688352    -1.62312    0.159068
          49    0.828877    -1.57308    0.163504
          50    0.969957    -1.52222    0.167958
          51     1.11293    -1.47055    0.172429
          52      1.2563    -1.41811    0.176908
          53      1.4007    -1.36492    0.181389
          54     1.54815    -1.31098    0.185878
          55     1.69573    -1.25631    0.190368
          56     1.84619    -1.20091    0.194863
          57     1.99658    -1.14481    0.199356
          58     2.14893    -1.08802    0.203847
          59     2.30382    -1.03053     0.20834
          60     2.45834   -0.972385    0.212828
          61     2.61376   -0.913596    0.217307
          62     2.77139   -0.854161    0.221781
          63     2.92756   -0.794134    0.226238
          64     3.08568   -0.733511    0.230683
          65     3.24492   -0.672305    0.235113
          66     3.40301   -0.610558    0.239522
          67     3.56054   -0.548302    0.243904
          68     3.71947   -0.485541     0.24826
          69     3.87684   -0.422318    0.252584
          70     4.03392   -0.358658    0.256873
          71     4.19127   -0.294574    0.261127
          72     4.34732   -0.230103    0.265339
          73     4.50193   -0.165281    0.269506
          74     4.65775   -0.100105    0.273632
          75     4.81112  -0.0346218    0.277708
          76      4.9626   0.0311311    0.281731
          77     5.11414   0.0971443    0.285701
          78     5.26419    0.163388    0.289616
          79     5.41189    0.229825    0.293472
          80     5.55852    0.296434    0.297266
          81      5.7025    0.363175    0.300995
          82     5.84582    0.430037     0.30466
          83     5.98764    0.496996     0.30826
          84     6.12569    0.564004    0.311788
          85     6.26057    0.631023    0.315241
          86     6.39284    0.698021    0.318615
          87     6.52309    0.764975    0.321911
          88     6.64979    0.831848    0.325125
          89     6.77354    0.898609    0.328254
          90     6.89424    0.965227    0.331298
          91     7.01177     1.03167    0.334254
          92     7.12818     1.09794    0.337126
          93     7.23914     1.16397    0.339906
          94     7.34668     1.22975    0.342595
          95     7.45074     1.29523     0.34519
          96     7.55196     1.36041    0.347693
          97     7.64816     1.42523    0.350099
          98     7.74212     1.48969     0.35241
          99     7.83167     1.55375    0.354625
         100     7.91749     1.61738    0.356743
         101     7.99955     1.68057    0.358764
         102     8.07783     1.74329    0.360687
         103      8.1516     1.80551    0.362511
         104     8.22299     1.86721     0.36424
         105     8.29057     1.92839    0.365872
         106     8.35436     1.98901    0.367408
         107     8.41365     2.04906    0.368848
         108     8.46919      2.1085    0.370192
         109     8.52239     2.16734    0.371443
         110     8.57047     2.22555      0.3726
         111     8.61489     2.28312    0.373663
         112     8.65639     2.34002    0.374634
         113     8.69431     2.39625    0.375515
         114     8.72941     2.45181    0.376308
         115     8.75963     2.50666    0.377012
         116     8.78715      2.5608     0.37763
         117     8.81063     2.61422    0.378162
         118     8.83014     2.66689    0.378608
         119     8.84715     2.71883    0.378972
         120     8.86035     2.77001    0.379254
         121     8.87121     2.82043    0.379457
         122     8.87912     2.87009    0.379582
         123     8.88345     2.91898    0.379631
         124     8.88572      2.9671    0.379607
         125      8.8853     3.01445    0.379511
         126     8.88229     3.06102    0.379346
         127     8.87607      3.1068    0.379112
         128     8.86744     3.15181    0.378812
         129     8.85722     3.19604    0.378449
         130     8.84409     3.23948    0.378023
         131     8.82954     3.28216    0.377538
         132     8.81158     3.32405    0.376995
         133     8.79383     3.36517    0.376397
         134     8.77355     3.40553    0.375746
         135     8.75156     3.44513    0.375043
         136     8.72796     3.48398    0.374292
         137     8.70426     3.52208    0.373494
         138     8.67773     3.55944    0.372652
         139      8.6513     3.59607    0.371767
         140     8.62223     3.63197    0.370841
         141     8.59203     3.66715    0.369876
         142      8.5615     3.70162    0.368873
         143     8.53003     3.73538    0.367836
         144      8.4977     3.76846    0.366765
         145     8.46249     3.80083    0.365662
         146     8.42872     3.83253    0.364528
         147     8.39435     3.86356    0.363367
         148     8.35947     3.89394    0.362179
         149     8.32415     3.92367    0.360967
         150     8.28776     3.95276    0.359731
         151     8.25109     3.98123    0.358473
         152     8.21492     4.00908    0.357196
         153      8.1786     4.03634    0.355899
         154      8.1415     4.06299    0.354585
         155      8.1058     4.08907    0.353255
         156     8.06803     4.11458     0.35191
         157     8.03108     4.13953    0.350552
         158     7.99358     4.16392    0.349181
         159     7.95842     4.18778    0.347799
         160      7.9214     4.21112    0.346408
         161     7.88541     4.23394    0.345007
         162     7.84978     4.25626    0.343598
         163     7.81456     4.27809    0.342183
         164     7.77907     4.29944    0.340762
         165     7.74476     4.32032    0.339336
         166     7.70886     4.34073    0.337905
         167     7.67562      4.3607    0.336471
         168     7.64154     4.38023    0.335035
         169     7.60947     4.39934    0.333597
         170     7.57803     4.41804    0.332158
         171     7.54723     4.43634    0.330719
         172     7.51711     4.45425    0.329281
         173     7.48766     4.47178    0.327844
         174     7.45892     4.48895    0.326409
         175     7.43089     4.50576    0.324977
         176     7.40358     4.52222    0.323547
         177      7.3777     4.53836    0.322121
         178     7.35256     4.55417    0.320699
         179     7.32816     4.56966    0.319282
         180     7.30449     4.58486    0.317869
         181     7.28086     4.59975    0.316462
         182     7.25727     4.61436     0.31506
         183     7.23512     4.62868    0.313663
         184      7.2137     4.64273    0.312273
         185     7.19231     4.65651    0.310889
         186     7.17375     4.67004    0.309512
         187     7.15237     4.68331    0.308142
         188     7.13381     4.69635    0.306778
         189     7.11664     4.70916    0.305422
         190     7.10084     4.72174    0.304074
         191      7.0857     4.73412    0.302734
         192     7.06978     4.74628    0.301401
         193     7.05379     4.75824    0.300077
         194     7.03841     4.76999     0.29876
         195     7.02502     4.78156    0.297452
         196     7.01221     4.79294    0.296152
         197     6.99923     4.80414     0.29486
         198     6.98678     4.81516    0.293577
         199     6.97414     4.82601    0.292302
         200     6.96339      4.8367    0.291036
         201     6.95169     4.84722    0.289778
         202     6.94114     4.85759    0.288529
         203     6.92959     4.86779    0.287288
         204     6.91914     4.87785    0.286056
         205     6.91259     4.88777    0.284832
         206     6.90356     4.89756    0.283618
         207     6.89485     4.90721    0.282412
         208     6.88645     4.91672    0.281214
         209     6.87904     4.92611    0.280025
         210     6.87187     4.93538    0.278845
         211     6.86424     4.94452    0.277673
         212     6.85682     4.95354     0.27651
         213     6.84888     4.96244    0.275355
         214     6.84112     4.97122    0.274208
         215     6.83492     4.97989     0.27307
         216     6.82673     4.98844    0.271939
         217     6.81794     4.99687    0.270817
         218     6.81066     5.00519    0.269702
         219     6.80275      5.0134    0.268596
         220      6.7956      5.0215    0.267497
         221     6.78991      5.0295    0.266406
         222     6.78354      5.0374    0.265323
         223     6.77788      5.0452    0.264248
         224     6.77082     5.05291    0.263181
         225     6.76444     5.06051    0.262121
         226     6.75803     5.06803    0.261069
         227     6.75229     5.07545    0.260024
         228     6.74508     5.08277    0.258987
         229      6.7371     5.08999    0.257957
         230     6.73046     5.09712    0.256934
         231     6.72444     5.10417    0.255918
         232      6.7169     5.11112    0.254909
         233     6.70927     5.11798    0.253908
         234     6.70151     5.12475    0.252913
         235     6.69434     5.13143    0.251925
         236     6.68703     5.13802    0.250943
         237     6.67888     5.14452    0.249969
         238     6.67057     5.15093    0.249001
         239     6.66281     5.15726    0.248039
         240     6.65418     5.16349    0.247084
