#     BLOCK:   ACCEPTANCE:
           1    0.615454
           2    0.616069
           3    0.618284
           4    0.618014
           5     0.61793
           6    0.618353
           7    0.618381
           8    0.618429
           9    0.618515
          10    0.618837
          11    0.618879
          12    0.618638
          13    0.618671
          14    0.618724
          15    0.618675
          16    0.618828
          17    0.618824
          18    0.619014
          19    0.619049
          20    0.619091
          21    0.619022
          22    0.618977
          23    0.619017
          24    0.618953
          25    0.618847
          26    0.618819
          27    0.618712
          28     0.61861
          29    0.618511
          30    0.618394
          31    0.618283
          32    0.618174
          33     0.61823
          34    0.618283
          35    0.618334
          36    0.618435
          37    0.618522
          38    0.618544
          39    0.618477
          40    0.618499
          41    0.618421
          42    0.618508
          43    0.618516
          44    0.618561
          45    0.618543
          46     0.61853
          47    0.618567
          48    0.618535
          49    0.618573
          50     0.61857
          51    0.618589
          52    0.618625
          53    0.618554
          54    0.618532
          55    0.618507
          56    0.618527
          57    0.618492
          58    0.618524
          59    0.618593
          60    0.618514
          61    0.618478
          62    0.618504
          63    0.618509
          64    0.618491
          65    0.618469
          66    0.618533
          67    0.618566
          68    0.618516
          69      0.6185
          70    0.618481
          71    0.618478
          72    0.618531
          73    0.618544
          74    0.618539
          75      0.6186
          76    0.618548
          77    0.618571
          78    0.618553
          79    0.618494
          80     0.61847
          81    0.618451
          82    0.618413
          83    0.618441
          84    0.618446
          85    0.618474
          86    0.618465
          87     0.61848
          88    0.618473
          89    0.618441
          90    0.618438
          91    0.618433
          92    0.618407
          93    0.618387
          94    0.618371
          95    0.618412
          96    0.618403
          97    0.618403
          98    0.618398
          99    0.618423
         100    0.618438
