# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.064633           0           0
0.129266           0           0
0.193899           0           0
0.258532           0           0
0.323165           0           0
0.387798           0           0
0.452431           0           0
0.517064           0           0
0.581697           0           0
0.64633           0           0
0.710963           0           0
0.775596           0           0
0.84023 0.000948912  6.4765e-05
0.904863    0.148689 0.000789838
0.969496     1.06724  0.00227823
1.03413     2.04377  0.00361871
1.09876     2.26717  0.00434797
1.16339     2.09209  0.00346944
1.22803      1.8323  0.00306284
1.29266     1.61684  0.00260757
1.35729     1.45803  0.00236538
1.42193     1.33574  0.00184356
1.48656     1.24742  0.00157947
1.55119     1.18951  0.00154596
1.61583     1.14471  0.00148562
1.68046     1.11464  0.00125565
1.74509      1.0892  0.00139467
1.80973      1.0757  0.00127022
1.87436     1.06482  0.00106893
1.93899      1.0614  0.00100722
2.00362     1.05771  0.00125515
2.06826     1.05523 0.000953259
2.13289      1.0522  0.00118884
2.19752     1.04798  0.00100279
2.26216     1.04391 0.000977788
2.32679     1.03775  0.00100867
2.39142     1.02979  0.00095565
2.45606     1.02615   0.0008582
2.52069     1.02014 0.000922867
2.58532     1.01862 0.000843952
2.64995      1.0132 0.000847062
2.71459     1.01082 0.000764786
2.77922      1.0072 0.000733268
2.84385     1.00407 0.000776058
2.90849     1.00341 0.000670496
2.97312     1.00214 0.000685189
3.03775    0.999676 0.000696358
3.10239    0.998042 0.000653965
3.16702    0.996794 0.000552309
3.23165    0.996849 0.000642977
3.29629    0.995042 0.000581223
3.36092    0.993505 0.000614431
3.42555    0.994313 0.000563419
3.49018    0.992549 0.000627902
3.55482    0.993112 0.000588861
3.61945    0.991212 0.000543845
3.68408    0.991692 0.000575723
3.74872       0.991 0.000507779
3.81335    0.990081 0.000537376
3.87798    0.989711 0.000576718
3.94262    0.989877 0.000540635
4.00725    0.989258 0.000583591
4.07188    0.989453 0.000446023
4.13651    0.988066 0.000518904
4.20115    0.987823 0.000485956
4.26578    0.988238 0.000481586
4.33041    0.987996 0.000414089
4.39505    0.988867 0.000462083
4.45968    0.987423 0.000430444
4.52431     0.98631 0.000436275
4.58895    0.987805 0.000423438
4.65358    0.987619 0.000445685
4.71821    0.988058 0.000437282
4.78285     0.98712 0.000450423
4.84748    0.986845 0.000419718
4.91211    0.986951 0.000392898
4.97674    0.986758 0.000422842
5.04138    0.985643 0.000394457
5.10601    0.986337  0.00045491
5.17064    0.986334 0.000400634
5.23528    0.986112 0.000376007
5.29991    0.986041 0.000368079
5.36454    0.986346 0.000358186
5.42918    0.986816 0.000379792
5.49381    0.985964 0.000364434
5.55844    0.986517 0.000364351
5.62307    0.986345 0.000396261
5.68771    0.985898 0.000331277
5.75234    0.986183 0.000405332
5.81697    0.986331 0.000361792
5.88161    0.986136 0.000342769
5.94624    0.986001 0.000362039
6.01087    0.985956 0.000342067
6.07551    0.986372 0.000345628
6.14014    0.985966 0.000316083
6.20477    0.985664  0.00039289
6.2694    0.985592 0.000318556
6.33404    0.986312 0.000299566
6.39867     0.98577 0.000326802
