#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.415259   -0.415259           0
           2   -0.416988   -0.416123  0.00061128
           3    -0.41764   -0.416629 0.000580072
           4   -0.411987   -0.415468  0.00109513
           5   -0.413694   -0.415114 0.000931817
           6   -0.418261   -0.415638 0.000912335
           7   -0.417193    -0.41586 0.000808578
           8   -0.410727   -0.415219 0.000927829
           9   -0.415649   -0.415266 0.000825971
          10   -0.417502    -0.41549 0.000773041
          11   -0.419963   -0.415897 0.000802624
          12   -0.417137      -0.416 0.000742369
          13   -0.415217    -0.41594 0.000687701
          14    -0.41501   -0.415873 0.000641778
          15   -0.412316   -0.415636 0.000641318
          16   -0.413717   -0.415516 0.000612349
          17   -0.419621   -0.415758 0.000622103
          18    -0.40681   -0.415261 0.000760659
          19   -0.412348   -0.415107 0.000735905
          20   -0.414992   -0.415102 0.000699133
          21   -0.417346   -0.415208 0.000673957
          22   -0.415024     -0.4152 0.000643375
          23   -0.416207   -0.415244 0.000616889
          24   -0.419183   -0.415408 0.000612628
          25   -0.415065   -0.415394 0.000588276
          26   -0.410893   -0.415221 0.000590576
          27   -0.418132   -0.415329 0.000578462
          28   -0.414938   -0.415315 0.000557971
          29   -0.413843   -0.415264 0.000541034
          30   -0.412847   -0.415184 0.000528966
          31   -0.414228   -0.415153 0.000512801
          32    -0.41696   -0.415209 0.000499874
          33   -0.414897     -0.4152 0.000484816
          34   -0.416802   -0.415247  0.00047284
          35   -0.414235   -0.415218 0.000460213
          36   -0.412282   -0.415136   0.0004546
          37   -0.416771   -0.415181 0.000444456
          38   -0.414811   -0.415171 0.000432866
          39   -0.413603   -0.415131  0.00042363
          40   -0.414679   -0.415119  0.00041319
          41    -0.41401   -0.415092 0.000403997
          42   -0.412997   -0.415042 0.000397448
          43   -0.410597   -0.414939 0.000401427
          44   -0.415146   -0.414944 0.000392331
          45   -0.418278   -0.415018 0.000390545
          46   -0.414146   -0.414999 0.000382514
          47   -0.413374   -0.414964 0.000375935
          48   -0.410449    -0.41487  0.00037969
          49   -0.414114   -0.414855 0.000372255
          50   -0.416449   -0.414887 0.000366174
          51   -0.414963   -0.414888 0.000358997
          52   -0.415492     -0.4149  0.00035228
          53   -0.416206   -0.414924 0.000346495
          54   -0.410384    -0.41484 0.000350132
          55    -0.41026   -0.414757 0.000353531
          56   -0.415198   -0.414765 0.000347306
          57   -0.415452   -0.414777 0.000341422
          58   -0.412512   -0.414738 0.000337762
          59   -0.412731   -0.414704 0.000333745
          60   -0.414077   -0.414693 0.000328346
          61   -0.412852   -0.414663 0.000324348
          62   -0.415832   -0.414682 0.000319663
          63   -0.415061   -0.414688 0.000314646
          64   -0.413327   -0.414667 0.000310447
          65   -0.407824   -0.414562 0.000323026
          66   -0.414801   -0.414565 0.000318152
          67   -0.411752   -0.414523 0.000316163
          68    -0.41547   -0.414537  0.00031182
          69   -0.411627   -0.414495  0.00031014
          70   -0.414109   -0.414489 0.000305758
          71   -0.414073   -0.414484 0.000301508
          72   -0.416042   -0.414505 0.000298097
          73    -0.41647   -0.414532 0.000295226
          74    -0.41197   -0.414498  0.00029326
          75   -0.409024   -0.414425 0.000298294
          76   -0.412841   -0.414404 0.000295096
          77   -0.418238   -0.414454 0.000295435
          78   -0.410942   -0.414409 0.000295058
          79   -0.413001   -0.414391  0.00029186
          80   -0.413659   -0.414382 0.000288355
          81   -0.421152   -0.414465 0.000296663
          82   -0.416264   -0.414487 0.000293855
          83   -0.414081   -0.414482 0.000290355
          84   -0.414158   -0.414478 0.000286924
          85   -0.411721   -0.414446 0.000285376
          86   -0.413015   -0.414429 0.000282542
          87   -0.415384    -0.41444 0.000279508
          88   -0.411995   -0.414412 0.000277709
          89    -0.41594    -0.41443 0.000275119
          90   -0.414327   -0.414428 0.000272064
          91   -0.417405   -0.414461 0.000271033
          92   -0.417849   -0.414498 0.000270578
          93   -0.414846   -0.414502 0.000267694
          94    -0.41177   -0.414473 0.000266419
          95   -0.412729   -0.414454 0.000264246
          96   -0.418994   -0.414502 0.000265691
          97    -0.41719   -0.414529 0.000264393
          98   -0.415163   -0.414536 0.000261774
          99   -0.414581   -0.414536 0.000259131
         100   -0.416179   -0.414553  0.00025706
