#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1  -0.0304649  -0.0304649           0
           2    -0.03076  -0.0306125 0.000104334
           3  -0.0310905  -0.0307718  0.00014754
           4  -0.0308893  -0.0308012  0.00011354
           5   -0.030858  -0.0308125 9.13975e-05
           6  -0.0311271   -0.030865 8.99553e-05
           7  -0.0306023  -0.0308274 8.45684e-05
           8  -0.0305461  -0.0307923 8.09789e-05
           9  -0.0304804  -0.0307576 7.90488e-05
          10  -0.0304947  -0.0307313 7.53885e-05
          11  -0.0307186  -0.0307302 6.85439e-05
          12  -0.0308194  -0.0307376 6.32342e-05
          13  -0.0300101  -0.0306817 7.93607e-05
          14  -0.0305302  -0.0306708 7.44261e-05
          15  -0.0301633   -0.030637 7.67708e-05
          16  -0.0314048   -0.030685 8.56664e-05
          17  -0.0310365  -0.0307057 8.30849e-05
          18   -0.030689  -0.0307047 7.84742e-05
          19  -0.0314747  -0.0307453 8.41604e-05
          20  -0.0308261  -0.0307493 8.00493e-05
          21  -0.0306607  -0.0307451 7.63485e-05
          22  -0.0305364  -0.0307356 7.34652e-05
          23  -0.0307932  -0.0307381 7.03137e-05
          24  -0.0307146  -0.0307371 6.73908e-05
          25  -0.0311321  -0.0307529 6.65213e-05
          26  -0.0310186  -0.0307631 6.47427e-05
          27  -0.0302872  -0.0307455 6.46996e-05
          28  -0.0309042  -0.0307512 6.26366e-05
          29  -0.0312513  -0.0307684  6.2806e-05
          30  -0.0304022  -0.0307562 6.18877e-05
          31  -0.0304547  -0.0307465 6.06507e-05
          32  -0.0311221  -0.0307582 5.98805e-05
          33  -0.0307663  -0.0307585 5.80665e-05
          34  -0.0307653  -0.0307587  5.6359e-05
          35  -0.0314381  -0.0307781 5.79953e-05
          36  -0.0307521  -0.0307774 5.63888e-05
          37   -0.031965  -0.0308095 6.33452e-05
          38  -0.0309374  -0.0308128 6.17676e-05
          39  -0.0307408   -0.030811 6.02114e-05
          40  -0.0306074  -0.0308059 5.89208e-05
          41  -0.0308958  -0.0308081 5.75246e-05
          42  -0.0303796  -0.0307979 5.70525e-05
          43  -0.0312385  -0.0308081 5.66386e-05
          44  -0.0310104  -0.0308127 5.55377e-05
          45   -0.030836  -0.0308132 5.43059e-05
          46  -0.0308914  -0.0308149 5.31519e-05
          47  -0.0306181  -0.0308108 5.21857e-05
          48   -0.030476  -0.0308038 5.15624e-05
          49  -0.0311091    -0.03081 5.08853e-05
          50  -0.0316017  -0.0308259 5.22727e-05
          51  -0.0308271  -0.0308259 5.12477e-05
          52  -0.0308079  -0.0308255 5.02634e-05
          53  -0.0299731  -0.0308094 5.18247e-05
          54  -0.0311881  -0.0308165 5.13373e-05
          55  -0.0309669  -0.0308192 5.04767e-05
          56  -0.0303011  -0.0308099 5.04161e-05
          57  -0.0299028   -0.030794 5.19831e-05
          58  -0.0304476  -0.0307881 5.14289e-05
          59   -0.030784   -0.030788 5.05573e-05
          60  -0.0304354  -0.0307821  5.0055e-05
          61  -0.0308065  -0.0307825  4.9236e-05
          62  -0.0310347  -0.0307866 4.86096e-05
          63  -0.0308251  -0.0307872 4.78418e-05
          64  -0.0306709  -0.0307854 4.71288e-05
          65  -0.0306405  -0.0307831 4.64564e-05
          66  -0.0308653  -0.0307844 4.57692e-05
          67  -0.0306239   -0.030782 4.51487e-05
          68  -0.0303309  -0.0307754 4.49695e-05
          69  -0.0310027  -0.0307787 4.44383e-05
          70  -0.0302848  -0.0307716   4.436e-05
          71  -0.0304658  -0.0307673 4.39438e-05
          72  -0.0306151  -0.0307652 4.33843e-05
          73    -0.03061   -0.030763 4.28421e-05
          74  -0.0311811  -0.0307687 4.26339e-05
          75  -0.0304556  -0.0307645 4.22693e-05
          76  -0.0307815  -0.0307647 4.17137e-05
          77  -0.0306119  -0.0307628 4.12192e-05
          78  -0.0310054  -0.0307659  4.0808e-05
          79  -0.0309392  -0.0307681 4.03504e-05
          80  -0.0309274  -0.0307701 3.98951e-05
          81  -0.0310388  -0.0307734 3.95403e-05
          82  -0.0303811  -0.0307686 3.93465e-05
          83  -0.0303899   -0.030764 3.91361e-05
          84  -0.0312725  -0.0307701 3.91355e-05
          85  -0.0305006  -0.0307669 3.88032e-05
          86   -0.031329  -0.0307734 3.88985e-05
          87  -0.0309253  -0.0307752 3.84905e-05
          88  -0.0305234  -0.0307723 3.81593e-05
          89  -0.0307813  -0.0307724 3.77307e-05
          90  -0.0310556  -0.0307756 3.74424e-05
          91   -0.030061  -0.0307677 3.78455e-05
          92  -0.0306782  -0.0307668 3.74466e-05
          93   -0.030387  -0.0307627  3.7266e-05
          94   -0.030128  -0.0307559 3.74762e-05
          95  -0.0306492  -0.0307548 3.70986e-05
          96  -0.0307489  -0.0307547 3.67122e-05
          97  -0.0302789  -0.0307498   3.666e-05
          98  -0.0313346  -0.0307558 3.67684e-05
          99  -0.0306157  -0.0307544 3.64242e-05
         100  -0.0311808  -0.0307586 3.63087e-05
