#     BLOCK:   ACCEPTANCE:
           1    0.510722
           2    0.509972
           3    0.508781
           4    0.508039
           5    0.507848
           6    0.508386
           7    0.508402
           8    0.508678
           9    0.508749
          10    0.508901
          11     0.50946
          12    0.509177
          13    0.509306
          14    0.509374
          15    0.509506
          16    0.509572
          17    0.509727
          18     0.50994
          19    0.509966
          20    0.510007
          21    0.509849
          22    0.509638
          23    0.509736
          24    0.509903
          25     0.50989
          26    0.509898
          27    0.509888
          28    0.509929
          29    0.509998
          30    0.509982
          31    0.510057
          32    0.510134
          33     0.51008
          34    0.510104
          35    0.510079
          36    0.510054
          37    0.509892
          38    0.509982
          39    0.510092
          40    0.510113
          41    0.510078
          42     0.51006
          43    0.510036
          44    0.510068
          45    0.509987
          46    0.509959
          47    0.509987
          48     0.50986
          49    0.509855
          50    0.509922
          51    0.509846
          52    0.509753
          53     0.50974
          54    0.509715
          55    0.509736
          56    0.509675
          57    0.509704
          58     0.50974
          59    0.509619
          60    0.509571
          61    0.509538
          62    0.509521
          63    0.509624
          64    0.509663
          65    0.509584
          66    0.509619
          67    0.509671
          68    0.509632
          69    0.509627
          70    0.509598
          71    0.509582
          72    0.509601
          73    0.509559
          74    0.509548
          75    0.509543
          76    0.509543
          77    0.509571
          78    0.509539
          79    0.509529
          80    0.509586
          81    0.509601
          82    0.509597
          83     0.50957
          84    0.509603
          85    0.509597
          86    0.509646
          87    0.509652
          88    0.509619
          89     0.50963
          90    0.509582
          91    0.509636
          92     0.50965
          93    0.509677
          94    0.509665
          95    0.509675
          96    0.509639
          97    0.509621
          98    0.509593
          99    0.509598
         100    0.509592
