# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438 7.78092e-06 3.55504e-06
0.872088  0.00125728 5.25415e-05
0.897737   0.0239291 0.000293199
0.923387    0.163333 0.000842587
0.949037    0.562298  0.00164291
0.974686      1.1999  0.00255605
1.00034     1.85733  0.00268758
1.02599     2.33369  0.00272834
1.05164     2.55128  0.00201064
1.07728     2.55083  0.00222161
1.10293     2.41151  0.00219512
1.12858     2.20085  0.00211494
1.15423     1.97417  0.00207329
1.17988     1.75726  0.00204051
1.20553     1.56187  0.00197925
1.23118     1.39186  0.00174523
1.25683     1.24695  0.00151919
1.28248     1.12662  0.00146013
1.30813     1.02591  0.00118973
1.33378    0.941643  0.00120302
1.35943    0.873448  0.00111531
1.38508    0.817533  0.00094339
1.41073    0.771414  0.00098577
1.43638    0.737467   0.0011179
1.46203    0.710302  0.00114046
1.48768    0.690399  0.00102052
1.51333    0.677789  0.00097547
1.53898      0.6705  0.00101685
1.56463    0.670897  0.00100519
1.59028    0.675187  0.00104587
1.61593     0.68407 0.000985663
1.64158    0.700574  0.00103866
1.66723    0.722508  0.00101104
1.69288      0.7488 0.000999434
1.71853     0.77955 0.000913906
1.74418    0.815661  0.00104509
1.76983    0.853097 0.000924837
1.79547    0.893394  0.00107096
1.82112      0.9347  0.00114524
1.84677    0.977161  0.00103583
1.87242     1.01782  0.00109829
1.89807     1.05763  0.00109753
1.92372     1.09565  0.00106125
1.94937     1.13044  0.00109333
1.97502     1.16141 0.000983837
2.00067     1.18664    0.001017
2.02632     1.20477  0.00104925
2.05197     1.21383  0.00105659
2.07762     1.21696 0.000878596
2.10327     1.20952 0.000960217
2.12892     1.19358  0.00104747
2.15457      1.1753 0.000955355
2.18022     1.15118 0.000979711
2.20587     1.12529 0.000968299
2.23152      1.0958 0.000945568
2.25717     1.06694 0.000929683
2.28282     1.03855 0.000889665
2.30847     1.01343 0.000898345
2.33412     0.98867 0.000836629
2.35977    0.967083 0.000805303
2.38542     0.94767 0.000808848
2.41107     0.93169  0.00083062
2.43672    0.918414  0.00078391
2.46237    0.908316  0.00077678
2.48802    0.894755 0.000878247
2.51366    0.886469   0.0008813
2.53931     0.88545 0.000802149
