#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.48077    -5.48077           0
           2    -5.47416    -5.47747  0.00233673
           3    -5.45537     -5.4701  0.00621136
           4    -5.45313    -5.46586  0.00593279
           5    -5.46797    -5.46628  0.00476126
           6    -5.48957    -5.47016  0.00531974
           7    -5.46324    -5.46917  0.00465087
           8    -5.45548    -5.46746  0.00437313
           9    -5.47107    -5.46786  0.00390557
          10     -5.4696    -5.46804  0.00351887
          11    -5.48326    -5.46942  0.00346041
          12    -5.47212    -5.46965  0.00317932
          13    -5.46252     -5.4691  0.00298165
          14    -5.47812    -5.46974  0.00283746
          15    -5.47743    -5.47026  0.00269423
          16    -5.48096    -5.47092  0.00260754
          17    -5.46955    -5.47084  0.00245541
          18    -5.48842    -5.47182   0.0025057
          19    -5.46078    -5.47124  0.00244031
          20    -5.44918    -5.47014  0.00255544
          21    -5.47691    -5.47046  0.00245403
          22    -5.45854    -5.46992  0.00240149
          23    -5.46119    -5.46954  0.00232687
          24    -5.45638    -5.46899  0.00229357
          25    -5.47251    -5.46913  0.00220614
          26    -5.46936    -5.46914  0.00212131
          27    -5.43985    -5.46805  0.00230344
          28    -5.45766    -5.46768  0.00225091
          29    -5.46876    -5.46772   0.0021736
          30    -5.44813    -5.46707  0.00219702
          31    -5.46625    -5.46704  0.00212631
          32    -5.48629    -5.46764  0.00214328
          33    -5.45339    -5.46721  0.00212139
          34    -5.45921    -5.46697  0.00207201
          35    -5.45727     -5.4667  0.00203127
          36    -5.45376    -5.46634  0.00200637
          37    -5.47226     -5.4665  0.00195851
          38    -5.47302    -5.46667  0.00191447
          39    -5.46961    -5.46675  0.00186687
          40    -5.46818    -5.46678  0.00182054
          41    -5.45544     -5.4665  0.00179703
          42    -5.43185    -5.46568  0.00193438
          43    -5.47941      -5.466  0.00191558
          44    -5.48907    -5.46652  0.00194249
          45    -5.46638    -5.46652  0.00189933
          46    -5.46945    -5.46658   0.0018591
          47     -5.4788    -5.46684  0.00183762
          48    -5.49522    -5.46743  0.00189207
          49     -5.4581    -5.46724  0.00186302
          50    -5.48299    -5.46756   0.0018522
          51    -5.46186    -5.46745  0.00181925
          52    -5.46419    -5.46738  0.00178534
          53    -5.46571    -5.46735  0.00175194
          54    -5.45432    -5.46711  0.00173604
          55    -5.46115      -5.467  0.00170786
          56    -5.46026    -5.46688   0.0016816
          57    -5.44769    -5.46655  0.00168547
          58    -5.46434    -5.46651  0.00165684
          59    -5.45439     -5.4663  0.00164144
          60     -5.4549    -5.46611  0.00162504
          61    -5.47035    -5.46618  0.00159989
          62    -5.46749     -5.4662  0.00157422
          63    -5.43562    -5.46572  0.00162234
          64    -5.47857    -5.46592  0.00160936
          65    -5.46627    -5.46592  0.00158461
          66    -5.45461    -5.46575  0.00156984
          67     -5.4562    -5.46561  0.00155287
          68    -5.44629    -5.46533  0.00155581
          69    -5.45951    -5.46524  0.00153555
          70    -5.45767    -5.46513  0.00151741
          71    -5.47008     -5.4652  0.00149764
          72    -5.44529    -5.46493  0.00150215
          73     -5.4509    -5.46473  0.00149382
          74    -5.47239    -5.46484  0.00147721
          75    -5.48299    -5.46508  0.00147721
          76    -5.48502    -5.46534  0.00148089
          77    -5.49194    -5.46569  0.00150142
          78    -5.44583    -5.46543   0.0015036
          79    -5.47566    -5.46556  0.00149013
          80    -5.46255    -5.46553  0.00147198
          81    -5.47203    -5.46561    0.001456
          82    -5.43997    -5.46529  0.00147141
          83    -5.47099    -5.46536  0.00145528
          84    -5.46867     -5.4654  0.00143849
          85    -5.47005    -5.46546   0.0014226
          86     -5.4487    -5.46526  0.00141934
          87    -5.47499    -5.46537  0.00140742
          88    -5.47211    -5.46545  0.00139351
          89    -5.47716    -5.46558  0.00138404
          90    -5.46406    -5.46556  0.00136877
          91     -5.4446    -5.46533  0.00137298
          92    -5.45185    -5.46519  0.00136586
          93    -5.46602     -5.4652  0.00135121
          94    -5.47756    -5.46533  0.00134321
          95    -5.46806    -5.46536  0.00132938
          96    -5.47667    -5.46547  0.00132075
          97    -5.46915    -5.46551  0.00130768
          98    -5.43421    -5.46519  0.00133277
          99    -5.46724    -5.46521  0.00131947
         100    -5.47513    -5.46531     0.00131
