#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -1.47327    -1.47327           0
           2    -1.42537    -1.44932   0.0169359
           3    -1.34855    -1.41573   0.0296605
           4    -1.52146    -1.44216   0.0319191
           5    -1.17095    -1.38792   0.0548254
           6    -1.44802    -1.39794    0.046594
           7     -1.2354    -1.37472   0.0453555
           8    -1.40344    -1.37831   0.0398279
           9    -1.34448    -1.37455   0.0355796
          10    -1.36706     -1.3738   0.0320295
          11    -1.44298    -1.38009   0.0297288
          12    -1.55298     -1.3945   0.0305438
          13    -1.30157    -1.38735   0.0290187
          14    -1.39188    -1.38767   0.0269478
          15    -1.26256    -1.37933   0.0264106
          16    -1.44948    -1.38372   0.0251212
          17    -1.31454    -1.37965   0.0239708
          18    -1.50225    -1.38646   0.0235869
          19    -1.31713    -1.38281   0.0226259
          20    -1.50599    -1.38897   0.0223172
          21     -1.3742    -1.38827   0.0212655
          22    -1.55941    -1.39604   0.0216752
          23    -1.45048    -1.39841   0.0208616
          24    -1.40204    -1.39856   0.0199929
          25    -1.39324    -1.39835   0.0191943
          26    -1.26646    -1.39328   0.0191146
          27    -1.42933    -1.39461   0.0184532
          28    -1.44477     -1.3964   0.0178809
          29    -1.47455     -1.3991   0.0174662
          30    -1.44224    -1.40054   0.0169431
          31    -1.42677    -1.40138   0.0164177
          32     -1.4374    -1.40251   0.0159431
          33    -1.39909     -1.4024   0.0154604
          34    -1.40325    -1.40243   0.0150057
          35     -1.6405    -1.40923   0.0160447
          36    -1.31574    -1.40663   0.0158078
          37    -1.37343    -1.40574    0.015406
          38    -1.35645    -1.40444   0.0150551
          39    -1.28188     -1.4013   0.0149935
          40    -1.33663    -1.39968   0.0147055
          41    -1.44804    -1.40086   0.0143941
          42    -1.47444    -1.40261   0.0141576
          43    -1.26693    -1.39946   0.0141756
          44    -1.36827    -1.39875   0.0138711
          45    -1.36262    -1.39795   0.0135861
          46    -1.37066    -1.39735   0.0133037
          47    -1.34627    -1.39627    0.013065
          48    -1.33414    -1.39497   0.0128567
          49    -1.42318    -1.39555   0.0126072
          50    -1.46473    -1.39693   0.0124308
          51    -1.35722    -1.39615   0.0122114
          52    -1.48365    -1.39783   0.0120919
          53    -1.31282    -1.39623   0.0119697
          54    -1.18902    -1.39239   0.0123478
          55    -1.29563    -1.39063    0.012248
          56    -1.34862    -1.38988   0.0120522
          57    -1.37832    -1.38968   0.0118425
          58    -1.37344     -1.3894   0.0116416
          59    -1.27957    -1.38754   0.0115922
          60    -1.35301    -1.38696   0.0114132
          61    -1.33009    -1.38603   0.0112642
          62    -1.46604    -1.38732   0.0111562
          63    -1.42045    -1.38785   0.0109915
          64    -1.51846    -1.38989   0.0110075
          65    -1.25227    -1.38777   0.0110399
          66    -1.38721    -1.38776   0.0108727
          67    -1.37231    -1.38753   0.0107128
          68    -1.31899    -1.38652   0.0106026
          69    -1.35179    -1.38602   0.0104609
          70    -1.39261    -1.38611   0.0103119
          71    -1.34715    -1.38557   0.0101812
          72    -1.32979    -1.38479   0.0100693
          73     -1.3933    -1.38491  0.00993199
          74    -1.40504    -1.38518   0.0098015
          75    -1.49954     -1.3867  0.00978869
          76    -1.34252    -1.38612  0.00967715
          77    -1.32787    -1.38537    0.009581
          78    -1.49077    -1.38672  0.00955299
          79    -1.37268    -1.38654  0.00943372
          80    -1.42069    -1.38697  0.00932545
          81    -1.22373    -1.38495  0.00942557
          82    -1.43172    -1.38552  0.00932787
          83    -1.25162    -1.38391  0.00935396
          84    -1.11175    -1.38067  0.00978767
          85    -1.39467    -1.38083  0.00967391
          86    -1.45699    -1.38172  0.00960187
          87    -1.40633      -1.382  0.00949567
          88    -1.54301    -1.38383  0.00956242
          89    -1.36284     -1.3836  0.00945788
          90    -1.39024    -1.38367  0.00935308
          91    -1.37018    -1.38352  0.00925147
          92    -1.35437     -1.3832  0.00915634
          93     -1.4542    -1.38397  0.00908965
          94    -1.39188    -1.38405  0.00899334
          95    -1.50402    -1.38532  0.00898691
          96    -1.54643    -1.38699  0.00904864
          97     -1.3842    -1.38696   0.0089554
          98     -1.3365    -1.38645  0.00887881
          99    -1.46918    -1.38729  0.00882837
         100    -1.46415    -1.38805  0.00877349
