#     BLOCK:   ACCEPTANCE:
           1    0.547583
           2    0.547181
           3    0.545701
           4    0.546412
           5    0.546111
           6    0.546147
           7    0.546041
           8    0.546797
           9    0.546613
          10    0.546445
          11    0.546503
          12    0.546686
          13    0.546799
          14    0.546825
          15    0.546816
          16    0.546901
          17    0.546866
          18    0.546838
          19    0.546779
          20    0.546856
          21    0.546846
          22    0.546773
          23    0.546725
          24    0.546722
          25    0.546626
          26    0.546724
          27    0.546681
          28    0.546653
          29    0.546654
          30    0.546585
          31    0.546619
          32    0.546618
          33    0.546614
          34    0.546607
          35    0.546575
          36    0.546613
          37    0.546622
          38    0.546638
          39    0.546669
          40    0.546644
          41    0.546572
          42    0.546516
          43    0.546478
          44    0.546487
          45    0.546434
          46    0.546419
          47    0.546372
          48    0.546361
          49    0.546402
          50    0.546416
          51    0.546384
          52    0.546323
          53     0.54631
          54    0.546315
          55    0.546316
          56    0.546358
          57    0.546409
          58    0.546384
          59     0.54636
          60    0.546391
          61    0.546364
          62    0.546383
          63    0.546422
          64    0.546418
          65     0.54641
          66    0.546426
          67    0.546433
          68    0.546371
          69    0.546391
          70     0.54639
          71    0.546365
          72    0.546418
          73    0.546396
          74    0.546345
          75    0.546346
          76    0.546347
          77     0.54633
          78    0.546307
          79      0.5463
          80    0.546333
          81    0.546319
          82    0.546318
          83    0.546311
          84    0.546318
          85    0.546335
          86    0.546351
          87    0.546339
          88    0.546319
          89    0.546321
          90    0.546349
          91     0.54636
          92    0.546375
          93    0.546376
          94    0.546362
          95    0.546364
          96    0.546356
          97    0.546359
          98    0.546345
          99    0.546338
         100    0.546346
