# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0230664           0           0
0.0461329           0           0
0.0691993           0           0
0.0922657           0           0
0.115332           0           0
0.138399           0           0
0.161465           0           0
0.184531           0           0
0.207598           0           0
0.230664           0           0
0.253731           0           0
0.276797           0           0
0.299864           0           0
0.32293           0           0
0.345996           0           0
0.369063           0           0
0.392129           0           0
0.415196           0           0
0.438262           0           0
0.461329           0           0
0.484395           0           0
0.507461           0           0
0.530528           0           0
0.553594           0           0
0.576661           0           0
0.599727           0           0
0.622794           0           0
0.64586           0           0
0.668926           0           0
0.691993           0           0
0.715059           0           0
0.738126           0           0
0.761192           0           0
0.784259           0           0
0.807325           0           0
0.830391           0           0
0.853458           0           0
0.876524 7.51133e-05 8.26481e-06
0.899591  0.00329858 5.70876e-05
0.922657   0.0471564 0.000263639
0.945724    0.293169 0.000726429
0.96879     1.00889  0.00139583
0.991856     2.24336  0.00184561
1.01492     3.62556  0.00143041
1.03799     4.61783  0.00186431
1.06106     4.89297  0.00232506
1.08412     4.49063  0.00271729
1.10719     3.65718  0.00225402
1.13026     2.69351  0.00155409
1.15332     1.81698  0.00111037
1.17639     1.13095  0.00089711
1.19945    0.652605   0.0008324
1.22252    0.354038  0.00082742
1.24559    0.180208 0.000657465
1.26865   0.0898091 0.000477285
1.29172   0.0498195 0.000360647
1.31479   0.0428645 0.000306419
1.33785   0.0615414 0.000343368
1.36092    0.106865 0.000400195
1.38399    0.184507 0.000450325
1.40705     0.30099 0.000495242
1.43012    0.453641 0.000479335
1.45319    0.628181 0.000494916
1.47625    0.795945 0.000624528
1.49932    0.920325 0.000832921
1.52238    0.968735  0.00103361
1.54545    0.927739 0.000965168
1.56852    0.807847 0.000742414
1.59158    0.641567 0.000439001
1.61465    0.465769 0.000398729
1.63772    0.317053 0.000455363
1.66078    0.220457 0.000620581
1.68385     0.19314 0.000725748
1.70692    0.256446 0.000815061
1.72998    0.434537 0.000947349
1.75305    0.750444 0.000982791
1.77612     1.19905 0.000769896
1.79918     1.72773  0.00064635
1.82225     2.23563 0.000898573
1.84531     2.59444  0.00159569
1.86838     2.71121  0.00168297
1.89145     2.55494  0.00172266
1.91451     2.17974  0.00125682
1.93758     1.68953  0.00063263
1.96065     1.20031 0.000648854
1.98371    0.803058 0.000877495
2.00678    0.543708 0.000988649
2.02985     0.43558 0.000947078
2.05291    0.461976 0.000870689
2.07598    0.587328 0.000604454
2.09905    0.758706 0.000391829
2.12211    0.917525  0.00040739
2.14518     1.01469 0.000674786
2.16824     1.02156 0.000723394
2.19131    0.918944 0.000560776
2.21438    0.780391 0.000349222
2.23744    0.654333 0.000512985
2.26051    0.572984 0.000760895
2.28358    0.574034  0.00103283
